"",BBDP1.M.DE.Y.EPG.G.GP09SA001500.I10.A,BBDP1.M.DE.Y.EPG.G.GP09SA001500.I10.A_FLAGS
2008-04,100.0,
2008-05,100.4,
2008-06,100.6,
2008-07,101.2,
2008-08,101.4,
2008-09,101.2,
2008-10,101.1,
2008-11,100.4,
2008-12,100.0,
2009-01,99.3,
2009-02,98.9,
2009-03,98.4,
2009-04,98.1,
2009-05,97.9,
2009-06,97.8,
2009-07,97.7,
2009-08,98.0,
2009-09,97.9,
2009-10,97.9,
2009-11,98.1,
2009-12,98.1,
2010-01,98.2,
2010-02,98.4,
2010-03,98.6,
2010-04,99.2,
2010-05,99.8,
2010-06,100.0,
2010-07,100.2,
2010-08,100.5,
2010-09,100.9,
2010-10,100.9,
2010-11,101.3,
2010-12,101.7,
2011-01,102.3,
2011-02,103.1,
2011-03,103.2,
2011-04,103.5,
2011-05,103.7,
2011-06,103.8,
2011-07,104.0,
2011-08,104.0,
2011-09,104.0,
2011-10,103.8,
2011-11,103.8,
2011-12,103.8,
2012-01,104.0,
2012-02,104.3,
2012-03,104.6,
2012-04,104.7,
2012-05,104.7,
2012-06,104.7,
2012-07,104.4,
2012-08,104.6,
2012-09,104.9,
2012-10,105.1,
2012-11,105.2,
2012-12,105.2,
2013-01,105.4,
2013-02,105.2,
2013-03,105.2,
2013-04,105.0,
2013-05,105.0,
2013-06,104.9,
2013-07,104.7,
2013-08,104.8,
2013-09,104.8,
2013-10,104.9,
2013-11,104.9,
2013-12,105.0,
2014-01,105.0,
2014-02,105.0,
2014-03,104.9,
2014-04,104.9,
2014-05,104.8,
2014-06,104.8,
2014-07,104.9,
2014-08,105.0,
2014-09,104.9,
2014-10,104.9,
2014-11,104.8,
2014-12,104.7,
2015-01,104.5,
