"",BBFN1.M.DE.N.1.L.BE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1999-08,11.091,
1999-09,10.357,
1999-10,10.866,
1999-11,11.392,
1999-12,12.385,
2000-01,12.706,
2000-02,11.031,
2000-03,11.146,
2000-04,11.083,
2000-05,11.271,
2000-06,12.240,
2000-07,12.230,
2000-08,12.227,
2000-09,12.382,
2000-10,13.199,
2000-11,11.939,
2000-12,12.913,
2001-01,13.885,
2001-02,15.120,
2001-03,14.715,
2001-04,15.828,
2001-05,18.103,
2001-06,17.630,
2001-07,17.813,
2001-08,18.364,
2001-09,18.616,
2001-10,18.451,
2001-11,18.338,
2001-12,17.666,
2002-01,19.180,
2002-02,19.302,
2002-03,19.002,
2002-04,19.065,
2002-05,19.330,
2002-06,20.212,
2002-07,20.337,
2002-08,20.549,
2002-09,21.607,
2002-10,21.315,
2002-11,20.347,
2002-12,23.034,
2003-01,22.944,
2003-02,23.296,
2003-03,22.343,
2003-04,21.850,
2003-05,22.786,
2003-06,23.479,
2003-07,23.988,
2003-08,23.604,
2003-09,23.154,
2003-10,23.167,
2003-11,22.992,
2003-12,21.613,
2004-01,19.791,
2004-02,19.450,
2004-03,20.344,
2004-04,19.950,
2004-05,17.037,
2004-06,18.580,
2004-07,19.072,
2004-08,19.381,
2004-09,19.128,
2004-10,18.439,
2004-11,16.894,
2004-12,17.308,
2005-01,17.535,
2005-02,17.352,
2005-03,17.114,
2005-04,16.550,
2005-05,16.045,
2005-06,17.330,
2005-07,17.440,
2005-08,18.089,
2005-09,17.544,
2005-10,18.425,
2005-11,18.745,
2005-12,19.368,
2006-01,23.357,
2006-02,22.248,
2006-03,21.988,
2006-04,17.391,
2006-05,21.548,
2006-06,22.287,
2006-07,25.068,
2006-08,24.949,
2006-09,25.178,
2006-10,23.650,
2006-11,23.533,
2006-12,26.576,
2007-01,26.236,
2007-02,26.245,
2007-03,26.238,
2007-04,27.636,
2007-05,26.799,
2007-06,28.669,
2007-07,29.101,
2007-08,29.490,
2007-09,33.132,
2007-10,28.537,
2007-11,30.422,
2007-12,21.321,
2008-01,27.614,
2008-02,29.784,
2008-03,27.371,
2008-04,27.231,
2008-05,27.936,
2008-06,27.581,
2008-07,27.280,
2008-08,28.036,
2008-09,27.527,
2008-10,27.736,
2008-11,33.272,
2008-12,37.742,
2009-01,37.382,
2009-02,37.029,
2009-03,38.151,
2009-04,39.360,
2009-05,38.005,
2009-06,37.330,
2009-07,36.661,
2009-08,36.716,
2009-09,37.421,
2009-10,36.253,
2009-11,36.995,
2009-12,42.799,
2010-01,42.505,
2010-02,41.890,
2010-03,41.480,
2010-04,41.629,
2010-05,43.087,
2010-06,47.497,
2010-07,47.033,
2010-08,48.169,
2010-09,48.558,
2010-10,47.466,
2010-11,49.711,
2010-12,52.330,
2011-01,48.208,
2011-02,51.203,
2011-03,46.754,
2011-04,50.328,
2011-05,51.880,
2011-06,49.016,
2011-07,54.171,
2011-08,55.303,
2011-09,51.515,
2011-10,50.699,
2011-11,50.210,
2011-12,48.508,
2012-01,50.312,
2012-02,55.520,
2012-03,57.443,
2012-04,58.444,
2012-05,62.969,
2012-06,51.951,
2012-07,53.296,
2012-08,50.412,
2012-09,53.835,
2012-10,55.589,
2012-11,54.802,
2012-12,51.973,
2013-01,57.047,
2013-02,65.860,
2013-03,68.821,
2013-04,70.857,
2013-05,71.897,
2013-06,69.101,
2013-07,71.226,
2013-08,65.309,
2013-09,64.958,
2013-10,67.249,
2013-11,66.835,
2013-12,60.784,
2014-01,65.586,
2014-02,69.691,
2014-03,67.265,
2014-04,65.714,
2014-05,67.338,
2014-06,72.189,
2014-07,76.999,
2014-08,73.740,
2014-09,71.244,
2014-10,62.431,
2014-11,64.105,
2014-12,57.594,
