"",BBFB1.M.N.DE.W1.S1.S1.T.D.SG2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SG2._Z._Z._Z._T._X.N_FLAGS
2012-11,358.314,
2012-12,358.317,
2013-01,358.314,
2013-02,358.314,
2013-03,358.314,
2013-04,375.982,
2013-05,375.982,
2013-06,375.982,
2013-07,347.658,
2013-08,347.658,
2013-09,347.658,
2013-10,338.644,
2013-11,338.644,
2013-12,338.644,
2014-01,358.314,
2014-02,358.314,Provisional value
2014-03,358.314,Provisional value
2014-04,375.982,Provisional value
2014-05,375.982,Provisional value
2014-06,375.982,Provisional value
2014-07,344.988,Provisional value
2014-08,344.988,Provisional value
2014-09,344.988,
2014-10,355.667,
2014-11,355.667,
2014-12,355.667,Provisional value
