"",BBFN1.M.DE.N.1.L.W1.S1P.FH.T.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.FH.T.BN00.EUR.BGA.X001.D_FLAGS
1994-03,119.676,
1994-04,119.486,
1994-05,120.765,
1994-06,119.898,
1994-07,121.132,
1994-08,122.631,
1994-09,123.117,
1994-10,125.798,
1994-11,126.818,
1994-12,125.970,
1995-01,119.598,
1995-02,119.546,
1995-03,122.076,
1995-04,122.284,
1995-05,122.678,
1995-06,124.104,
1995-07,124.170,
1995-08,124.459,
1995-09,126.185,
1995-10,126.355,
1995-11,127.573,
1995-12,122.692,
1996-01,120.373,
1996-02,123.986,
1996-03,124.327,
1996-04,124.422,
1996-05,123.943,
1996-06,123.447,
1996-07,122.784,
1996-08,122.539,
1996-09,126.586,
1996-10,126.592,
1996-11,128.462,
1996-12,126.007,
1997-01,124.925,
1997-02,127.208,
1997-03,129.326,
1997-04,128.848,
1997-05,129.884,
1997-06,132.039,
1997-07,134.279,
1997-08,133.749,
1997-09,136.151,
1997-10,136.707,
1997-11,137.389,
1997-12,140.298,
1998-01,138.984,
1998-02,142.523,
1998-03,145.819,
1998-04,145.858,
1998-05,147.046,
1998-06,147.180,
1998-07,149.038,
1998-08,147.435,
1998-09,147.252,
1998-10,150.531,
1998-11,151.275,
1998-12,152.105,
1999-01,160.901,
1999-02,165.051,
1999-03,170.818,
1999-04,174.268,
1999-05,178.981,
1999-06,186.257,
1999-07,190.138,
1999-08,193.505,
1999-09,196.364,
1999-10,211.933,
1999-11,208.160,
1999-12,222.818,
2000-01,229.530,
2000-02,238.690,
2000-03,243.698,
2000-04,239.531,
2000-05,243.911,
2000-06,243.931,
2000-07,243.722,
2000-08,255.189,
2000-09,289.527,
2000-10,293.587,
2000-11,296.317,
2000-12,347.148,
2001-01,358.173,
2001-02,365.359,
2001-03,357.453,
2001-04,359.974,
2001-05,363.871,
2001-06,374.930,
2001-07,385.723,
2001-08,392.921,
2001-09,401.042,
2001-10,404.726,
2001-11,404.011,
2001-12,405.806,
2002-01,408.168,
2002-02,415.775,
2002-03,408.209,
2002-04,414.918,
2002-05,440.567,
2002-06,437.840,
2002-07,436.336,
2002-08,436.515,
2002-09,444.446,
2002-10,446.884,
2002-11,452.258,
2002-12,451.280,
2003-01,460.636,
2003-02,463.570,
2003-03,462.692,
2003-04,467.610,
2003-05,472.712,
2003-06,480.468,
2003-07,481.200,
2003-08,480.353,
2003-09,484.005,
2003-10,471.663,
2003-11,477.838,
2003-12,461.748,
2004-01,462.469,
2004-02,446.223,
2004-03,441.416,
2004-04,438.085,
2004-05,440.517,
2004-06,442.205,
2004-07,440.229,
2004-08,435.169,
2004-09,433.629,
2004-10,427.111,
2004-11,424.294,
2004-12,420.480,
2005-01,418.393,
2005-02,422.631,
2005-03,425.964,
2005-04,420.409,
2005-05,422.895,
2005-06,429.003,
2005-07,423.169,
2005-08,424.779,
2005-09,434.805,
2005-10,443.261,
2005-11,446.956,
2005-12,451.855,
2006-01,450.116,
2006-02,463.566,
2006-03,469.188,
2006-04,468.336,
2006-05,479.913,
2006-06,490.078,
2006-07,489.113,
2006-08,490.040,
2006-09,501.245,
2006-10,500.203,
2006-11,506.742,
2006-12,514.584,
2007-01,524.308,
2007-02,535.021,
2007-03,533.095,
2007-04,535.758,
2007-05,539.367,
2007-06,551.506,
2007-07,545.879,
2007-08,543.342,
2007-09,552.588,
2007-10,546.540,
2007-11,544.178,
2007-12,539.438,
2008-01,541.858,
2008-02,554.361,
2008-03,562.497,
2008-04,568.777,
2008-05,566.388,
2008-06,576.306,
2008-07,566.623,
2008-08,564.995,
2008-09,576.293,
2008-10,591.727,
2008-11,591.438,
2008-12,598.619,
2009-01,597.235,
2009-02,606.025,
2009-03,611.185,
2009-04,610.271,
2009-05,610.686,
2009-06,617.779,
2009-07,615.103,
2009-08,615.409,
2009-09,617.029,
2009-10,621.788,
2009-11,623.114,
2009-12,648.341,
2010-01,623.727,
2010-02,627.408,
2010-03,636.555,
2010-04,635.749,
2010-05,646.889,
2010-06,648.619,
2010-07,660.891,
2010-08,664.303,
2010-09,676.328,
2010-10,672.348,
2010-11,673.634,
2010-12,685.946,
2011-01,694.120,
2011-02,685.243,
2011-03,691.783,
2011-04,696.484,
2011-05,702.381,
2011-06,713.001,
2011-07,723.717,
2011-08,726.284,
2011-09,744.440,
2011-10,727.719,
2011-11,733.849,
2011-12,742.312,
2012-01,736.528,
2012-02,735.375,
2012-03,752.912,
2012-04,757.441,
2012-05,760.344,
2012-06,771.093,
2012-07,763.940,
2012-08,748.921,
2012-09,766.824,
2012-10,766.472,
2012-11,773.752,
2012-12,762.040,
2013-01,762.736,
2013-02,762.285,
2013-03,779.858,
2013-04,800.975,
2013-05,797.846,
2013-06,808.661,
2013-07,798.083,
2013-08,792.270,
2013-09,814.795,
2013-10,808.549,
2013-11,810.690,
2013-12,794.333,
2014-01,780.712,
2014-02,787.026,
2014-03,796.547,
2014-04,796.810,
2014-05,797.998,
2014-06,810.474,
2014-07,814.644,
2014-08,810.239,
2014-09,801.378,
2014-10,791.381,
2014-11,800.111,
2014-12,771.656,
"","General: From January 1999, including national currencies of the euro-area member states.",
