"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00000.F05100.Z01.00_FLAGS
1991-11,27861,
1991-12,27689,
1992-01,30273,
1992-02,32407,
1992-03,31916,
1992-04,32588,
1992-05,34359,
1992-06,33366,
1992-07,31497,
1992-08,30055,
1992-09,29280,
1992-10,29997,
1992-11,30912,
1992-12,31274,
1993-01,31588,
1993-02,33508,
1993-03,34999,
1993-04,34731,
1993-05,36023,
1993-06,37389,
1993-07,39997,
1993-08,42353,
1993-09,41533,
1993-10,46167,
1993-11,46291,
1993-12,52320,
1994-01,54492,
1994-02,54668,
1994-03,56057,
1994-04,59223,
1994-05,56895,
1994-06,55916,
1994-07,58512,
1994-08,60254,
1994-09,55751,
1994-10,56899,
1994-11,55957,
1994-12,56776,
1995-01,54918,
1995-02,56356,
1995-03,52773,
1995-04,55136,
1995-05,56871,
1995-06,57032,
1995-07,61064,
1995-08,61971,
1995-09,60562,
1995-10,59961,
1995-11,62218,
1995-12,63808,
1996-01,69989,
1996-02,70489,
1996-03,71437,
1996-04,73260,
1996-05,74355,
1996-06,75740,
1996-07,72686,
1996-08,75386,
1996-09,79188,
1996-10,79396,
1996-11,86594,
1996-12,88632,
1997-01,96838,
1997-02,106436,
1997-03,111297,
1997-04,114655,
1997-05,120881,
1997-06,131602,
1997-07,150734,
1997-08,137224,
1997-09,146460,
1997-10,136507,
1997-11,143838,
1997-12,152001,
1998-01,162091,
1998-02,175778,
1998-03,191091,
1998-04,192262,
1998-05,204222,
1998-06,214800,
1998-07,221351,
1998-08,191154,
1998-09,177349,
1998-10,187736,
1998-11,211461,
1998-12,214945,
1999-01,227429,
1999-02,226863,
1999-03,234948,
1999-04,254166,
1999-05,243562,
1999-06,262047,
1999-07,255181,
1999-08,266719,
1999-09,257629,
1999-10,276110,
1999-11,308386,
1999-12,352527,
2000-01,347616,
2000-02,380059,
2000-03,383827,
2000-04,384005,
2000-05,374695,
2000-06,379441,
2000-07,388122,
2000-08,415298,
2000-09,401879,
2000-10,407010,
2000-11,376207,
2000-12,373165,
2001-01,386475,
2001-02,350124,
2001-03,331010,
2001-04,356476,
2001-05,357900,
2001-06,343898,
2001-07,329527,
2001-08,301050,
2001-09,257503,
2001-10,273471,
2001-11,297306,
2001-12,309218,
2002-01,307443,
2002-02,302407,
2002-03,316721,
2002-04,300793,
2002-05,291748,
2002-06,261168,
2002-07,238265,
2002-08,234283,
2002-09,199159,
2002-10,215142,
2002-11,225772,
2002-12,198641,
2003-01,186332,
2003-02,173591,
2003-03,168483,
2003-04,184688,
2003-05,182715,
2003-06,196013,
2003-07,203465,
2003-08,212034,
2003-09,200772,
2003-10,215365,
2003-11,216681,
2003-12,227666,
2004-01,238883,
2004-02,241798,
2004-03,235617,
2004-04,235789,
2004-05,229679,
2004-06,235597,
2004-07,226109,
2004-08,223143,
2004-09,225523,
2004-10,227047,
2004-11,232145,
2004-12,237261,
2005-01,236886,
2005-02,244871,
2005-03,242744,
2005-04,232202,
2005-05,243591,
2005-06,253605,
2005-07,265352,
2005-08,262159,
2005-09,274597,
2005-10,267529,
2005-11,281265,
2005-12,288167,
2006-01,300390,
2006-02,310506,
2006-03,313622,
2006-04,311418,
2006-05,286973,
2006-06,282813,
2006-07,284980,
2006-08,289202,
2006-09,294459,
2006-10,303258,
2006-11,301275,
2006-12,310345,
2007-01,315187,
2007-02,308418,
2007-03,310500,
2007-04,321727,
2007-05,331124,
2007-06,327624,
2007-07,315009,
2007-08,306666,
2007-09,310980,
2007-10,316399,
2007-11,296266,
2007-12,293545,
2008-01,251875,
2008-02,250747,
2008-03,239548,
2008-04,257149,
2008-05,260294,
2008-06,231687,
2008-07,226151,
2008-08,228018,
2008-09,198648,
2008-10,162178,
2008-11,146953,
2008-12,142504,
2009-01,142192,
2009-02,126486,
2009-03,125273,
2009-04,137544,
2009-05,141005,
2009-06,138723,
2009-07,151363,
2009-08,156479,
2009-09,186397,
2009-10,181188,
2009-11,182767,
2009-12,194061,
2010-01,187629,
2010-02,189546,
2010-03,205848,
2010-04,211108,
2010-05,202931,
2010-06,192590,
2010-07,197554,
2010-08,193126,
2010-09,201856,
2010-10,211260,
2010-11,213859,
2010-12,227201,
2011-01,228225,
2011-02,231348,
2011-03,225669,
2011-04,230575,
2011-05,228636,
2011-06,224587,
2011-07,222643,
2011-08,192003,
2011-09,182275,
2011-10,198818,
2011-11,192711,
2011-12,196165,
2012-01,206668,
2012-02,214176,
2012-03,213883,
2012-04,208814,
2012-05,197693,
2012-06,201312,
2012-07,212297,
2012-08,214183,
2012-09,217744,
2012-10,218367,
2012-11,221762,
2012-12,227790,
2013-01,235131,
2013-02,239268,
2013-03,245387,
2013-04,248586,
2013-05,255619,
2013-06,243025,
2013-07,255695,
2013-08,253753,
2013-09,264305,
2013-10,276151,
2013-11,282807,
2013-12,282371,
2014-01,274490,
2014-02,285098,
2014-03,284429,
2014-04,288440,
2014-05,295678,
2014-06,296213,
2014-07,291846,
2014-08,297732,
2014-09,295813,
2014-10,294751,
2014-11,304450,
