"",BBDE1.M.DE.Y.AEA1.A2R260050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R260050.F.V.I10.A_FLAGS
2010-03,93.8,
2010-04,95.6,
2010-05,100.3,
2010-06,101.8,
2010-07,103.4,
2010-08,100.8,
2010-09,99.1,
2010-10,103.4,
2010-11,112.2,
2010-12,103.1,
2011-01,107.0,
2011-02,104.7,
2011-03,104.2,
2011-04,104.8,
2011-05,112.8,
2011-06,102.7,
2011-07,111.6,
2011-08,104.8,
2011-09,104.0,
2011-10,101.1,
2011-11,99.7,
2011-12,102.0,
2012-01,100.0,
2012-02,102.0,
2012-03,98.5,
2012-04,98.2,
2012-05,101.5,
2012-06,97.9,
2012-07,99.4,
2012-08,100.1,
2012-09,97.2,
2012-10,97.1,
2012-11,96.7,
2012-12,95.7,
2013-01,98.5,
2013-02,97.4,
2013-03,107.9,
2013-04,99.7,
2013-05,97.3,
2013-06,100.3,
2013-07,98.4,
2013-08,98.3,
2013-09,99.2,
2013-10,105.8,
2013-11,104.3,
2013-12,100.5,
2014-01,101.8,
2014-02,102.5,
2014-03,100.9,
2014-04,103.6,
2014-05,104.5,
2014-06,100.9,
2014-07,102.5,
2014-08,101.0,
2014-09,99.9,
2014-10,106.2,
2014-11,104.7,
2014-12,104.1,Provisional value
