"",BBDE1.M.DE.W.AEB5.A2P310000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P310000.F.V.I10.A_FLAGS
2010-07,102.3,
2010-08,92.9,
2010-09,102.4,
2010-10,101.9,
2010-11,104.5,
2010-12,98.4,
2011-01,116.4,
2011-02,110.3,
2011-03,125.2,
2011-04,109.4,
2011-05,108.0,
2011-06,113.5,
2011-07,109.6,
2011-08,100.3,
2011-09,106.2,
2011-10,103.4,
2011-11,100.7,
2011-12,98.2,
2012-01,111.2,
2012-02,109.5,
2012-03,115.3,
2012-04,105.0,
2012-05,108.1,
2012-06,108.4,
2012-07,106.1,
2012-08,97.8,
2012-09,100.0,
2012-10,105.4,
2012-11,102.3,
2012-12,93.4,
2013-01,105.4,
2013-02,102.3,
2013-03,117.9,
2013-04,104.7,
2013-05,104.8,
2013-06,106.7,
2013-07,104.6,
2013-08,94.8,
2013-09,103.4,
2013-10,112.4,
2013-11,106.8,
2013-12,93.0,
2014-01,110.1,
2014-02,108.1,
2014-03,118.9,
2014-04,107.3,
2014-05,103.4,
2014-06,110.0,
2014-07,109.1,
2014-08,95.5,
2014-09,108.1,
2014-10,112.4,
2014-11,109.4,
2014-12,98.6,Provisional value
