"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.P.F._Z._T._X.N_FLAGS
2010-09,7874.966,
2010-10,-6430.842,
2010-11,3503.810,
2010-12,-10657.553,
2011-01,-114.278,
2011-02,6599.520,
2011-03,-12765.480,
2011-04,1724.503,
2011-05,-1921.643,
2011-06,-3356.530,
2011-07,-2957.191,
2011-08,10973.318,
2011-09,-2833.137,
2011-10,-168.254,
2011-11,268.576,
2011-12,-10488.366,
2012-01,-22966.795,
2012-02,9289.053,
2012-03,-4545.740,
2012-04,-3123.018,
2012-05,-7219.856,
2012-06,2276.842,
2012-07,-1790.098,
2012-08,-6457.008,
2012-09,2629.661,
2012-10,1487.392,
2012-11,305.842,
2012-12,-9651.253,
2013-01,5666.649,
2013-02,10988.953,
2013-03,-10987.355,
2013-04,-522.558,
2013-05,-4884.510,
2013-06,-3346.808,
2013-07,-2892.823,
2013-08,-2356.960,
2013-09,3292.895,
2013-10,698.461,
2013-11,-6645.911,
2013-12,-19305.477,
2014-01,6964.796,
2014-02,-5055.293,Provisional value
2014-03,-7788.573,Provisional value
2014-04,-13355.238,Provisional value
2014-05,9659.299,Provisional value
2014-06,7628.727,Provisional value
2014-07,2252.555,Provisional value
2014-08,6763.204,Provisional value
2014-09,-1329.436,
2014-10,-4867.801,
2014-11,-1227.300,
2014-12,-9909.015,Provisional value
