"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA._Z.F._Z._T._X.N_FLAGS
2007-08,7534.381,
2007-09,16328.078,
2007-10,2394.208,
2007-11,642.116,
2007-12,520.640,
2008-01,-13128.316,
2008-02,26909.332,
2008-03,-772.668,
2008-04,-25757.264,
2008-05,14572.492,
2008-06,26969.680,
2008-07,-9214.314,
2008-08,2539.089,
2008-09,17866.971,
2008-10,22263.978,
2008-11,7857.897,
2008-12,-10430.967,
2009-01,-26326.807,
2009-02,13873.802,
2009-03,-11203.043,
2009-04,-12846.373,
2009-05,15124.712,
2009-06,-4924.182,
2009-07,1621.601,
2009-08,-929.897,
2009-09,14219.411,
2009-10,7331.505,
2009-11,5924.362,
2009-12,16999.698,
2010-01,-22526.308,
2010-02,12529.182,
2010-03,16439.106,
2010-04,-22792.547,
2010-05,45991.868,
2010-06,9437.592,
2010-07,17693.460,
2010-08,9962.898,
2010-09,18730.625,
2010-10,-2618.485,
2010-11,13428.314,
2010-12,10688.575,
2011-01,13303.788,
2011-02,7027.252,
2011-03,-249.063,
2011-04,-14641.311,
2011-05,38252.148,
2011-06,7962.267,
2011-07,14662.422,
2011-08,9278.893,
2011-09,21751.395,
2011-10,-22313.183,
2011-11,7789.368,
2011-12,1753.903,
2012-01,-12713.232,
2012-02,4428.555,
2012-03,12278.442,
2012-04,-12066.501,
2012-05,34944.183,
2012-06,13302.748,
2012-07,3028.251,
2012-08,-18475.196,
2012-09,9587.887,
2012-10,3126.719,
2012-11,11550.653,
2012-12,-4065.736,
2013-01,-6031.388,
2013-02,5113.468,
2013-03,15634.355,
2013-04,4414.878,
2013-05,15880.612,
2013-06,387.106,
2013-07,-12433.622,
2013-08,1516.498,
2013-09,13589.733,
2013-10,-10596.868,
2013-11,10432.442,
2013-12,-12422.563,
2014-01,-8924.066,
2014-02,16467.989,Provisional value
2014-03,1266.210,Provisional value
2014-04,-3742.414,Provisional value
2014-05,14035.686,Provisional value
2014-06,11283.412,Provisional value
2014-07,1060.026,Provisional value
2014-08,418.284,Provisional value
2014-09,-6558.888,
2014-10,-4550.092,
2014-11,9029.278,
2014-12,-19552.060,Provisional value
