"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D.F5___ES._Z._T._X.N_FLAGS
2000-08,4362.033,
2000-09,3224.376,
2000-10,4753.126,
2000-11,645.610,
2000-12,-66180.594,
2001-01,-1378.324,
2001-02,14348.654,
2001-03,7977.298,
2001-04,3457.692,
2001-05,4750.045,
2001-06,1863.372,
2001-07,-423.437,
2001-08,-4446.946,
2001-09,-138.282,
2001-10,504.945,
2001-11,340.164,
2001-12,8006.041,
2002-01,2676.027,
2002-02,-1219.505,
2002-03,10879.840,
2002-04,-473.403,
2002-05,5020.574,
2002-06,5469.681,
2002-07,310.909,
2002-08,4240.504,
2002-09,1456.755,
2002-10,545.738,
2002-11,593.886,
2002-12,8619.969,
2003-01,2525.678,
2003-02,412.537,
2003-03,12508.091,
2003-04,517.192,
2003-05,1434.945,
2003-06,1465.393,
2003-07,1447.229,
2003-08,3159.498,
2003-09,1120.889,
2003-10,1073.395,
2003-11,1562.182,
2003-12,19574.101,
2004-01,2056.798,
2004-02,1480.722,
2004-03,6467.843,
2004-04,564.719,
2004-05,2440.461,
2004-06,-3263.897,
2004-07,948.075,
2004-08,313.400,
2004-09,3678.662,
2004-10,4113.918,
2004-11,3855.653,
2004-12,11869.606,
2005-01,1505.192,
2005-02,495.746,
2005-03,1946.842,
2005-04,7820.800,
2005-05,-2131.864,
2005-06,160.928,
2005-07,1095.422,
2005-08,-584.124,
2005-09,1135.354,
2005-10,1904.664,
2005-11,19226.629,
2005-12,-4002.458,
2006-01,1502.677,
2006-02,-1145.349,
2006-03,2321.269,
2006-04,-947.718,
2006-05,2600.035,
2006-06,1669.457,
2006-07,-3138.037,
2006-08,2455.953,
2006-09,-2853.447,
2006-10,2968.776,
2006-11,1405.358,
2006-12,16529.354,
2007-01,1716.330,
2007-02,-549.571,
2007-03,-668.346,
2007-04,4269.165,
2007-05,2862.201,
2007-06,5750.386,
2007-07,-1310.682,
2007-08,314.975,
2007-09,9019.929,
2007-10,2332.532,
2007-11,276.172,
2007-12,8371.838,
2008-01,5265.357,
2008-02,-504.735,
2008-03,3271.143,
2008-04,311.572,
2008-05,1080.407,
2008-06,6314.196,
2008-07,671.219,
2008-08,2704.631,
2008-09,653.369,
2008-10,474.941,
2008-11,511.401,
2008-12,3130.328,
2009-01,3664.314,
2009-02,-1714.687,
2009-03,632.533,
2009-04,-203.357,
2009-05,2611.854,
2009-06,-2035.872,
2009-07,-2587.208,
2009-08,1902.888,
2009-09,-100.063,
2009-10,-393.957,
2009-11,1949.930,
2009-12,6377.379,
2010-01,-1137.393,
2010-02,1591.824,
2010-03,239.091,
2010-04,1841.315,
2010-05,4154.998,
2010-06,-141.765,
2010-07,98.029,
2010-08,2034.670,
2010-09,1135.425,
2010-10,382.035,
2010-11,996.283,
2010-12,7644.323,
2011-01,837.334,
2011-02,-2224.379,
2011-03,279.739,
2011-04,401.829,
2011-05,2644.723,
2011-06,1778.902,
2011-07,-203.438,
2011-08,1839.527,
2011-09,6061.084,
2011-10,1878.014,
2011-11,955.879,
2011-12,2040.432,
2012-01,179.147,
2012-02,416.188,
2012-03,384.307,
2012-04,191.116,
2012-05,-1503.414,
2012-06,107.829,
2012-07,1618.828,
2012-08,311.035,
2012-09,-6795.497,
2012-10,-213.134,
2012-11,278.972,
2012-12,10933.593,
2013-01,-299.533,
2013-02,16.855,
2013-03,-1010.126,
2013-04,-181.551,
2013-05,-2071.640,
2013-06,-14.692,
2013-07,210.288,
2013-08,304.823,
2013-09,-76.556,
2013-10,376.133,
2013-11,483.868,
2013-12,4848.449,
2014-01,672.322,
2014-02,-242.845,Provisional value
2014-03,-573.331,Provisional value
2014-04,333.334,Provisional value
2014-05,14.907,Provisional value
2014-06,-159.120,Provisional value
2014-07,138.581,Provisional value
2014-08,36.406,Provisional value
2014-09,1400.124,
2014-10,956.023,
2014-11,631.582,
2014-12,2573.099,Provisional value
