"",BBDA1.M.DE.N.EX.S.A.G4.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.G4.A.V.ABA.A_FLAGS
2001-12,4383591,
2002-01,3856681,
2002-02,4738011,
2002-03,4699701,
2002-04,4681132,
2002-05,4376821,
2002-06,4889599,
2002-07,4677103,
2002-08,4612091,
2002-09,4914896,
2002-10,5268355,
2002-11,5095159,
2002-12,4502385,
2003-01,4492217,
2003-02,4515170,
2003-03,4299670,
2003-04,4568297,
2003-05,4802299,
2003-06,5056250,
2003-07,5254910,
2003-08,4616613,
2003-09,5146327,
2003-10,4868633,
2003-11,4951485,
2003-12,4930778,
2004-01,4848423,
2004-02,4819412,
2004-03,5849240,
2004-04,5653540,
2004-05,5559819,
2004-06,5909256,
2004-07,5835270,
2004-08,5076061,
2004-09,5639218,
2004-10,5768681,
2004-11,5803808,
2004-12,6184381,
2005-01,5564653,
2005-02,5297854,
2005-03,5955357,
2005-04,5698912,
2005-05,5898950,
2005-06,6527305,
2005-07,6087197,
2005-08,6266554,
2005-09,6783358,
2005-10,6430988,
2005-11,6388356,
2005-12,6744789,
2006-01,6194783,
2006-02,6613959,
2006-03,6859184,
2006-04,6686964,
2006-05,6855216,
2006-06,6888565,
2006-07,7357643,
2006-08,7120287,
2006-09,8567033,
2006-10,9206958,
2006-11,9536702,
2006-12,7931746,
2007-01,7441102,
2007-02,7317133,
2007-03,8088855,
2007-04,7920658,
2007-05,8176550,
2007-06,8449569,
2007-07,8446075,
2007-08,8815568,
2007-09,8350083,
2007-10,9386018,
2007-11,9584453,
2007-12,7952762,
2008-01,8619477,
2008-02,8869834,
2008-03,8820963,
2008-04,9619749,
2008-05,8566179,
2008-06,9565452,
2008-07,9497356,
2008-08,8538227,
2008-09,9625646,
2008-10,10008025,
2008-11,8250386,
2008-12,7548678,
2009-01,6283565,
2009-02,6702505,
2009-03,7317852,
2009-04,6324652,
2009-05,6153951,
2009-06,6728176,
2009-07,7685749,
2009-08,6557538,
2009-09,6911662,
2009-10,7241837,
2009-11,8136271,
2009-12,6857645,
2010-01,6122650,
2010-02,7015939,
2010-03,8870155,
2010-04,8286557,
2010-05,7790166,
2010-06,8987666,
2010-07,8730840,
2010-08,8532674,
2010-09,9377193,
2010-10,9672202,
2010-11,10036654,
2010-12,8682584,
2011-01,8253245,
2011-02,9198665,
2011-03,11503346,
2011-04,9619095,
2011-05,10766924,
2011-06,9854808,
2011-07,10044164,
2011-08,10833837,
2011-09,11263520,
2011-10,10309721,
2011-11,11002529,
2011-12,9692288,
2012-01,9241334,
2012-02,10110709,
2012-03,11628630,
2012-04,10313865,
2012-05,10968163,
2012-06,11248326,
2012-07,11167970,
2012-08,11045749,
2012-09,10604869,
2012-10,11545910,
2012-11,11690360,
2012-12,8831679,
2013-01,9932992,
2013-02,10200250,
2013-03,10962491,
2013-04,11280863,
2013-05,10441118,
2013-06,10693170,
2013-07,10927418,
2013-08,9883524,
2013-09,10264909,
2013-10,10909259,
2013-11,10750712,
2013-12,8437559,
2014-01,9003062,
2014-02,9273709,
2014-03,10232567,
2014-04,9631116,
2014-05,9428267,
2014-06,9447166,
2014-07,10025266,
2014-08,8619557,
2014-09,9892335,
2014-10,10261391,
2014-11,9611241,
2014-12,8346357,
