"",BBEX3.M.THB.USD.CA.AB.A01,BBEX3.M.THB.USD.CA.AB.A01_FLAGS
1999-02,37.5541,
1999-03,37.7915,
1999-04,37.3536,
1999-05,37.2191,
1999-06,37.0009,
1999-07,37.2448,
1999-08,38.4562,
1999-09,41.1339,
1999-10,38.8714,
1999-11,39.1905,
1999-12,37.7098,
2000-01,37.6578,
2000-02,38.1212,
2000-03,37.9628,
2000-04,38.1732,
2000-05,39.2738,
2000-06,39.2759,
2000-07,41.6027,
2000-08,41.0277,
2000-09,42.3655,
2000-10,44.1090,
2000-11,44.0361,
2000-12,43.4396,
2001-01,42.7070,
2001-02,43.0192,
2001-03,44.9225,
2001-04,45.6917,
2001-05,45.4386,
2001-06,45.3617,
2001-07,45.8424,
2001-08,44.2480,
2001-09,44.5307,
2001-10,44.7676,
2001-11,44.1269,
2001-12,44.3597,
2002-01,44.0654,
2002-02,43.8281,
2002-03,43.4274,
2002-04,43.3489,
2002-05,42.5252,
2002-06,41.6701,
2002-07,42.1103,
2002-08,42.3209,
2002-09,43.4830,
2002-10,43.4164,
2002-11,43.4957,
2002-12,43.3039,
2003-01,42.8626,
2003-02,42.7668,
2003-03,43.0100,
2003-04,42.9558,
2003-05,41.8119,
2003-06,42.1177,
2003-07,42.0997,
2003-08,41.2875,
2003-09,40.0964,
2003-10,40.0217,
2003-11,40.0256,
2003-12,39.7378,
2004-01,39.3765,
2004-02,39.4223,
2004-03,39.5485,
2004-04,40.0993,
2004-05,40.6118,
2004-06,41.0305,
2004-07,41.4671,
2004-08,41.7430,
2004-09,41.5942,
2004-10,41.1418,
2004-11,39.6519,
2004-12,39.2025,
2005-01,38.6471,
2005-02,38.4243,
2005-03,39.2543,
2005-04,39.7062,
2005-05,40.6076,
2005-06,41.4091,
2005-07,41.8326,
2005-08,41.4515,
2005-09,41.1075,
2005-10,40.8863,
2005-11,41.3206,
2005-12,41.1746,
2006-01,39.2013,
2006-02,39.4076,
2006-03,38.9417,
2006-04,37.6167,
2006-05,38.2326,
2006-06,38.3295,
2006-07,37.9523,
2006-08,37.6907,
2006-09,37.6373,
2006-10,36.8785,
2006-11,36.1467,
2006-12,36.2308,
2007-01,35.9232,
2007-02,35.5541,
2007-03,35.1354,
2007-04,34.9093,
2007-05,34.7685,
2007-06,34.6679,
2007-07,33.9223,
2007-08,34.4560,
2007-09,34.3851,
2007-10,34.1228,
2007-11,33.9750,
2007-12,33.8850,
2008-01,33.1502,
2008-02,32.0151,
2008-03,31.6229,
2008-04,31.8733,
2008-05,32.5726,
2008-06,33.7087,
2008-07,33.6592,
2008-08,34.2928,
2008-09,34.1752,
2008-10,35.1080,
2008-11,35.5652,
2008-12,35.0824,
2009-01,35.0738,
2009-02,36.1938,
2009-03,35.6629,
2009-04,35.4578,
2009-05,34.5237,
2009-06,34.1693,
2009-07,34.1805,
2009-08,34.1540,
2009-09,33.6972,
2009-10,33.5810,
2009-11,33.3552,
2009-12,33.5168,
2010-01,33.2983,
2010-02,33.2261,
2010-03,32.5268,
2010-04,32.4440,
2010-05,32.6849,
2010-06,32.5864,
2010-07,32.4074,
2010-08,31.4464,
2010-09,30.5578,
2010-10,30.1135,
2010-11,30.3614,
2010-12,30.2963,
2011-01,31.2834,
2011-02,30.7569,
2011-03,30.4348,
2011-04,30.0886,
2011-05,30.4509,
2011-06,30.8882,
2011-07,29.8956,
2011-08,30.1682,
2011-09,31.3072,
2011-10,30.8097,
2011-11,31.3581,
2011-12,31.8319,
2012-01,31.1806,
2012-02,30.3892,
2012-03,30.9885,
2012-04,30.8700,
2012-05,32.0357,
2012-06,31.9651,
2012-07,31.7196,
2012-08,31.5180,
2012-09,30.9664,
2012-10,30.8348,
2012-11,30.8394,
2012-12,30.7775,
2013-01,29.9118,
2013-02,29.9455,
2013-03,29.3832,
2013-04,29.4578,
2013-05,30.2947,
2013-06,31.2675,
2013-07,31.4894,
2013-08,32.2155,
2013-09,31.5330,
2013-10,31.2264,
2013-11,32.2395,
2013-12,32.9494,
2014-01,33.1413,
2014-02,32.7528,
2014-03,32.5814,
2014-04,32.4417,
2014-05,32.9310,
2014-06,32.5986,
2014-07,32.1317,
2014-08,32.0961,
2014-09,32.5161,
2014-10,32.6574,
2014-11,32.9541,
2014-12,33.1132,
2015-01,32.8677,
"","Source: Bank of Thailand, Bangkok.",
"","Comment on 1997-07: On 2 July 1997, the currency ceased to be pegged to a currency basket and a controlled floating exchange rate was adopted.",
