"",BBEX3.M.PLN.USD.CA.AC.A01,BBEX3.M.PLN.USD.CA.AC.A01_FLAGS
2005-11,3.3165,
2005-12,3.2613,
2006-01,3.1630,
2006-02,3.1768,
2006-03,3.2491,
2006-04,3.0841,
2006-05,3.0671,
2006-06,3.1816,
2006-07,3.0831,
2006-08,3.0651,
2006-09,3.1425,
2006-10,3.0631,
2006-11,2.8911,
2006-12,2.9105,
2007-01,3.0400,
2007-02,2.9699,
2007-03,2.9058,
2007-04,2.7859,
2007-05,2.8415,
2007-06,2.7989,
2007-07,2.7653,
2007-08,2.7990,
2007-09,2.6647,
2007-10,2.5155,
2007-11,2.4589,
2007-12,2.4350,
2008-01,2.4438,
2008-02,2.3155,
2008-03,2.2305,
2008-04,2.2267,
2008-05,2.1824,
2008-06,2.1194,
2008-07,2.0509,
2008-08,2.2691,
2008-09,2.3708,
2008-10,2.8472,
2008-11,2.9196,
2008-12,2.9618,
2009-01,3.4561,
2009-02,3.6758,
2009-03,3.5416,
2009-04,3.2859,
2009-05,3.1812,
2009-06,3.1733,
2009-07,2.9525,
2009-08,2.8675,
2009-09,2.8852,
2009-10,2.8595,
2009-11,2.7538,
2009-12,2.8503,
2010-01,2.9083,
2010-02,2.9251,
2010-03,2.8720,
2010-04,2.9305,
2010-05,3.3132,
2010-06,3.3946,
2010-07,3.0731,
2010-08,3.1583,
2010-09,2.9250,
2010-10,2.8873,
2010-11,3.1308,
2010-12,2.9641,
2011-01,2.8845,
2011-02,2.8765,
2011-03,2.8229,
2011-04,2.6501,
2011-05,2.7468,
2011-06,2.7517,
2011-07,2.8109,
2011-08,2.8695,
2011-09,3.2574,
2011-10,3.1024,
2011-11,3.4248,
2011-12,3.4174,
2012-01,3.2032,
2012-02,3.0730,
2012-03,3.1191,
2012-04,3.1509,
2012-05,3.5372,
2012-06,3.3885,
2012-07,3.3508,
2012-08,3.3353,
2012-09,3.1780,
2012-10,3.1806,
2012-11,3.1585,
2012-12,3.0996,
2013-01,3.0874,
2013-02,3.1679,
2013-03,3.2590,
2013-04,3.1721,
2013-05,3.2953,
2013-06,3.3175,
2013-07,3.1929,
2013-08,3.2209,
2013-09,3.1227,
2013-10,3.0507,
2013-11,3.0846,
2013-12,3.0120,
2014-01,3.1288,
2014-02,3.0254,
2014-03,3.0344,
2014-04,3.0440,
2014-05,3.0435,
2014-06,3.0473,
2014-07,3.1094,
2014-08,3.1965,
2014-09,3.2973,
2014-10,3.3459,
2014-11,3.3605,
2014-12,3.5072,
2015-01,3.7204,
"","Source: Narodowy Bank Polski, Warsaw",
