"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F81.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F81.T._T._X.N_FLAGS
1998-02,1377.886,
1998-03,613.728,
1998-04,-161.193,
1998-05,-273.583,
1998-06,-1272.426,
1998-07,14.208,
1998-08,-1054.012,
1998-09,304.530,
1998-10,472.861,
1998-11,-272.307,
1998-12,-956.999,
1999-01,-7.636,
1999-02,218.987,
1999-03,331.191,
1999-04,-437.550,
1999-05,-718.066,
1999-06,663.510,
1999-07,281.628,
1999-08,-470.090,
1999-09,-595.962,
1999-10,552.904,
1999-11,863.370,
1999-12,586.135,
2000-01,349.409,
2000-02,878.084,
2000-03,688.954,
2000-04,137.272,
2000-05,416.979,
2000-06,644.367,
2000-07,497.980,
2000-08,-49.327,
2000-09,929.910,
2000-10,409.358,
2000-11,966.646,
2000-12,454.555,
2001-01,65.589,
2001-02,1043.732,
2001-03,95.896,
2001-04,-114.337,
2001-05,-494.437,
2001-06,1663.996,
2001-07,-1902.900,
2001-08,199.133,
2001-09,1422.676,
2001-10,530.958,
2001-11,152.708,
2001-12,1092.014,
2002-01,-2842.337,
2002-02,364.308,
2002-03,797.489,
2002-04,-1531.555,
2002-05,1364.510,
2002-06,1193.736,
2002-07,-523.633,
2002-08,-822.598,
2002-09,2409.617,
2002-10,720.167,
2002-11,159.614,
2002-12,-1149.229,
2003-01,-230.298,
2003-02,430.112,
2003-03,714.897,
2003-04,-680.847,
2003-05,-83.867,
2003-06,587.185,
2003-07,-372.389,
2003-08,-524.930,
2003-09,1379.474,
2003-10,502.290,
2003-11,47.301,
2003-12,-130.907,
2004-01,-431.572,
2004-02,206.655,
2004-03,2324.349,
2004-04,-950.027,
2004-05,888.162,
2004-06,352.613,
2004-07,-164.652,
2004-08,509.473,
2004-09,799.803,
2004-10,775.848,
2004-11,-331.173,
2004-12,-44.594,
2005-01,-1137.081,
2005-02,218.375,
2005-03,1691.394,
2005-04,752.700,
2005-05,-31.479,
2005-06,798.355,
2005-07,2.537,
2005-08,-676.910,
2005-09,1054.464,
2005-10,1744.116,
2005-11,118.019,
2005-12,1101.516,
2006-01,-1058.233,
2006-02,1926.500,
2006-03,1676.062,
2006-04,-71.802,
2006-05,99.500,
2006-06,997.247,
2006-07,928.368,
2006-08,-1102.439,
2006-09,2722.299,
2006-10,802.296,
2006-11,-18.633,
2006-12,1406.979,
2007-01,-556.259,
2007-02,1108.202,
2007-03,1478.552,
2007-04,790.905,
2007-05,-240.093,
2007-06,2929.143,
2007-07,419.606,
2007-08,419.195,
2007-09,2483.520,
2007-10,1297.079,
2007-11,1029.886,
2007-12,181.821,
2008-01,677.396,
2008-02,1311.400,
2008-03,1683.761,
2008-04,1943.245,
2008-05,659.158,
2008-06,1506.210,
2008-07,-87.888,
2008-08,-68.529,
2008-09,1692.106,
2008-10,460.218,
2008-11,-391.141,
2008-12,-2626.641,
2009-01,-1300.960,
2009-02,793.884,
2009-03,2736.195,
2009-04,-5987.308,
2009-05,1352.966,
2009-06,6080.799,
2009-07,471.653,
2009-08,-3151.917,
2009-09,1161.842,
2009-10,894.085,
2009-11,166.761,
2009-12,-1900.881,
2010-01,-6367.351,
2010-02,383.993,
2010-03,3782.617,
2010-04,-27.693,
2010-05,1306.293,
2010-06,1852.657,
2010-07,-449.884,
2010-08,-1009.675,
2010-09,1098.156,
2010-10,1090.222,
2010-11,-2055.260,
2010-12,877.148,
2011-01,2586.928,
2011-02,445.251,
2011-03,2093.053,
2011-04,-192.884,
2011-05,567.901,
2011-06,-570.243,
2011-07,813.577,
2011-08,-1100.349,
2011-09,2367.119,
2011-10,528.237,
2011-11,463.295,
2011-12,2768.064,
2012-01,-2470.251,
2012-02,1707.059,
2012-03,-366.211,
2012-04,505.251,
2012-05,-679.971,
2012-06,753.036,
2012-07,-1321.287,
2012-08,-922.992,
2012-09,4034.238,
2012-10,339.700,
2012-11,377.340,
2012-12,-2814.132,
2013-01,651.000,
2013-02,1373.000,
2013-03,1693.000,
2013-04,-1512.000,
2013-05,-1037.000,
2013-06,1557.000,
2013-07,-5594.000,
2013-08,950.000,
2013-09,6857.000,
2013-10,149.000,
2013-11,1386.000,
2013-12,-1854.000,
2014-01,-4135.000,
2014-02,2808.000,Provisional value
2014-03,449.000,Provisional value
2014-04,-1935.000,Provisional value
2014-05,-124.000,Provisional value
2014-06,1411.000,Provisional value
2014-07,-1000.000,Provisional value
2014-08,1106.000,Provisional value
2014-09,794.000,
2014-10,-1233.000,
2014-11,874.000,
2014-12,-1021.000,Provisional value
