"",BBXE1.M.I7.W.PROD.NS0020.IND.I00,BBXE1.M.I7.W.PROD.NS0020.IND.I00_FLAGS
2008-12,94.52,
2009-01,91.62,
2009-02,91.03,
2009-03,97.96,
2009-04,89.03,
2009-05,92.12,
2009-06,95.22,
2009-07,94.50,
2009-08,75.75,
2009-09,99.13,
2009-10,100.78,
2009-11,100.18,
2009-12,90.93,
2010-01,93.55,
2010-02,94.93,
2010-03,105.46,
2010-04,97.00,
2010-05,100.11,
2010-06,103.42,
2010-07,101.99,
2010-08,82.46,
2010-09,105.28,
2010-10,108.04,
2010-11,108.45,
2010-12,99.30,
2011-01,99.14,
2011-02,102.56,
2011-03,112.12,
2011-04,102.31,
2011-05,104.62,
2011-06,105.87,
2011-07,106.18,
2011-08,87.01,
2011-09,107.24,
2011-10,108.32,
2011-11,108.13,
2011-12,97.85,
2012-01,97.30,
2012-02,100.45,
2012-03,109.77,
2012-04,99.43,
2012-05,101.96,
2012-06,103.76,
2012-07,103.31,
2012-08,85.88,
2012-09,104.42,
2012-10,105.03,
2012-11,103.85,
2012-12,95.53,
2013-01,95.04,
2013-02,97.49,
2013-03,108.13,
2013-04,98.70,
2013-05,100.10,
2013-06,103.33,
2013-07,101.39,
2013-08,84.51,
2013-09,104.58,
2013-10,105.42,
2013-11,106.67,
2013-12,96.96,
2014-01,96.76,
2014-02,99.32,
2014-03,108.38,
2014-04,100.58,
2014-05,100.82,
2014-06,103.57,
2014-07,103.16,
2014-08,84.03,
2014-09,104.72,
2014-10,106.08,
2014-11,105.84,
2014-12,96.73,Estimated value
"",Source: Eurostat.,
"","Methodology: Total Industry, excluding construction. Working day adjusted. Nace Rev. 2 classification. Countries included: Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Luxembourg, Malta, Netherlands, Austria, Portugal, Slovakia, Slovenia and Spain.",
