"",BBSF2.M.1.P.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.REN01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
1984-03,6890,
1984-04,6946,
1984-05,6775,
1984-06,6828,
1984-07,6762,
1984-08,6898,
1984-09,7022,
1984-10,7105,
1984-11,7139,
1984-12,7192,
1985-01,7115,
1985-02,7083,
1985-03,7365,
1985-04,7572,
1985-05,7732,
1985-06,7838,
1985-07,7945,
1985-08,8268,
1985-09,8403,
1985-10,8385,
1985-11,8547,
1985-12,8774,
1986-01,8994,
1986-02,9547,
1986-03,9885,
1986-04,10473,
1986-05,10482,
1986-06,10524,
1986-07,10986,
1986-08,11733,
1986-09,11871,
1986-10,12226,
1986-11,12504,
1986-12,12967,
1987-01,13244,
1987-02,13065,
1987-03,13155,
1987-04,12871,
1987-05,12823,
1987-06,12378,
1987-07,12463,
1987-08,12734,
1987-09,12886,
1987-10,12949,
1987-11,13668,
1987-12,13756,
1988-01,13747,
1988-02,13942,
1988-03,13820,
1988-04,13125,
1988-05,12589,
1988-06,12254,
1988-07,11491,
1988-08,10821,
1988-09,11007,
1988-10,11210,
1988-11,10725,
1988-12,10169,
1989-01,9807,
1989-02,9052,
1989-03,9110,
1989-04,9366,
1989-05,9152,
1989-06,9329,
1989-07,9582,
1989-08,9600,
1989-09,9571,
1989-10,9451,
1989-11,10487,
1989-12,10647,
1990-01,10347,
1990-02,10075,
1990-03,10755,
1990-04,10496,
1990-05,10631,
1990-06,10702,
1990-07,10611,
1990-08,10441,
1990-09,10520,
1990-10,10706,
1990-11,10993,
1990-12,11341,
1991-01,11185,
1991-02,11372,
1991-03,11776,
1991-04,12302,
1991-05,12941,
1991-06,13771,
1991-07,14009,
1991-08,14160,
1991-09,14334,
1991-10,14845,
1991-11,15193,
1991-12,15631,
1992-01,16710,
1992-02,17114,
1992-03,17901,
1992-04,18097,
1992-05,18378,
1992-06,18607,
1992-07,18449,
1992-08,18306,
1992-09,18566,
1992-10,18602,
1992-11,18168,
1992-12,17408,
1993-01,17181,
1993-02,17861,
1993-03,17822,
1993-04,17250,
1993-05,17307,
1993-06,17057,
1993-07,16790,
1993-08,17057,
1993-09,17148,
1993-10,17629,
1993-11,17456,
1993-12,17636,
1994-01,17577,
1994-02,17881,
1994-03,18070,
1994-04,17998,
1994-05,18009,
1994-06,17970,
1994-07,18243,
1994-08,18282,
1994-09,18094,
1994-10,18127,
1994-11,18472,
1994-12,18621,
1995-01,19081,
1995-02,19598,
1995-03,20511,
1995-04,20971,
1995-05,21584,
1995-06,21717,
1995-07,22254,
1995-08,22604,
1995-09,23086,
1995-10,23497,
1995-11,24073,
1995-12,24716,
1996-01,25489,
1996-02,25193,
1996-03,25929,
1996-04,27120,
1996-05,27768,
1996-06,28048,
1996-07,28334,
1996-08,29283,
1996-09,29635,
1996-10,29970,
1996-11,29959,
1996-12,29986,
1997-01,30533,
1997-02,31279,
1997-03,31069,
1997-04,31580,
1997-05,31810,
1997-06,32440,
1997-07,32083,
1997-08,31123,
1997-09,31187,
1997-10,30808,
1997-11,30645,
1997-12,31222,
1998-01,31875,
1998-02,32591,
1998-03,32529,
1998-04,32554,
1998-05,32457,
1998-06,32886,
1998-07,32733,
1998-08,32561,
1998-09,31697,
1998-10,31045,
1998-11,31745,
1998-12,31715,
1999-01,33032,
1999-02,33074,
1999-03,33326,
1999-04,33790,
1999-05,33413,
1999-06,32486,
1999-07,31738,
1999-08,31361,
1999-09,31183,
1999-10,31083,
1999-11,29650,
1999-12,29404,
2000-01,27605,
2000-02,26425,
2000-03,26071,
2000-04,24909,
2000-05,24433,
2000-06,24426,
2000-07,24026,
2000-08,23875,
2000-09,23161,
2000-10,22480,
2000-11,22264,
2000-12,22221,
2001-01,22396,
2001-02,22149,
2001-03,22186,
2001-04,21620,
2001-05,20969,
2001-06,20987,
2001-07,20968,
2001-08,20999,
2001-09,21387,
2001-10,22502,
2001-11,22442,
2001-12,22475,
2002-01,22363,
2002-02,22701,
2002-03,22636,
2002-04,22849,
2002-05,22622,
2002-06,22775,
2002-07,22751,
2002-08,22962,
2002-09,23208,
2002-10,22685,
2002-11,23078,
2002-12,23354,
2003-01,24321,
2003-02,24853,
2003-03,24502,
2003-04,25354,
2003-05,25621,
2003-06,25405,
2003-07,25560,
2003-08,26082,
2003-09,26089,
2003-10,25804,
2003-11,25576,
2003-12,26066,
2004-01,25805,
2004-02,26306,
2004-03,28117,
2004-04,27251,
2004-05,27571,
2004-06,27375,
2004-07,26751,
2004-08,26897,
2004-09,26941,
2004-10,26531,
2004-11,26841,
2004-12,27013,
2005-01,27932,
2005-02,27635,
2005-03,28092,
2005-04,29388,
2005-05,29769,
2005-06,29314,
2005-07,29395,
2005-08,30080,
2005-09,30271,
2005-10,29651,
2005-11,29133,
2005-12,29149,
2006-01,28811,
2006-02,28820,
2006-03,28475,
2006-04,28018,
2006-05,29127,
2006-06,28510,
2006-07,28956,
2006-08,28581,
2006-09,28217,
2006-10,27315,
2006-11,26807,
2006-12,26295,
2007-01,25600,
2007-02,25296,
2007-03,24702,
2007-04,23493,
2007-05,23006,
2007-06,21814,
2007-07,22732,
2007-08,21967,
2007-09,21381,
2007-10,21451,
2007-11,21357,
2007-12,20583,
2008-01,20558,
2008-02,20059,
2008-03,19815,
2008-04,19328,
2008-05,18345,
2008-06,17774,
2008-07,17206,
2008-08,16925,
2008-09,17412,
2008-10,16958,
2008-11,17065,
2008-12,17109,
2009-01,16760,
2009-02,16473,
2009-03,16456,
2009-04,16810,
2009-05,16271,
2009-06,16445,
2009-07,16765,
2009-08,16610,
2009-09,15976,
2009-10,15664,
2009-11,16030,
2009-12,15915,
2010-01,16173,
2010-02,16501,
2010-03,16857,
2010-04,17692,
2010-05,18073,
2010-06,18096,
2010-07,18050,
2010-08,18527,
2010-09,18331,
2010-10,17725,
2010-11,17233,
2010-12,17488,
2011-01,16889,
2011-02,16256,
2011-03,15537,
2011-04,15386,
2011-05,15568,
2011-06,15709,
2011-07,17032,
2011-08,17722,
2011-09,18339,
2011-10,18092,
2011-11,17885,
2011-12,17777,
2012-01,18073,
2012-02,17902,
2012-03,17547,
2012-04,17728,
2012-05,18336,
2012-06,17770,
2012-07,17842,
2012-08,17389,
2012-09,16658,
2012-10,16375,
2012-11,15805,
2012-12,15801,
2013-01,15243,
2013-02,16353,
2013-03,16427,
2013-04,16256,
2013-05,16148,
2013-06,15726,
2013-07,15757,
2013-08,15715,
2013-09,15490,
2013-10,14963,
2013-11,13921,
2013-12,13360,
2014-01,13155,
2014-02,13338,
2014-03,12933,
2014-04,13084,
2014-05,12954,
2014-06,12870,
2014-07,13198,
2014-08,13649,
2014-09,13418,
2014-10,13060,
2014-11,12616,
