"",BBSF2.M.1.S.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
1986-03,568,
1986-04,580,
1986-05,582,
1986-06,590,
1986-07,607,
1986-08,623,
1986-09,631,
1986-10,650,
1986-11,660,
1986-12,662,
1987-01,669,
1987-02,670,
1987-03,697,
1987-04,709,
1987-05,713,
1987-06,718,
1987-07,722,
1987-08,729,
1987-09,741,
1987-10,734,
1987-11,771,
1987-12,783,
1988-01,793,
1988-02,793,
1988-03,810,
1988-04,833,
1988-05,844,
1988-06,854,
1988-07,864,
1988-08,888,
1988-09,894,
1988-10,887,
1988-11,924,
1988-12,937,
1989-01,933,
1989-02,937,
1989-03,932,
1989-04,957,
1989-05,985,
1989-06,1017,
1989-07,1029,
1989-08,1043,
1989-09,1067,
1989-10,1065,
1989-11,1090,
1989-12,1108,
1990-01,1115,
1990-02,1136,
1990-03,422,
1990-04,429,
1990-05,435,
1990-06,446,
1990-07,463,
1990-08,471,
1990-09,484,
1990-10,481,
1990-11,485,
1990-12,476,
1991-01,493,
1991-02,489,
1991-03,491,
1991-04,499,
1991-05,536,
1991-06,548,
1991-07,559,
1991-08,563,
1991-09,567,
1991-10,562,
1991-11,601,
1991-12,636,
1992-01,664,
1992-02,673,
1992-03,681,
1992-04,693,
1992-05,736,
1992-06,754,
1992-07,757,
1992-08,761,
1992-09,766,
1992-10,758,
1992-11,773,
1992-12,799,
1993-01,803,
1993-02,812,
1993-03,807,
1993-04,858,
1993-05,867,
1993-06,870,
1993-07,933,
1993-08,979,
1993-09,999,
1993-10,996,
1993-11,1007,
1993-12,1444,
1994-01,1471,
1994-02,1476,
1994-03,1471,
1994-04,1621,
1994-05,1634,
1994-06,1643,
1994-07,1664,
1994-08,1694,
1994-09,1716,
1994-10,1727,
1994-11,1725,
1994-12,1732,
1995-01,1744,
1995-02,1771,
1995-03,1788,
1995-04,1798,
1995-05,1826,
1995-06,1846,
1995-07,1873,
1995-08,1918,
1995-09,1929,
1995-10,1940,
1995-11,1942,
1995-12,1977,
1996-01,2000,
1996-02,2010,
1996-03,2004,
1996-04,2017,
1996-05,2063,
1996-06,2077,
1996-07,2067,
1996-08,2072,
1996-09,2088,
1996-10,2101,
1996-11,2151,
1996-12,2144,
1997-01,2146,
1997-02,2161,
1997-03,2136,
1997-04,2147,
1997-05,2132,
1997-06,2216,
1997-07,2231,
1997-08,2244,
1997-09,2234,
1997-10,2252,
1997-11,2248,
1997-12,2303,
1998-01,2501,
1998-02,2516,
1998-03,2516,
1998-04,2604,
1998-05,2623,
1998-06,2681,
1998-07,2693,
1998-08,2687,
1998-09,2720,
1998-10,2731,
1998-11,2756,
1998-12,2951,
1999-01,2995,
1999-02,3013,
1999-03,3010,
1999-04,3051,
1999-05,3105,
1999-06,3120,
1999-07,3282,
1999-08,3319,
1999-09,3624,
1999-10,3872,
1999-11,4044,
1999-12,4618,
2000-01,4745,
2000-02,4730,
2000-03,4762,
2000-04,5080,
2000-05,5342,
2000-06,5406,
2000-07,5560,
2000-08,5614,
2000-09,5686,
2000-10,5874,
2000-11,6116,
2000-12,6387,
2001-01,6485,
2001-02,6620,
2001-03,6617,
2001-04,6847,
2001-05,6992,
2001-06,7136,
2001-07,7279,
2001-08,7480,
2001-09,7713,
2001-10,7914,
2001-11,8215,
2001-12,8778,
2002-01,8935,
2002-02,9124,
2002-03,9288,
2002-04,9386,
2002-05,9606,
2002-06,9724,
2002-07,10002,
2002-08,10452,
2002-09,10710,
2002-10,10864,
2002-11,11005,
2002-12,11726,
2003-01,11869,
2003-02,11914,
2003-03,12002,
2003-04,12144,
2003-05,12297,
2003-06,12644,
2003-07,12739,
2003-08,12837,
2003-09,12995,
2003-10,13082,
2003-11,13143,
2003-12,13485,
2004-01,13611,
2004-02,13631,
2004-03,13774,
2004-04,13832,
2004-05,13820,
2004-06,13950,
2004-07,14169,
2004-08,14195,
2004-09,14273,
2004-10,14350,
2004-11,14462,
2004-12,14400,
2005-01,14487,
2005-02,14512,
2005-03,15138,
2005-04,15567,
2005-05,15864,
2005-06,16150,
2005-07,16188,
2005-08,16256,
2005-09,16506,
2005-10,16597,
2005-11,16634,
2005-12,16838,
2006-01,16981,
2006-02,17111,
2006-03,17247,
2006-04,17266,
2006-05,18701,
2006-06,18822,
2006-07,19022,
2006-08,19102,
2006-09,19372,
2006-10,19457,
2006-11,19632,
2006-12,19659,
2007-01,19788,
2007-02,19825,
2007-03,19757,
2007-04,19799,
2007-05,19897,
2007-06,19966,
2007-07,21048,
2007-08,21066,
2007-09,20988,
2007-10,21087,
2007-11,21398,
2007-12,21322,
2008-01,21430,
2008-02,21601,
2008-03,21102,
2008-04,21209,
2008-05,21428,
2008-06,21719,
2008-07,21937,
2008-08,22211,
2008-09,22449,
2008-10,22669,
2008-11,23365,
2008-12,23207,
2009-01,23358,
2009-02,23962,
2009-03,24076,
2009-04,24171,
2009-05,24578,
2009-06,24775,
2009-07,24909,
2009-08,25203,
2009-09,25524,
2009-10,26965,
2009-11,27255,
2009-12,27283,
2010-01,27693,
2010-02,27724,
2010-03,27790,
2010-04,27737,
2010-05,27889,
2010-06,27934,
2010-07,28187,
2010-08,28357,
2010-09,28458,
2010-10,29031,
2010-11,29378,
2010-12,29606,
2011-01,29728,
2011-02,30007,
2011-03,30265,
2011-04,30409,
2011-05,30682,
2011-06,30831,
2011-07,31056,
2011-08,31171,
2011-09,31524,
2011-10,32173,
2011-11,32537,
2011-12,32811,
2012-01,33136,
2012-02,33272,
2012-03,33600,
2012-04,33729,
2012-05,34077,
2012-06,34712,
2012-07,35102,
2012-08,35592,
2012-09,35901,
2012-10,36376,
2012-11,36596,
2012-12,37432,
2013-01,38034,
2013-02,38511,
2013-03,39319,
2013-04,39877,
2013-05,39866,
2013-06,40375,
2013-07,41143,
2013-08,41811,
2013-09,42113,
2013-10,42485,
2013-11,43661,
2013-12,44167,
2014-01,44638,
2014-02,45309,
2014-03,46354,
2014-04,46474,
2014-05,46854,
2014-06,47767,
2014-07,48504,
2014-08,48855,
2014-09,49290,
2014-10,49849,
2014-11,51015,
