"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P.P.F._Z._T._X.N_FLAGS
1997-07,1708.024,
1997-08,1678.264,
1997-09,1831.112,
1997-10,1746.151,
1997-11,1698.768,
1997-12,1997.627,
1998-01,1702.904,
1998-02,1771.705,
1998-03,1964.383,
1998-04,1859.024,
1998-05,1906.743,
1998-06,2388.265,
1998-07,2102.514,
1998-08,1928.104,
1998-09,2136.831,
1998-10,1930.740,
1998-11,1936.628,
1998-12,2235.294,
1999-01,2030.579,
1999-02,2064.007,
1999-03,2334.808,
1999-04,2241.567,
1999-05,2528.875,
1999-06,3031.425,
1999-07,2622.755,
1999-08,2386.152,
1999-09,2603.059,
1999-10,2356.284,
1999-11,2452.228,
1999-12,2778.578,
2000-01,2757.866,
2000-02,2824.275,
2000-03,3143.726,
2000-04,3046.335,
2000-05,3447.136,
2000-06,3775.750,
2000-07,3754.778,
2000-08,3189.654,
2000-09,3507.391,
2000-10,3395.282,
2000-11,3261.236,
2000-12,4002.336,
2001-01,3388.245,
2001-02,3461.607,
2001-03,4010.292,
2001-04,4016.451,
2001-05,4127.187,
2001-06,4564.488,
2001-07,3601.256,
2001-08,3544.950,
2001-09,3762.099,
2001-10,3706.140,
2001-11,3791.918,
2001-12,3911.879,
2002-01,3744.072,
2002-02,3857.360,
2002-03,4260.791,
2002-04,3860.034,
2002-05,4212.257,
2002-06,4501.889,
2002-07,3785.304,
2002-08,3627.931,
2002-09,4118.950,
2002-10,3398.874,
2002-11,3468.574,
2002-12,3950.626,
2003-01,3639.383,
2003-02,3308.204,
2003-03,3913.436,
2003-04,3746.408,
2003-05,3805.867,
2003-06,4022.542,
2003-07,3680.297,
2003-08,3447.011,
2003-09,3794.634,
2003-10,3465.437,
2003-11,3687.939,
2003-12,3883.028,
2004-01,3623.379,
2004-02,3554.943,
2004-03,3728.047,
2004-04,3995.650,
2004-05,4163.566,
2004-06,4926.746,
2004-07,3548.707,
2004-08,3684.511,
2004-09,4190.447,
2004-10,3432.964,
2004-11,4327.980,
2004-12,4041.882,
2005-01,3918.160,
2005-02,3904.962,
2005-03,4375.371,
2005-04,4455.019,
2005-05,4551.855,
2005-06,4649.560,
2005-07,3868.677,
2005-08,3925.745,
2005-09,4330.745,
2005-10,4046.980,
2005-11,4324.185,
2005-12,4191.097,
2006-01,4431.032,
2006-02,4451.539,
2006-03,4919.953,
2006-04,5181.815,
2006-05,5689.340,
2006-06,5482.630,
2006-07,4399.953,
2006-08,4562.431,
2006-09,4791.288,
2006-10,4573.250,
2006-11,5017.809,
2006-12,5182.166,
2007-01,5293.398,
2007-02,5479.347,
2007-03,5899.120,
2007-04,6172.670,
2007-05,7249.482,
2007-06,5909.354,
2007-07,5315.803,
2007-08,5591.462,
2007-09,5541.997,
2007-10,5644.824,
2007-11,6377.671,
2007-12,6809.722,
2008-01,5986.869,
2008-02,6201.018,
2008-03,6560.022,
2008-04,6745.024,
2008-05,7930.183,
2008-06,6358.500,
2008-07,6067.167,
2008-08,6081.318,
2008-09,6374.649,
2008-10,5956.266,
2008-11,6735.947,
2008-12,6548.891,
2009-01,6138.424,
2009-02,5970.168,
2009-03,6077.407,
2009-04,6292.811,
2009-05,6800.261,
2009-06,6109.636,
2009-07,5739.932,
2009-08,5710.401,
2009-09,5638.883,
2009-10,5523.982,
2009-11,5835.850,
2009-12,5868.561,
2010-01,5596.715,
2010-02,5593.225,
2010-03,5855.041,
2010-04,5945.185,
2010-05,6571.605,
2010-06,6324.739,
2010-07,5715.056,
2010-08,5705.943,
2010-09,5742.950,
2010-10,5599.442,
2010-11,6252.812,
2010-12,6266.055,
2011-01,6040.165,
2011-02,6028.506,
2011-03,6317.757,
2011-04,6297.478,
2011-05,7581.097,
2011-06,6836.809,
2011-07,6227.028,
2011-08,6167.094,
2011-09,6274.745,
2011-10,6214.879,
2011-11,6327.714,
2011-12,6734.940,
2012-01,6182.024,
2012-02,5969.920,
2012-03,6263.435,
2012-04,6376.008,
2012-05,7030.200,
2012-06,6358.232,
2012-07,6161.063,
2012-08,5854.923,
2012-09,6237.969,
2012-10,6130.719,
2012-11,6083.662,
2012-12,6405.777,
2013-01,6269.188,
2013-02,6100.411,
2013-03,6407.170,
2013-04,6547.837,
2013-05,7200.287,
2013-06,6412.697,
2013-07,6160.123,
2013-08,5952.515,
2013-09,6206.699,
2013-10,6176.447,
2013-11,6521.156,
2013-12,7469.792,
2014-01,5723.392,
2014-02,5736.756,Provisional value
2014-03,6449.813,Provisional value
2014-04,6761.988,Provisional value
2014-05,7418.763,Provisional value
2014-06,6536.799,Provisional value
2014-07,6094.121,Provisional value
2014-08,5884.492,Provisional value
2014-09,6173.356,
2014-10,6195.422,
2014-11,6249.081,
2014-12,6358.755,Provisional value
