"",BBFB1.M.N.DE.W1.S1.S1.T.C.G___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G___AD._Z._Z._Z._T._X.N_FLAGS
2002-08,5183.902,
2002-09,4338.350,
2002-10,5348.198,
2002-11,4599.679,
2002-12,4619.352,
2003-01,5688.810,
2003-02,4899.373,
2003-03,5296.219,
2003-04,5065.676,
2003-05,5421.198,
2003-06,5140.827,
2003-07,5214.102,
2003-08,4503.248,
2003-09,5364.409,
2003-10,4928.294,
2003-11,4866.139,
2003-12,4959.697,
2004-01,5013.856,
2004-02,4911.548,
2004-03,5518.385,
2004-04,5907.542,
2004-05,5501.025,
2004-06,5253.931,
2004-07,5638.880,
2004-08,5211.524,
2004-09,5406.443,
2004-10,5402.300,
2004-11,5600.150,
2004-12,5747.159,
2005-01,5513.448,
2005-02,4764.726,
2005-03,6260.005,
2005-04,5650.572,
2005-05,5369.840,
2005-06,5998.277,
2005-07,5243.790,
2005-08,6351.258,
2005-09,6002.924,
2005-10,5971.011,
2005-11,5801.176,
2005-12,5809.811,
2006-01,5339.223,
2006-02,5723.170,
2006-03,6836.942,
2006-04,5461.903,
2006-05,5916.477,
2006-06,5891.565,
2006-07,6316.743,
2006-08,5760.013,
2006-09,6310.831,
2006-10,6539.192,
2006-11,7369.476,
2006-12,6675.924,
2007-01,5049.384,
2007-02,5169.889,
2007-03,5481.105,
2007-04,5124.017,
2007-05,5356.524,
2007-06,5251.578,
2007-07,5125.489,
2007-08,4825.083,
2007-09,4546.339,
2007-10,6216.812,
2007-11,5432.895,
2007-12,4863.737,
2008-01,5501.979,
2008-02,5781.443,
2008-03,5099.563,
2008-04,5791.499,
2008-05,4810.506,
2008-06,5234.341,
2008-07,5315.989,
2008-08,4710.039,
2008-09,5327.761,
2008-10,5481.559,
2008-11,5545.956,
2008-12,5199.293,
2009-01,3924.633,
2009-02,4176.502,
2009-03,6102.555,
2009-04,4781.619,
2009-05,5191.894,
2009-06,5474.321,
2009-07,5219.210,
2009-08,4893.618,
2009-09,5053.484,
2009-10,5364.003,
2009-11,5181.168,
2009-12,5331.357,
2010-01,5465.650,
2010-02,5531.144,
2010-03,6820.937,
2010-04,5453.519,
2010-05,5827.905,
2010-06,6814.547,
2010-07,6122.760,
2010-08,5279.977,
2010-09,5904.817,
2010-10,6044.877,
2010-11,6084.441,
2010-12,6813.188,
2011-01,6449.629,
2011-02,5751.456,
2011-03,6807.256,
2011-04,5857.732,
2011-05,7011.591,
2011-06,5892.827,
2011-07,6285.692,
2011-08,6388.571,
2011-09,7513.747,
2011-10,6182.583,
2011-11,7426.104,
2011-12,6364.841,
2012-01,6607.878,
2012-02,6265.126,
2012-03,6839.474,
2012-04,5678.122,
2012-05,6837.556,
2012-06,6769.543,
2012-07,6235.618,
2012-08,5444.004,
2012-09,6777.736,
2012-10,7067.628,
2012-11,6704.480,
2012-12,5404.918,
2013-01,5628.869,
2013-02,5777.089,
2013-03,5481.175,
2013-04,5270.323,
2013-05,4689.900,
2013-06,5664.368,
2013-07,5322.086,
2013-08,4904.856,
2013-09,5182.698,
2013-10,5989.955,
2013-11,5485.571,
2013-12,4995.891,
2014-01,5459.835,
2014-02,5498.577,
2014-03,5521.733,
2014-04,5759.939,
2014-05,5356.804,
2014-06,5631.226,
2014-07,6137.745,
2014-08,5208.943,
2014-09,5772.819,
2014-10,6067.013,
2014-11,6105.341,
2014-12,5885.424,Provisional value
