"",BBFN1.M.DE.N.1.L.BE.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1996-12,0.067,
1997-01,0.085,
1997-02,0.099,
1997-03,0.106,
1997-04,0.106,
1997-05,0.121,
1997-06,0.138,
1997-07,0.157,
1997-08,0.170,
1997-09,0.162,
1997-10,0.162,
1997-11,0.188,
1997-12,0.193,
1998-01,0.192,
1998-02,0.192,
1998-03,0.197,
1998-04,0.208,
1998-05,0.230,
1998-06,0.215,
1998-07,0.218,
1998-08,0.218,
1998-09,0.262,
1998-10,0.264,
1998-11,0.278,
1998-12,0.281,
1999-01,0.252,
1999-02,0.274,
1999-03,0.239,
1999-04,0.238,
1999-05,0.239,
1999-06,0.239,
1999-07,0.245,
1999-08,0.245,
1999-09,0.237,
1999-10,0.236,
1999-11,0.165,
1999-12,0.229,
2000-01,0.226,
2000-02,0.220,
2000-03,0.211,
2000-04,0.210,
2000-05,0.210,
2000-06,0.221,
2000-07,0.227,
2000-08,0.237,
2000-09,0.273,
2000-10,0.245,
2000-11,0.220,
2000-12,0.307,
2001-01,0.305,
2001-02,0.304,
2001-03,0.336,
2001-04,0.362,
2001-05,0.356,
2001-06,0.334,
2001-07,0.261,
2001-08,0.260,
2001-09,0.257,
2001-10,0.253,
2001-11,0.254,
2001-12,0.242,
2002-01,0.230,
2002-02,0.229,
2002-03,0.212,
2002-04,0.212,
2002-05,0.212,
2002-06,0.188,
2002-07,0.188,
2002-08,0.188,
2002-09,0.187,
2002-10,0.187,
2002-11,0.187,
2002-12,0.079,
2003-01,0.079,
2003-02,0.079,
2003-03,0.061,
2003-04,0.061,
2003-05,0.078,
2003-06,0.066,
2003-07,0.069,
2003-08,0.069,
2003-09,0.069,
2003-10,0.069,
2003-11,0.069,
2003-12,0.059,
2004-01,0.059,
2004-02,0.059,
2004-03,0.059,
2004-04,0.059,
2004-05,0.059,
2004-06,0.160,
2004-07,0.144,
2004-08,0.144,
2004-09,0.144,
2004-10,0.044,
2004-11,0.044,
2004-12,0.019,
2005-01,0.019,
2005-02,.,No value available
2005-03,.,No value available
2005-04,0.036,
2005-05,0.036,
2005-06,0.036,
2005-07,0.036,
2005-08,0.036,
2005-09,0.036,
2005-10,0.036,
2005-11,0.036,
2005-12,0.035,
2006-01,0.035,
2006-02,.,No value available
2006-03,0.055,
2006-04,0.055,
2006-05,0.055,
2006-06,0.055,
2006-07,0.055,
2006-08,0.193,
2006-09,0.204,
2006-10,0.193,
2006-11,0.193,
2006-12,0.193,
2007-01,0.193,
2007-02,0.193,
2007-03,0.258,
2007-04,0.284,
2007-05,0.284,
2007-06,0.284,
2007-07,0.284,
2007-08,0.367,
2007-09,0.367,
2007-10,0.292,
2007-11,0.291,
2007-12,0.276,
2008-01,0.276,
2008-02,0.586,
2008-03,0.589,
2008-04,0.589,
2008-05,0.587,
2008-06,0.587,
2008-07,0.579,
2008-08,0.603,
2008-09,0.603,
2008-10,0.597,
2008-11,0.595,
2008-12,0.577,
2009-01,0.577,
2009-02,0.595,
2009-03,0.261,
2009-04,0.261,
2009-05,0.240,
2009-06,0.260,
2009-07,0.310,
2009-08,0.451,
2009-09,0.451,
2009-10,0.449,
2009-11,0.446,
2009-12,0.511,
2010-01,0.553,
2010-02,0.500,
2010-03,0.483,
2010-04,0.483,
2010-05,0.481,
2010-06,0.481,
2010-07,0.481,
2010-08,0.481,
2010-09,0.479,
2010-10,0.479,
2010-11,0.483,
2010-12,0.498,
2011-01,0.497,
2011-02,0.497,
2011-03,0.457,
2011-04,0.460,
2011-05,0.474,
2011-06,0.437,
2011-07,0.440,
2011-08,0.425,
2011-09,0.434,
2011-10,0.440,
2011-11,0.435,
2011-12,0.435,
2012-01,0.435,
2012-02,0.435,
2012-03,0.428,
2012-04,0.407,
2012-05,0.407,
2012-06,0.363,
2012-07,0.374,
2012-08,0.354,
2012-09,0.351,
2012-10,0.350,
2012-11,0.350,
2012-12,0.350,
2013-01,0.400,
2013-02,0.489,
2013-03,0.668,
2013-04,0.679,
2013-05,0.945,
2013-06,0.964,
2013-07,1.114,
2013-08,1.027,
2013-09,1.027,
2013-10,1.075,
2013-11,1.089,
2013-12,1.072,
2014-01,1.116,
2014-02,1.124,
2014-03,1.051,
2014-04,1.105,
2014-05,1.168,
2014-06,1.202,
2014-07,1.577,
2014-08,1.651,
2014-09,1.636,
2014-10,1.471,
2014-11,1.581,
2014-12,1.564,
