"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F52._Z._T.M.N_FLAGS
1998-12,799.018,
1999-01,1292.379,
1999-02,1233.321,
1999-03,25.203,
1999-04,155.384,
1999-05,-28.133,
1999-06,-1241.788,
1999-07,451.814,
1999-08,-230.943,
1999-09,355.141,
1999-10,1447.534,
1999-11,1343.605,
1999-12,957.643,
2000-01,1625.898,
2000-02,1790.532,
2000-03,1720.782,
2000-04,751.737,
2000-05,596.287,
2000-06,719.833,
2000-07,691.787,
2000-08,562.864,
2000-09,426.090,
2000-10,789.779,
2000-11,353.256,
2000-12,971.588,
2001-01,781.898,
2001-02,-1944.171,
2001-03,-799.498,
2001-04,-171.308,
2001-05,-679.509,
2001-06,127.685,
2001-07,-260.933,
2001-08,-229.883,
2001-09,-32.721,
2001-10,1194.228,
2001-11,738.004,
2001-12,2226.745,
2002-01,-328.252,
2002-02,988.045,
2002-03,389.922,
2002-04,-412.253,
2002-05,501.503,
2002-06,-1090.067,
2002-07,275.027,
2002-08,1271.007,
2002-09,-554.405,
2002-10,-16.857,
2002-11,323.833,
2002-12,-2029.244,
2003-01,-684.036,
2003-02,76.162,
2003-03,-195.710,
2003-04,-73.724,
2003-05,-417.273,
2003-06,10.057,
2003-07,-595.003,
2003-08,745.524,
2003-09,-903.128,
2003-10,1273.069,
2003-11,-812.852,
2003-12,-216.254,
2004-01,-309.882,
2004-02,328.310,
2004-03,762.621,
2004-04,-441.426,
2004-05,-403.739,
2004-06,-629.457,
2004-07,3644.554,
2004-08,843.477,
2004-09,-508.113,
2004-10,-919.805,
2004-11,2194.188,
2004-12,-392.550,
2005-01,-1595.821,
2005-02,-437.946,
2005-03,2545.574,
2005-04,959.943,
2005-05,-167.710,
2005-06,-94.475,
2005-07,1780.147,
2005-08,841.282,
2005-09,1920.852,
2005-10,-1908.075,
2005-11,1227.318,
2005-12,945.135,
2006-01,208.589,
2006-02,4224.751,
2006-03,434.021,
2006-04,1307.841,
2006-05,-149.082,
2006-06,-330.775,
2006-07,576.054,
2006-08,497.050,
2006-09,78.974,
2006-10,-339.455,
2006-11,653.738,
2006-12,1094.534,
2007-01,231.013,
2007-02,976.595,
2007-03,-197.270,
2007-04,891.659,
2007-05,502.961,
2007-06,444.193,
2007-07,451.050,
2007-08,285.678,
2007-09,165.474,
2007-10,33.206,
2007-11,379.721,
2007-12,304.222,
2008-01,-1057.754,
2008-02,649.481,
2008-03,-1204.882,
2008-04,3553.380,
2008-05,293.714,
2008-06,-3350.905,
2008-07,-672.323,
2008-08,-381.629,
2008-09,-700.088,
2008-10,-7691.683,
2008-11,95.659,
2008-12,1750.880,
2009-01,366.826,
2009-02,882.145,
2009-03,-984.489,
2009-04,1812.276,
2009-05,5429.873,
2009-06,-2227.811,
2009-07,-884.149,
2009-08,-331.133,
2009-09,6703.766,
2009-10,-525.131,
2009-11,1144.648,
2009-12,409.543,
2010-01,875.377,
2010-02,338.012,
2010-03,484.079,
2010-04,485.274,
2010-05,1773.936,
2010-06,-2229.851,
2010-07,-715.958,
2010-08,579.686,
2010-09,806.118,
2010-10,593.070,
2010-11,239.158,
2010-12,368.991,
2011-01,1065.881,
2011-02,609.719,
2011-03,442.377,
2011-04,246.521,
2011-05,1817.447,
2011-06,-834.084,
2011-07,1598.065,
2011-08,22.980,
2011-09,1286.416,
2011-10,1113.561,
2011-11,-1080.353,
2011-12,806.774,
2012-01,-276.665,
2012-02,-264.035,
2012-03,-427.832,
2012-04,-6899.920,
2012-05,5036.917,
2012-06,-503.301,
2012-07,-46.582,
2012-08,-835.189,
2012-09,-239.457,
2012-10,-301.217,
2012-11,442.732,
2012-12,515.409,
2013-01,33.057,
2013-02,381.418,
2013-03,-198.270,
2013-04,-975.528,
2013-05,833.687,
2013-06,-647.310,
2013-07,612.244,
2013-08,-49.730,
2013-09,660.241,
2013-10,1907.261,
2013-11,2933.863,
2013-12,510.118,
2014-01,697.991,
2014-02,19.827,Provisional value
2014-03,-797.516,Provisional value
2014-04,-3438.607,Provisional value
2014-05,2844.715,Provisional value
2014-06,1248.957,Provisional value
2014-07,-374.919,Provisional value
2014-08,143.629,Provisional value
2014-09,-2941.028,
2014-10,-1729.489,
2014-11,-794.995,
2014-12,-898.235,Provisional value
