"",BBDE1.M.DE.Y.AEA1.A2R240050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R240050.F.C.I10.A_FLAGS
1999-03,82.8,
1999-04,82.8,
1999-05,84.0,
1999-06,85.5,
1999-07,86.6,
1999-08,88.4,
1999-09,90.4,
1999-10,89.1,
1999-11,91.0,
1999-12,92.7,
2000-01,88.6,
2000-02,91.9,
2000-03,90.9,
2000-04,91.1,
2000-05,94.5,
2000-06,90.4,
2000-07,93.3,
2000-08,93.3,
2000-09,92.3,
2000-10,93.7,
2000-11,91.5,
2000-12,93.8,
2001-01,93.1,
2001-02,92.5,
2001-03,90.3,
2001-04,89.5,
2001-05,90.4,
2001-06,88.8,
2001-07,90.1,
2001-08,90.0,
2001-09,89.4,
2001-10,88.1,
2001-11,85.4,
2001-12,90.3,
2002-01,90.3,
2002-02,90.6,
2002-03,86.8,
2002-04,91.5,
2002-05,93.2,
2002-06,92.2,
2002-07,93.5,
2002-08,90.5,
2002-09,93.5,
2002-10,93.0,
2002-11,92.1,
2002-12,90.6,
2003-01,90.2,
2003-02,90.2,
2003-03,89.6,
2003-04,88.8,
2003-05,87.3,
2003-06,89.4,
2003-07,89.7,
2003-08,89.2,
2003-09,90.4,
2003-10,93.7,
2003-11,95.7,
2003-12,98.2,
2004-01,96.7,
2004-02,96.5,
2004-03,98.4,
2004-04,97.9,
2004-05,97.2,
2004-06,95.1,
2004-07,95.6,
2004-08,95.5,
2004-09,95.4,
2004-10,94.1,
2004-11,92.5,
2004-12,95.7,
2005-01,92.4,
2005-02,90.3,
2005-03,90.7,
2005-04,90.1,
2005-05,90.5,
2005-06,93.1,
2005-07,100.1,
2005-08,95.9,
2005-09,99.5,
2005-10,101.4,
2005-11,100.3,
2005-12,102.4,
2006-01,101.7,
2006-02,102.4,
2006-03,102.9,
2006-04,105.2,
2006-05,107.1,
2006-06,107.4,
2006-07,107.4,
2006-08,110.7,
2006-09,108.5,
2006-10,109.3,
2006-11,110.9,
2006-12,111.4,
2007-01,109.8,
2007-02,110.8,
2007-03,111.3,
2007-04,109.5,
2007-05,114.1,
2007-06,112.7,
2007-07,110.0,
2007-08,112.1,
2007-09,112.4,
2007-10,116.2,
2007-11,123.2,
2007-12,121.8,
2008-01,115.3,
2008-02,116.7,
2008-03,114.6,
2008-04,115.7,
2008-05,115.9,
2008-06,113.1,
2008-07,109.8,
2008-08,110.1,
2008-09,102.5,
2008-10,94.3,
2008-11,82.5,
2008-12,76.4,
2009-01,71.1,
2009-02,66.4,
2009-03,67.7,
2009-04,73.6,
2009-05,77.2,
2009-06,83.1,
2009-07,83.4,
2009-08,88.4,
2009-09,89.5,
2009-10,86.5,
2009-11,90.9,
2009-12,87.1,
2010-01,89.7,
2010-02,94.2,
2010-03,96.4,
2010-04,105.1,
2010-05,99.4,
2010-06,101.1,
2010-07,100.2,
2010-08,100.3,
2010-09,101.7,
2010-10,101.8,
2010-11,103.4,
2010-12,102.3,
2011-01,107.9,
2011-02,106.5,
2011-03,107.8,
2011-04,105.9,
2011-05,106.3,
2011-06,107.2,
2011-07,105.9,
2011-08,108.9,
2011-09,104.2,
2011-10,105.6,
2011-11,100.8,
2011-12,105.7,
2012-01,103.8,
2012-02,104.6,
2012-03,101.9,
2012-04,103.4,
2012-05,103.6,
2012-06,102.7,
2012-07,101.1,
2012-08,103.2,
2012-09,97.6,
2012-10,101.3,
2012-11,100.6,
2012-12,103.5,
2013-01,99.3,
2013-02,100.9,
2013-03,99.9,
2013-04,101.7,
2013-05,101.7,
2013-06,105.0,
2013-07,103.3,
2013-08,104.0,
2013-09,103.1,
2013-10,104.1,
2013-11,102.4,
2013-12,105.8,
2014-01,103.1,
2014-02,106.6,
2014-03,106.9,
2014-04,105.9,
2014-05,103.3,
2014-06,104.1,
2014-07,105.1,
2014-08,106.2,
2014-09,105.2,
2014-10,106.0,
2014-11,101.4,
2014-12,104.7,Provisional value
