"",BBFN1.M.DE.N.1.A.LU.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LU.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2004-11,1.729,
2004-12,1.870,
2005-01,1.883,
2005-02,1.984,
2005-03,1.977,
2005-04,1.962,
2005-05,1.872,
2005-06,1.903,
2005-07,1.828,
2005-08,1.792,
2005-09,1.787,
2005-10,1.781,
2005-11,1.954,
2005-12,1.919,
2006-01,1.935,
2006-02,1.999,
2006-03,2.052,
2006-04,2.145,
2006-05,2.186,
2006-06,3.150,
2006-07,3.167,
2006-08,3.298,
2006-09,3.255,
2006-10,3.331,
2006-11,3.319,
2006-12,3.389,
2007-01,3.491,
2007-02,3.495,
2007-03,3.540,
2007-04,3.604,
2007-05,3.603,
2007-06,3.576,
2007-07,2.671,
2007-08,2.749,
2007-09,2.804,
2007-10,2.867,
2007-11,2.897,
2007-12,2.859,
2008-01,2.905,
2008-02,2.957,
2008-03,2.885,
2008-04,2.866,
2008-05,2.840,
2008-06,2.878,
2008-07,2.916,
2008-08,2.929,
2008-09,2.959,
2008-10,2.928,
2008-11,2.949,
2008-12,2.981,
2009-01,3.027,
2009-02,2.927,
2009-03,2.929,
2009-04,3.092,
2009-05,3.566,
2009-06,3.676,
2009-07,4.002,
2009-08,4.006,
2009-09,4.281,
2009-10,4.274,
2009-11,4.823,
2009-12,4.700,
2010-01,4.841,
2010-02,4.883,
2010-03,4.945,
2010-04,5.065,
2010-05,5.163,
2010-06,5.202,
2010-07,5.219,
2010-08,5.262,
2010-09,5.269,
2010-10,5.540,
2010-11,5.592,
2010-12,5.637,
2011-01,7.086,
2011-02,7.060,
2011-03,7.087,
2011-04,6.835,
2011-05,7.097,
2011-06,7.097,
2011-07,7.193,
2011-08,7.383,
2011-09,7.412,
2011-10,7.475,
2011-11,7.427,
2011-12,7.277,
2012-01,7.421,
2012-02,7.400,
2012-03,6.442,
2012-04,6.481,
2012-05,6.704,
2012-06,6.711,
2012-07,7.036,
2012-08,7.243,
2012-09,7.002,
2012-10,7.019,
2012-11,7.307,
2012-12,7.556,
2013-01,7.590,
2013-02,7.559,
2013-03,7.707,
2013-04,7.657,
2013-05,7.623,
2013-06,7.640,
2013-07,7.683,
2013-08,7.577,
2013-09,7.590,
2013-10,7.604,
2013-11,7.495,
2013-12,7.720,
2014-01,7.472,
2014-02,7.369,
2014-03,7.409,
2014-04,7.432,
2014-05,7.714,
2014-06,7.741,
2014-07,7.889,
2014-08,7.782,
2014-09,7.823,
2014-10,7.823,
2014-11,7.729,
2014-12,7.633,
