"",BBFN1.M.DE.N.1.L.SG.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2011-11,1.971,
2011-12,2.027,
2012-01,1.965,
2012-02,2.103,
2012-03,2.053,
2012-04,2.053,
2012-05,1.971,
2012-06,2.082,
2012-07,2.091,
2012-08,2.011,
2012-09,2.011,
2012-10,2.024,
2012-11,2.110,
2012-12,2.173,
2013-01,2.248,
2013-02,2.146,
2013-03,2.183,
2013-04,2.262,
2013-05,2.210,
2013-06,2.077,
2013-07,2.202,
2013-08,2.249,
2013-09,2.333,
2013-10,2.190,
2013-11,2.008,
2013-12,2.099,
2014-01,2.003,
2014-02,2.014,
2014-03,1.906,
2014-04,1.891,
2014-05,1.788,
2014-06,1.786,
2014-07,1.687,
2014-08,1.724,
2014-09,1.783,
2014-10,1.949,
2014-11,1.873,
2014-12,1.991,
