"",BBDE1.M.DE.Y.BAA1.A2P200000.G.C.I10.L,BBDE1.M.DE.Y.BAA1.A2P200000.G.C.I10.L_FLAGS
1966-02,45.1,
1966-03,46.4,
1966-04,45.5,
1966-05,45.3,
1966-06,45.9,
1966-07,45.5,
1966-08,44.8,
1966-09,45.1,
1966-10,44.4,
1966-11,43.5,
1966-12,43.2,
1967-01,43.1,
1967-02,42.6,
1967-03,42.5,
1967-04,42.5,
1967-05,41.9,
1967-06,42.8,
1967-07,43.9,
1967-08,43.1,
1967-09,44.3,
1967-10,44.6,
1967-11,44.9,
1967-12,46.9,
1968-01,43.6,
1968-02,44.5,
1968-03,45.4,
1968-04,45.8,
1968-05,46.9,
1968-06,47.5,
1968-07,46.9,
1968-08,50.1,
1968-09,49.4,
1968-10,49.7,
1968-11,50.9,
1968-12,51.1,
1969-01,51.4,
1969-02,51.6,
1969-03,52.1,
1969-04,52.6,
1969-05,53.2,
1969-06,53.7,
1969-07,53.7,
1969-08,55.2,
1969-09,54.6,
1969-10,55.5,
1969-11,56.0,
1969-12,55.8,
1970-01,55.5,
1970-02,56.4,
1970-03,56.8,
1970-04,57.5,
1970-05,57.7,
1970-06,57.2,
1970-07,58.1,
1970-08,57.1,
1970-09,56.8,
1970-10,57.0,
1970-11,56.5,
1970-12,57.9,
1971-01,58.2,
1971-02,57.7,
1971-03,57.6,
1971-04,58.0,
1971-05,57.2,
1971-06,57.8,
1971-07,58.8,
1971-08,56.4,
1971-09,57.5,
1971-10,57.7,
1971-11,56.7,
1971-12,56.2,
1972-01,57.7,
1972-02,57.9,
1972-03,59.0,
1972-04,59.0,
1972-05,58.7,
1972-06,59.1,
1972-07,59.5,
1972-08,59.1,
1972-09,58.9,
1972-10,59.8,
1972-11,60.8,
1972-12,60.4,
1973-01,62.1,
1973-02,62.8,
1973-03,63.0,
1973-04,62.4,
1973-05,63.2,
1973-06,62.7,
1973-07,60.6,
1973-08,63.9,
1973-09,63.3,
1973-10,63.0,
1973-11,63.1,
1973-12,62.6,
1974-01,63.0,
1974-02,62.9,
1974-03,62.1,
1974-04,62.6,
1974-05,63.3,
1974-06,62.1,
1974-07,62.3,
1974-08,60.5,
1974-09,60.4,
1974-10,60.3,
1974-11,59.7,
1974-12,57.1,
1975-01,57.3,
1975-02,57.2,
1975-03,57.0,
1975-04,56.8,
1975-05,56.6,
1975-06,56.4,
1975-07,55.3,
1975-08,57.2,
1975-09,57.3,
1975-10,58.1,
1975-11,58.7,
1975-12,59.0,
1976-01,59.7,
1976-02,60.4,
1976-03,60.5,
1976-04,61.0,
1976-05,61.6,
1976-06,62.3,
1976-07,59.8,
1976-08,61.4,
1976-09,62.5,
1976-10,62.4,
1976-11,62.5,
1976-12,62.9,
1977-01,63.0,
1977-02,63.1,
1977-03,63.6,
1977-04,62.5,
1977-05,62.3,
1977-06,63.4,
1977-07,60.7,
1977-08,63.2,
1977-09,63.3,
1977-10,62.8,
1977-11,63.1,
1977-12,63.4,
1978-01,64.8,
1978-02,62.9,
1978-03,61.2,
1978-04,62.3,
1978-05,62.5,
1978-06,61.9,
1978-07,63.9,
1978-08,64.3,
1978-09,65.1,
1978-10,64.0,
1978-11,64.7,
1978-12,65.8,
1979-01,64.8,
1979-02,65.1,
1979-03,64.7,
1979-04,66.7,
1979-05,66.3,
1979-06,67.7,
1979-07,68.1,
1979-08,66.9,
1979-09,66.9,
1979-10,66.3,
1979-11,68.0,
1979-12,69.8,
1980-01,69.1,
1980-02,68.8,
1980-03,68.1,
1980-04,67.4,
1980-05,67.4,
1980-06,66.6,
1980-07,67.0,
1980-08,67.3,
1980-09,64.6,
1980-10,64.8,
1980-11,66.3,
1980-12,65.7,
1981-01,65.2,
1981-02,66.5,
1981-03,66.0,
1981-04,65.5,
1981-05,66.0,
1981-06,64.8,
1981-07,65.3,
1981-08,65.7,
1981-09,65.6,
1981-10,65.9,
1981-11,65.7,
1981-12,65.4,
1982-01,65.4,
1982-02,65.2,
1982-03,65.3,
1982-04,65.5,
1982-05,65.7,
1982-06,63.7,
1982-07,61.4,
1982-08,62.5,
1982-09,62.5,
1982-10,61.7,
1982-11,61.3,
1982-12,61.9,
1983-01,62.5,
1983-02,61.9,
1983-03,62.7,
1983-04,63.6,
1983-05,63.3,
1983-06,65.2,
1983-07,62.4,
1983-08,62.9,
1983-09,64.4,
1983-10,64.1,
1983-11,65.0,
1983-12,65.3,
1984-01,65.6,
1984-02,65.8,
1984-03,64.7,
1984-04,64.7,
1984-05,65.0,
1984-06,58.4,
1984-07,66.2,
1984-08,65.4,
1984-09,66.9,
1984-10,66.7,
1984-11,67.6,
1984-12,68.1,
1985-01,67.1,
1985-02,67.9,
1985-03,68.2,
1985-04,67.6,
1985-05,68.5,
1985-06,69.1,
1985-07,69.8,
1985-08,68.2,
1985-09,69.0,
1985-10,69.6,
1985-11,71.0,
1985-12,68.7,
1986-01,69.5,
1986-02,70.1,
1986-03,70.3,
1986-04,70.6,
1986-05,70.6,
1986-06,70.2,
1986-07,71.2,
1986-08,70.1,
1986-09,69.6,
1986-10,69.6,
1986-11,70.7,
1986-12,70.1,
1987-01,67.9,
1987-02,69.9,
1987-03,69.3,
1987-04,70.6,
1987-05,71.7,
1987-06,69.8,
1987-07,69.2,
1987-08,71.0,
1987-09,69.9,
1987-10,70.9,
1987-11,71.4,
1987-12,71.9,
1988-01,71.5,
1988-02,71.4,
1988-03,71.2,
1988-04,72.1,
1988-05,72.5,
1988-06,73.0,
1988-07,71.4,
1988-08,74.5,
1988-09,73.3,
1988-10,73.6,
1988-11,73.9,
1988-12,74.7,
1989-01,74.8,
1989-02,75.0,
1989-03,75.3,
1989-04,77.4,
1989-05,73.8,
1989-06,76.3,
1989-07,76.9,
1989-08,76.9,
1989-09,76.9,
1989-10,77.2,
1989-11,77.5,
1989-12,77.7,
1990-01,78.8,
1990-02,79.2,
1990-03,79.6,
1990-04,78.0,
1990-05,80.3,
1990-06,79.9,
1990-07,80.6,
1990-08,81.8,
1990-09,81.7,
1990-10,82.3,
1990-11,81.8,
1990-12,82.6,
1991-01,85.7,
1991-02,84.4,
1991-03,83.8,
1991-04,83.0,
1991-05,82.0,
1991-06,85.0,
1991-07,82.8,
1991-08,81.6,
1991-09,80.8,
1991-10,82.6,
1991-11,83.4,
1991-12,83.4,
1992-01,84.7,
1992-02,85.8,
1992-03,83.3,
1992-04,83.3,
1992-05,82.5,
1992-06,81.3,
1992-07,79.9,
1992-08,80.5,
1992-09,79.2,
1992-10,79.2,
1992-11,78.1,
1992-12,76.8,
1993-01,76.3,
1993-02,74.9,
1993-03,75.0,
1993-04,74.4,
1993-05,74.4,
1993-06,73.8,
1993-07,72.4,
1993-08,75.4,
1993-09,74.7,
1993-10,75.0,
1993-11,74.4,
1993-12,75.2,
1994-01,74.8,
1994-02,76.1,
1994-03,75.7,
1994-04,76.5,
1994-05,76.4,
1994-06,76.6,
1994-07,76.4,
1994-08,76.5,
1994-09,77.3,
1994-10,79.0,
1994-11,79.3,
1994-12,79.3,
1995-01,77.5,
1995-02,78.8,
1995-03,78.2,
1995-04,78.5,
1995-05,78.9,
1995-06,78.2,
1995-07,78.0,
1995-08,77.0,
1995-09,78.5,
1995-10,76.4,
1995-11,76.9,
1995-12,76.9,
1996-01,76.8,
1996-02,76.6,
1996-03,76.8,
1996-04,76.6,
1996-05,77.4,
1996-06,77.6,
1996-07,76.8,
1996-08,78.0,
1996-09,78.5,
1996-10,77.4,
1996-11,78.6,
1996-12,78.5,
1997-01,77.5,
1997-02,78.6,
1997-03,79.4,
1997-04,79.2,
1997-05,78.6,
1997-06,80.8,
1997-07,82.0,
1997-08,79.3,
1997-09,80.1,
1997-10,81.2,
1997-11,81.5,
1997-12,82.5,
1998-01,83.3,
1998-02,83.1,
1998-03,84.0,
1998-04,83.4,
1998-05,84.1,
1998-06,83.2,
1998-07,85.0,
1998-08,83.0,
1998-09,82.5,
1998-10,83.1,
1998-11,81.9,
1998-12,82.2,
1999-01,83.7,
1999-02,82.1,
1999-03,82.6,
1999-04,83.1,
1999-05,83.7,
1999-06,83.6,
1999-07,84.3,
1999-08,85.0,
1999-09,84.8,
1999-10,85.6,
1999-11,85.6,
1999-12,85.8,
2000-01,85.1,
2000-02,87.1,
2000-03,87.1,
2000-04,88.2,
2000-05,90.6,
2000-06,88.1,
2000-07,89.9,
2000-08,90.8,
2000-09,90.8,
2000-10,90.6,
2000-11,91.1,
2000-12,91.7,
2001-01,91.3,
2001-02,92.5,
2001-03,91.0,
2001-04,89.4,
2001-05,90.6,
2001-06,90.8,
2001-07,88.2,
2001-08,90.6,
2001-09,89.4,
2001-10,87.7,
2001-11,86.8,
2001-12,87.4,
2002-01,87.6,
2002-02,88.0,
2002-03,88.2,
2002-04,88.4,
2002-05,87.6,
2002-06,89.8,
2002-07,88.2,
2002-08,90.1,
2002-09,89.2,
2002-10,88.1,
2002-11,89.9,
2002-12,88.4,
2003-01,89.0,
2003-02,88.9,
2003-03,88.8,
2003-04,88.6,
2003-05,88.1,
2003-06,87.4,
2003-07,89.4,
2003-08,87.3,
2003-09,87.2,
2003-10,89.5,
2003-11,90.6,
2003-12,90.8,
2004-01,90.4,
2004-02,90.9,
2004-03,90.0,
2004-04,91.4,
2004-05,92.5,
2004-06,91.8,
2004-07,92.9,
2004-08,91.9,
2004-09,91.8,
2004-10,92.8,
2004-11,91.2,
2004-12,91.1,
2005-01,93.8,
2005-02,92.2,
2005-03,93.3,
2005-04,94.1,
2005-05,92.9,
2005-06,94.9,
2005-07,96.3,
2005-08,93.6,
2005-09,96.2,
2005-10,98.1,
2005-11,96.9,
2005-12,96.9,
2006-01,97.4,
2006-02,97.7,
2006-03,96.8,
2006-04,99.1,
2006-05,100.6,
2006-06,99.9,
2006-07,101.6,
2006-08,102.4,
2006-09,102.3,
2006-10,102.0,
2006-11,104.0,
2006-12,104.9,
2007-01,105.2,
2007-02,105.8,
2007-03,106.3,
2007-04,105.3,
2007-05,107.1,
2007-06,107.1,
2007-07,108.0,
2007-08,108.1,
2007-09,109.3,
2007-10,109.4,
2007-11,109.2,
2007-12,110.3,
2008-01,111.9,
2008-02,111.3,
2008-03,110.8,
2008-04,111.2,
2008-05,108.7,
2008-06,109.8,
2008-07,108.1,
2008-08,110.3,
2008-09,107.7,
2008-10,105.4,
2008-11,101.0,
2008-12,97.0,
2009-01,89.5,
2009-02,86.7,
2009-03,87.0,
2009-04,84.5,
2009-05,88.2,
2009-06,89.0,
2009-07,88.0,
2009-08,89.2,
2009-09,93.2,
2009-10,91.2,
2009-11,92.1,
2009-12,92.2,
2010-01,93.1,
2010-02,92.4,
2010-03,95.3,
2010-04,96.9,
2010-05,99.8,
2010-06,99.7,
2010-07,99.2,
2010-08,100.9,
2010-09,102.1,
2010-10,104.1,
2010-11,103.7,
2010-12,105.0,
2011-01,105.0,
2011-02,106.5,
2011-03,107.0,
2011-04,107.7,
2011-05,109.0,
2011-06,107.2,
2011-07,110.5,
2011-08,110.0,
2011-09,107.9,
2011-10,109.1,
2011-11,108.3,
2011-12,106.6,
2012-01,107.4,
2012-02,107.6,
2012-03,108.7,
2012-04,106.6,
2012-05,108.7,
2012-06,107.3,
2012-07,108.5,
2012-08,108.6,
2012-09,106.9,
2012-10,105.5,
2012-11,104.8,
2012-12,105.8,
2013-01,104.6,
2013-02,105.6,
2013-03,106.6,
2013-04,107.2,
2013-05,106.2,
2013-06,108.2,
2013-07,106.2,
2013-08,109.0,
2013-09,107.7,
2013-10,107.2,
2013-11,109.6,
2013-12,109.6,
2014-01,109.7,
2014-02,110.2,
2014-03,109.8,
2014-04,110.0,
2014-05,108.6,
2014-06,108.9,
2014-07,110.6,
2014-08,107.3,
2014-09,108.5,
2014-10,109.0,
2014-11,109.4,
2014-12,109.9,Provisional value
