"",BBDE1.M.DE.Y.BAA1.P2XF00000.G.C.I10.L,BBDE1.M.DE.Y.BAA1.P2XF00000.G.C.I10.L_FLAGS
2007-01,105.4,
2007-02,104.8,
2007-03,101.0,
2007-04,96.4,
2007-05,97.7,
2007-06,97.2,
2007-07,98.4,
2007-08,98.2,
2007-09,98.9,
2007-10,99.1,
2007-11,97.0,
2007-12,100.6,
2008-01,110.1,
2008-02,110.7,
2008-03,99.0,
2008-04,94.2,
2008-05,96.6,
2008-06,97.0,
2008-07,95.0,
2008-08,98.7,
2008-09,97.4,
2008-10,96.4,
2008-11,96.4,
2008-12,99.7,
2009-01,93.0,
2009-02,94.8,
2009-03,100.7,
2009-04,100.6,
2009-05,99.5,
2009-06,100.5,
2009-07,98.5,
2009-08,102.7,
2009-09,101.0,
2009-10,99.0,
2009-11,99.5,
2009-12,100.3,
2010-01,85.6,
2010-02,84.2,
2010-03,101.2,
2010-04,105.6,
2010-05,104.3,
2010-06,103.7,
2010-07,103.4,
2010-08,104.5,
2010-09,104.3,
2010-10,107.3,
2010-11,104.8,
2010-12,82.6,
2011-01,109.9,
2011-02,112.8,
2011-03,117.8,
2011-04,113.8,
2011-05,114.6,
2011-06,109.8,
2011-07,113.2,
2011-08,112.4,
2011-09,110.5,
2011-10,112.8,
2011-11,115.9,
2011-12,109.2,
2012-01,115.3,
2012-02,96.4,
2012-03,118.1,
2012-04,110.9,
2012-05,114.2,
2012-06,111.6,
2012-07,113.2,
2012-08,111.5,
2012-09,113.5,
2012-10,112.6,
2012-11,113.9,
2012-12,106.3,
2013-01,105.7,
2013-02,105.6,
2013-03,100.3,
2013-04,115.4,
2013-05,115.6,
2013-06,118.0,
2013-07,118.3,
2013-08,117.7,
2013-09,117.5,
2013-10,115.2,
2013-11,117.3,
2013-12,119.2,
2014-01,123.3,
2014-02,125.7,
2014-03,122.6,
2014-04,118.7,
2014-05,115.8,
2014-06,119.6,
2014-07,118.3,
2014-08,116.8,
2014-09,118.5,
2014-10,118.4,
2014-11,119.2,
2014-12,120.0,Provisional value
