"",BBEX3.M.USD.GBP.CA.AA.A01,BBEX3.M.USD.GBP.CA.AA.A01_FLAGS
1998-08,1.6800,
1998-09,1.6986,
1998-10,1.6750,
1998-11,1.6479,
1998-12,1.6539,
1999-01,1.6455,
1999-02,1.6012,
1999-03,1.6107,
1999-04,1.6090,
1999-05,1.6012,
1999-06,1.5770,
1999-07,1.6212,
1999-08,1.6045,
1999-09,1.6470,
1999-10,1.6430,
1999-11,1.5980,
1999-12,1.6176,
2000-01,1.6153,
2000-02,1.5782,
2000-03,1.5917,
2000-04,1.5514,
2000-05,1.4951,
2000-06,1.5164,
2000-07,1.4983,
2000-08,1.4465,
2000-09,1.4764,
2000-10,1.4477,
2000-11,1.4262,
2000-12,1.4955,
2001-01,1.4634,
2001-02,1.4442,
2001-03,1.4162,
2001-04,1.4310,
2001-05,1.4181,
2001-06,1.4157,
2001-07,1.4248,
2001-08,1.4530,
2001-09,1.4736,
2001-10,1.4537,
2001-11,1.4246,
2001-12,1.4545,
2002-01,1.4096,
2002-02,1.4159,
2002-03,1.4254,
2002-04,1.4571,
2002-05,1.4566,
2002-06,1.5322,
2002-07,1.5638,
2002-08,1.5503,
2002-09,1.5683,
2002-10,1.5650,
2002-11,1.5571,
2002-12,1.6118,
2003-01,1.6482,
2003-02,1.5731,
2003-03,1.5831,
2003-04,1.5987,
2003-05,1.6349,
2003-06,1.6550,
2003-07,1.6107,
2003-08,1.5774,
2003-09,1.6636,
2003-10,1.6958,
2003-11,1.7222,
2003-12,1.7855,
2004-01,1.8241,
2004-02,1.8680,
2004-03,1.8454,
2004-04,1.7774,
2004-05,1.8327,
2004-06,1.8197,
2004-07,1.8215,
2004-08,1.8022,
2004-09,1.8120,
2004-10,1.8365,
2004-11,1.9106,
2004-12,1.9304,
2005-01,1.8834,
2005-02,1.9214,
2005-03,1.8899,
2005-04,1.9076,
2005-05,1.8162,
2005-06,1.7915,
2005-07,1.7577,
2005-08,1.8037,
2005-09,1.7662,
2005-10,1.7698,
2005-11,1.7289,
2005-12,1.7229,
2006-01,1.7779,
2006-02,1.7533,
2006-03,1.7377,
2006-04,1.8251,
2006-05,1.8699,
2006-06,1.8495,
2006-07,1.8680,
2006-08,1.9045,
2006-09,1.8717,
2006-10,1.9075,
2006-11,1.9651,
2006-12,1.9592,
2007-01,1.9640,
2007-02,1.9637,
2007-03,1.9675,
2007-04,1.9995,
2007-05,1.9799,
2007-06,2.0079,
2007-07,2.0311,
2007-08,2.0171,
2007-09,2.0469,
2007-10,2.0786,
2007-11,2.0573,
2007-12,1.9850,
2008-01,1.9880,
2008-02,1.9869,
2008-03,1.9845,
2008-04,1.9882,
2008-05,1.9819,
2008-06,1.9919,
2008-07,1.9831,
2008-08,1.8227,
2008-09,1.7773,
2008-10,1.6092,
2008-11,1.5382,
2008-12,1.4615,
2009-01,1.4513,
2009-02,1.4303,
2009-03,1.4336,
2009-04,1.4786,
2009-05,1.6185,
2009-06,1.6445,
2009-07,1.6712,
2009-08,1.6285,
2009-09,1.5985,
2009-10,1.6430,
2009-11,1.6447,
2009-12,1.6159,
2010-01,1.5998,
2010-02,1.5244,
2010-03,1.5181,
2010-04,1.5298,
2010-05,1.4532,
2010-06,1.4946,
2010-07,1.5696,
2010-08,1.5349,
2010-09,1.5716,
2010-10,1.6024,
2010-11,1.5556,
2010-12,1.5599,
2011-01,1.6015,
2011-02,1.6256,
2011-03,1.6030,
2011-04,1.6704,
2011-05,1.6444,
2011-06,1.6045,
2011-07,1.6451,
2011-08,1.6244,
2011-09,1.5587,
2011-10,1.6086,
2011-11,1.5693,
2011-12,1.5535,
2012-01,1.5752,
2012-02,1.5918,
2012-03,1.5999,
2012-04,1.6233,
2012-05,1.5402,
2012-06,1.5666,
2012-07,1.5672,
2012-08,1.5872,
2012-09,1.6144,
2012-10,1.6131,
2012-11,1.6017,
2012-12,1.6232,
2013-01,1.5855,
2013-02,1.5152,
2013-03,1.5201,
2013-04,1.5533,
2013-05,1.5197,
2013-06,1.5204,
2013-07,1.5208,
2013-08,1.5485,
2013-09,1.6185,
2013-10,1.6030,
2013-11,1.6352,
2013-12,1.6564,
2014-01,1.6442,
2014-02,1.6741,
2014-03,1.6667,
2014-04,1.6872,
2014-05,1.6761,
2014-06,1.7110,
2014-07,1.6880,
2014-08,1.6603,
2014-09,1.6210,
2014-10,1.6006,
2014-11,1.5639,
2014-12,1.5578,
2015-01,1.5073,
"",Source: Thomson Reuters (until March 2008 Reuters),
