"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F51._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F51._Z._T.M.N_FLAGS
1997-05,15299.246,
1997-06,16165.292,
1997-07,16415.699,
1997-08,13044.153,
1997-09,15449.203,
1997-10,16573.950,
1997-11,13864.896,
1997-12,16859.361,
1998-01,16723.843,
1998-02,17543.272,
1998-03,34176.227,
1998-04,26704.430,
1998-05,21661.979,
1998-06,25949.404,
1998-07,27271.574,
1998-08,21761.796,
1998-09,24343.343,
1998-10,24426.092,
1998-11,21039.873,
1998-12,24046.873,
1999-01,21549.841,
1999-02,20915.399,
1999-03,48674.867,
1999-04,32153.412,
1999-05,28026.606,
1999-06,33492.218,
1999-07,34252.228,
1999-08,24462.647,
1999-09,26656.411,
1999-10,26621.823,
1999-11,41216.298,
1999-12,54007.051,
2000-01,49417.920,
2000-02,183038.968,
2000-03,112122.992,
2000-04,50533.169,
2000-05,48141.618,
2000-06,51498.291,
2000-07,51444.603,
2000-08,47251.966,
2000-09,55023.799,
2000-10,52557.647,
2000-11,56390.429,
2000-12,51029.156,
2001-01,52538.123,
2001-02,58913.727,
2001-03,63013.512,
2001-04,54678.119,
2001-05,59557.264,
2001-06,60040.507,
2001-07,52762.330,
2001-08,40895.501,
2001-09,46420.728,
2001-10,41593.705,
2001-11,44851.661,
2001-12,51446.075,
2002-01,53814.764,
2002-02,43097.354,
2002-03,49758.412,
2002-04,58462.933,
2002-05,61550.533,
2002-06,57734.907,
2002-07,55361.375,
2002-08,40505.163,
2002-09,39294.019,
2002-10,41527.250,
2002-11,35999.974,
2002-12,32348.230,
2003-01,41428.634,
2003-02,33967.261,
2003-03,37746.379,
2003-04,55876.636,
2003-05,56076.763,
2003-06,82974.279,
2003-07,55830.442,
2003-08,45203.397,
2003-09,64855.195,
2003-10,55431.517,
2003-11,50274.223,
2003-12,56583.485,
2004-01,88332.793,
2004-02,64992.305,
2004-03,95668.089,
2004-04,131926.478,
2004-05,129205.704,
2004-06,86353.925,
2004-07,54735.288,
2004-08,53052.926,
2004-09,51360.183,
2004-10,63121.104,
2004-11,63590.367,
2004-12,67952.901,
2005-01,81103.518,
2005-02,70996.092,
2005-03,83388.717,
2005-04,152198.246,
2005-05,127358.206,
2005-06,96319.293,
2005-07,83876.366,
2005-08,83877.738,
2005-09,96554.721,
2005-10,96475.898,
2005-11,97302.488,
2005-12,89988.660,
2006-01,122961.475,
2006-02,100284.666,
2006-03,138599.136,
2006-04,188969.277,
2006-05,267424.650,
2006-06,179914.377,
2006-07,101926.308,
2006-08,104006.801,
2006-09,117028.047,
2006-10,121544.292,
2006-11,138539.401,
2006-12,136293.822,
2007-01,170070.965,
2007-02,158441.300,
2007-03,226843.885,
2007-04,260173.053,
2007-05,307616.694,
2007-06,224407.802,
2007-07,201311.319,
2007-08,235251.168,
2007-09,186055.247,
2007-10,193935.083,
2007-11,215540.662,
2007-12,170568.951,
2008-01,294991.091,
2008-02,201522.823,
2008-03,210345.629,
2008-04,273629.808,
2008-05,268440.560,
2008-06,231994.668,
2008-07,230722.285,
2008-08,206187.854,
2008-09,232766.784,
2008-10,239212.439,
2008-11,120440.428,
2008-12,124546.660,
2009-01,108710.776,
2009-02,78191.679,
2009-03,98579.604,
2009-04,129414.853,
2009-05,152030.475,
2009-06,98769.266,
2009-07,79976.471,
2009-08,84241.725,
2009-09,99223.742,
2009-10,98642.145,
2009-11,86602.971,
2009-12,94060.466,
2010-01,100628.627,
2010-02,91049.204,
2010-03,99577.400,
2010-04,198981.825,
2010-05,246319.947,
2010-06,117074.088,
2010-07,73266.934,
2010-08,69962.838,
2010-09,85148.090,
2010-10,82529.404,
2010-11,87395.521,
2010-12,92563.474,
2011-01,113088.521,
2011-02,88025.706,
2011-03,119843.087,
2011-04,151071.774,
2011-05,231638.724,
2011-06,103832.523,
2011-07,94734.937,
2011-08,140038.180,
2011-09,112424.914,
2011-10,86660.802,
2011-11,90162.491,
2011-12,88061.044,
2012-01,87764.302,
2012-02,85146.688,
2012-03,113251.331,
2012-04,114316.338,
2012-05,123991.363,
2012-06,88078.555,
2012-07,80563.902,
2012-08,69817.074,
2012-09,88312.021,
2012-10,77729.496,
2012-11,70899.755,
2012-12,70625.301,
2013-01,78965.362,
2013-02,75399.364,
2013-03,88797.197,
2013-04,124568.756,
2013-05,134962.508,
2013-06,90047.114,
2013-07,80776.301,
2013-08,67788.128,
2013-09,84216.719,
2013-10,88251.651,
2013-11,75938.267,
2013-12,73000.626,
2014-01,105309.867,
2014-02,83294.596,Provisional value
2014-03,109053.138,Provisional value
2014-04,124305.599,Provisional value
2014-05,147633.584,Provisional value
2014-06,84280.890,Provisional value
2014-07,80124.370,Provisional value
2014-08,75216.509,Provisional value
2014-09,84529.072,
2014-10,111302.523,
2014-11,85110.150,
2014-12,95588.101,Provisional value
