"",BBFB1.M.N.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
2008-11,2109.543,
2008-12,2162.114,
2009-01,1709.582,
2009-02,1631.878,
2009-03,1762.039,
2009-04,1926.415,
2009-05,2142.012,
2009-06,2223.476,
2009-07,2538.657,
2009-08,2444.394,
2009-09,2318.672,
2009-10,2275.158,
2009-11,1870.382,
2009-12,1999.430,
2010-01,1603.493,
2010-02,1668.931,
2010-03,1891.664,
2010-04,1987.268,
2010-05,2208.987,
2010-06,2335.059,
2010-07,2718.203,
2010-08,2557.107,
2010-09,2597.637,
2010-10,2419.591,
2010-11,2081.756,
2010-12,2089.343,
2011-01,1791.473,
2011-02,1786.964,
2011-03,1964.384,
2011-04,2099.055,
2011-05,2391.839,
2011-06,2394.833,
2011-07,2852.103,
2011-08,2787.124,
2011-09,2699.182,
2011-10,2597.977,
2011-11,2210.772,
2011-12,2354.736,
2012-01,1996.925,
2012-02,1968.652,
2012-03,2161.494,
2012-04,2173.560,
2012-05,2653.562,
2012-06,2576.612,
2012-07,3147.972,
2012-08,2864.172,
2012-09,2797.426,
2012-10,2670.670,
2012-11,2300.416,
2012-12,2371.227,
2013-01,2190.937,
2013-02,2031.650,
2013-03,2221.518,
2013-04,2446.468,
2013-05,2647.626,
2013-06,2620.103,
2013-07,3295.356,
2013-08,2961.067,
2013-09,2825.087,
2013-10,2915.615,
2013-11,2413.895,
2013-12,2460.687,
2014-01,2234.973,
2014-02,2074.854,Provisional value
2014-03,2277.363,Provisional value
2014-04,2503.764,Provisional value
2014-05,2818.309,Provisional value
2014-06,2751.331,Provisional value
2014-07,3370.655,Provisional value
2014-08,3193.626,Provisional value
2014-09,3022.729,
2014-10,2968.733,
2014-11,2497.340,
2014-12,2625.596,Provisional value
