"",BBEX3.M.JMD.USD.CA.AB.A01,BBEX3.M.JMD.USD.CA.AB.A01_FLAGS
1999-05,37.5000,
1999-06,37.8600,
1999-07,38.5500,
1999-08,38.5500,
1999-09,39.1000,
1999-10,39.4500,
1999-11,40.4000,
1999-12,40.4000,
2000-01,42.1493,
2000-02,42.0322,
2000-03,42.1373,
2000-04,42.1764,
2000-05,42.2917,
2000-06,42.4247,
2000-07,42.6964,
2000-08,43.2174,
2000-09,44.8253,
2000-10,44.6825,
2000-11,45.4491,
2000-12,45.5285,
2001-01,45.7432,
2001-02,45.7817,
2001-03,45.6847,
2001-04,45.6738,
2001-05,45.8255,
2001-06,45.8044,
2001-07,45.7676,
2001-08,45.7979,
2001-09,45.9377,
2001-10,47.5672,
2001-11,47.2535,
2001-12,47.3972,
2002-01,47.5317,
2002-02,47.5265,
2002-03,47.6239,
2002-04,45.6738,
2002-05,48.3376,
2002-06,48.5128,
2002-07,48.6494,
2002-08,49.0114,
2002-09,49.2700,
2002-10,49.4400,
2002-11,49.9100,
2002-12,50.9700,
2003-01,52.9800,
2003-02,53.7400,
2003-03,56.2400,
2003-04,57.1400,
2003-05,59.4200,
2003-06,59.0100,
2003-07,59.1600,
2003-08,59.3900,
2003-09,59.7100,
2003-10,60.4400,
2003-11,60.6500,
2003-12,60.6200,
2004-01,60.7300,
2004-02,60.9600,
2004-03,61.0100,
2004-04,60.7600,
2004-05,60.9300,
2004-06,61.2200,
2004-07,61.8000,
2004-08,61.9000,
2004-09,61.9000,
2004-10,61.8800,
2004-11,61.9800,
2004-12,61.6300,
2005-01,61.8700,
2005-02,61.9100,
2005-03,61.5300,
2005-04,61.6500,
2005-05,61.7100,
2005-06,61.8400,
2005-07,62.2300,
2005-08,62.2400,
2005-09,62.8900,
2005-10,64.0400,
2005-11,64.6700,
2005-12,64.5800,
2006-01,64.9900,
2006-02,65.3600,
2006-03,65.5000,
2006-04,65.6300,
2006-05,65.7300,
2006-06,66.0300,
2006-07,65.9900,
2006-08,65.9600,
2006-09,66.0600,
2006-10,66.5000,
2006-11,66.9200,
2006-12,67.1500,
2007-01,67.5500,
2007-02,67.5500,
2007-03,67.8000,
2007-04,68.0800,
2007-05,68.2200,
2007-06,68.5800,
2007-07,68.8900,
2007-08,69.8300,
2007-09,70.4100,
2007-10,71.1800,
2007-11,71.3600,
2007-12,70.6200,
2008-01,71.7428,
2008-02,71.3729,
2008-03,71.0888,
2008-04,71.3519,
2008-05,71.5315,
2008-06,71.8892,
2008-07,72.0428,
2008-08,72.0710,
2008-09,72.6755,
2008-10,76.2872,
2008-11,77.7581,
2008-12,80.4713,
2009-01,86.0678,
2009-02,88.2952,
2009-03,88.8158,
2009-04,89.0117,
2009-05,89.0799,
2009-06,89.0717,
2009-07,89.0075,
2009-08,89.0045,
2009-09,89.0836,
2009-10,89.2404,
2009-11,89.5934,
2009-12,89.6002,
2010-01,89.7019,
2010-02,89.7453,
2010-03,89.5082,
2010-04,89.0741,
2010-05,88.4807,
2010-06,86.0180,
2010-07,86.0922,
2010-08,85.5780,
2010-09,86.2482,
2010-10,85.6225,
2010-11,86.1412,
2010-12,85.8613,
2011-01,85.6895,
2011-02,85.8363,
2011-03,85.7486,
2011-04,85.7281,
2011-05,85.7768,
2011-06,85.9113,
2011-07,86.1543,
2011-08,86.1260,
2011-09,86.3028,
2011-10,86.4876,
2011-11,86.6991,
2011-12,86.6008,
2012-01,86.8323,
2012-02,87.0577,
2012-03,87.3000,
2012-04,87.3457,
2012-05,88.1218,
2012-06,88.6968,
2012-07,89.6876,
2012-08,89.8177,
2012-09,89.9339,
2012-10,91.0914,
2012-11,91.8892,
2012-12,92.9776,
2013-01,94.1377,
2013-02,97.1066,
2013-03,98.8865,
2013-04,99.3481,
2013-05,99.4495,
2013-06,101.3752,
2013-07,101.8550,
2013-08,102.0800,
2013-09,103.5953,
2013-10,105.0532,
2013-11,105.8041,
2013-12,106.3777,
2014-01,107.7455,
2014-02,108.3409,
2014-03,109.5744,
2014-04,110.1575,
2014-05,111.2563,
2014-06,112.2022,
2014-07,112.8504,
2014-08,112.7370,
2014-09,112.6662,
2014-10,112.7619,
2014-11,113.5865,
2014-12,114.6607,
2015-01,115.8145,
"","Source: Since 2000: Bank of Jamaica, Kingston 1997 - 1999: National Commercial Bank Jamaica Limited, Kingston 1990 - 1996: Mutual Security Bank Limited, Kingston.",
