"",BBFN1.M.DE.N.1.L.ES.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ES.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1983-02,0.016,
1983-03,0.030,
1983-04,0.030,
1983-05,0.030,
1983-06,0.026,
1983-07,0.026,
1983-08,0.026,
1983-09,0.027,
1983-10,0.030,
1983-11,0.031,
1983-12,0.021,
1984-01,0.020,
1984-02,0.023,
1984-03,0.020,
1984-04,0.018,
1984-05,0.015,
1984-06,0.015,
1984-07,0.015,
1984-08,0.014,
1984-09,0.011,
1984-10,0.012,
1984-11,0.012,
1984-12,0.014,
1985-01,0.015,
1985-02,0.016,
1985-03,0.024,
1985-04,0.028,
1985-05,0.032,
1985-06,0.034,
1985-07,0.030,
1985-08,0.033,
1985-09,0.034,
1985-10,0.031,
1985-11,0.030,
1985-12,0.029,
1986-01,0.037,
1986-02,0.033,
1986-03,0.032,
1986-04,0.035,
1986-05,0.031,
1986-06,0.031,
1986-07,0.030,
1986-08,0.030,
1986-09,0.022,
1986-10,0.025,
1986-11,0.021,
1986-12,0.020,
1987-01,0.025,
1987-02,0.025,
1987-03,0.024,
1987-04,0.024,
1987-05,0.025,
1987-06,0.022,
1987-07,0.019,
1987-08,0.020,
1987-09,0.015,
1987-10,0.020,
1987-11,0.020,
1987-12,0.020,
1988-01,0.017,
1988-02,0.031,
1988-03,0.027,
1988-04,0.031,
1988-05,0.026,
1988-06,0.021,
1988-07,0.018,
1988-08,0.023,
1988-09,0.021,
1988-10,0.032,
1988-11,0.026,
1988-12,0.024,
1989-01,0.024,
1989-02,0.026,
1989-03,0.019,
1989-04,0.021,
1989-05,0.018,
1989-06,0.019,
1989-07,0.026,
1989-08,0.072,
1989-09,0.035,
1989-10,0.039,
1989-11,0.048,
1989-12,0.068,
1990-01,0.067,comment
1990-02,0.055,
1990-03,0.073,
1990-04,0.068,
1990-05,0.069,
1990-06,0.074,
1990-07,0.078,
1990-08,0.077,
1990-09,0.074,
1990-10,0.084,
1990-11,0.073,
1990-12,0.082,
1991-01,0.062,
1991-02,0.064,
1991-03,0.080,
1991-04,0.078,
1991-05,0.077,
1991-06,0.079,
1991-07,0.080,
1991-08,0.088,
1991-09,0.104,
1991-10,0.103,
1991-11,0.112,
1991-12,0.169,
1992-01,0.174,
1992-02,0.256,
1992-03,0.270,
1992-04,0.291,
1992-05,0.257,
1992-06,0.238,
1992-07,0.217,
1992-08,0.207,
1992-09,0.222,
1992-10,0.207,
1992-11,0.130,
1992-12,0.108,
1993-01,0.080,
1993-02,0.123,
1993-03,0.129,
1993-04,0.104,
1993-05,0.145,
1993-06,0.104,
1993-07,0.146,
1993-08,0.129,
1993-09,0.114,
1993-10,0.109,
1993-11,0.118,
1993-12,0.076,
1994-01,0.075,
1994-02,0.132,
1994-03,0.123,
1994-04,0.127,
1994-05,0.138,
1994-06,0.141,
1994-07,0.171,
1994-08,0.128,
1994-09,0.161,
1994-10,0.168,
1994-11,0.191,
1994-12,0.187,
1995-01,0.212,
1995-02,0.213,
1995-03,0.193,
1995-04,0.180,
1995-05,0.175,
1995-06,0.172,
1995-07,0.195,
1995-08,0.190,
1995-09,0.213,
1995-10,0.214,
1995-11,0.210,
1995-12,0.257,
1996-01,0.241,
1996-02,0.254,
1996-03,0.284,
1996-04,0.334,
1996-05,0.345,
1996-06,0.406,
1996-07,0.376,
1996-08,0.392,
1996-09,0.511,
1996-10,0.450,
1996-11,0.427,
1996-12,0.560,
1997-01,0.509,
1997-02,0.471,
1997-03,0.409,
1997-04,0.418,
1997-05,0.420,
1997-06,0.475,
1997-07,0.464,
1997-08,0.436,
1997-09,0.513,
1997-10,0.493,
1997-11,0.463,
1997-12,0.750,
1998-01,0.387,
1998-02,0.436,
1998-03,0.393,
1998-04,0.330,
1998-05,0.382,
1998-06,0.427,
1998-07,0.497,
1998-08,0.491,
1998-09,0.888,
1998-10,0.596,
1998-11,0.564,
1998-12,0.776,
1999-01,0.829,
1999-02,1.063,
1999-03,1.105,
1999-04,0.844,
1999-05,0.841,
1999-06,0.812,
1999-07,0.814,
1999-08,1.044,
1999-09,1.086,
1999-10,1.044,
1999-11,1.200,
1999-12,1.373,
2000-01,1.236,
2000-02,1.205,
2000-03,1.551,
2000-04,1.672,
2000-05,1.668,
2000-06,1.666,
2000-07,1.760,
2000-08,1.752,
2000-09,5.618,
2000-10,5.905,
2000-11,5.935,
2000-12,5.762,
2001-01,6.109,
2001-02,6.264,
2001-03,6.489,
2001-04,6.136,
2001-05,6.079,
2001-06,6.392,
2001-07,6.613,
2001-08,6.691,
2001-09,7.028,
2001-10,6.255,
2001-11,5.697,
2001-12,5.800,
2002-01,1.920,
2002-02,1.961,
2002-03,2.116,
2002-04,2.029,
2002-05,2.417,
2002-06,2.242,
2002-07,2.268,
2002-08,1.938,
2002-09,2.420,
2002-10,2.101,
2002-11,2.054,
2002-12,2.142,
2003-01,2.191,
2003-02,2.266,
2003-03,2.270,
2003-04,2.263,
2003-05,2.443,
2003-06,2.410,
2003-07,2.371,
2003-08,2.364,
2003-09,2.611,
2003-10,2.835,
2003-11,3.295,
2003-12,2.719,
2004-01,3.058,
2004-02,3.291,
2004-03,3.164,
2004-04,3.006,
2004-05,3.492,
2004-06,3.042,
2004-07,3.467,
2004-08,3.405,
2004-09,3.655,
2004-10,3.474,
2004-11,3.776,
2004-12,2.475,
2005-01,2.446,
2005-02,2.664,
2005-03,3.003,
2005-04,3.002,
2005-05,2.789,
2005-06,3.122,
2005-07,3.263,
2005-08,2.928,
2005-09,3.247,
2005-10,3.362,
2005-11,3.482,
2005-12,3.378,
2006-01,3.409,
2006-02,3.691,
2006-03,3.989,
2006-04,3.738,
2006-05,2.752,
2006-06,3.313,
2006-07,4.425,
2006-08,4.034,
2006-09,4.194,
2006-10,4.024,
2006-11,4.366,
2006-12,3.815,
2007-01,3.995,
2007-02,4.189,
2007-03,4.638,
2007-04,4.660,
2007-05,3.087,
2007-06,4.476,
2007-07,4.356,
2007-08,4.011,
2007-09,4.314,
2007-10,4.394,
2007-11,4.262,
2007-12,3.836,
2008-01,3.577,
2008-02,3.822,
2008-03,3.886,
2008-04,3.652,
2008-05,3.557,
2008-06,3.502,
2008-07,3.624,
2008-08,3.284,
2008-09,3.629,
2008-10,4.145,
2008-11,4.346,
2008-12,3.147,
2009-01,4.373,
2009-02,3.074,
2009-03,3.574,
2009-04,3.466,
2009-05,3.582,
2009-06,3.408,
2009-07,3.445,
2009-08,3.366,
2009-09,3.351,
2009-10,3.492,
2009-11,3.415,
2009-12,8.125,
2010-01,3.545,
2010-02,3.490,
2010-03,2.827,
2010-04,3.318,
2010-05,3.470,
2010-06,3.545,
2010-07,3.283,
2010-08,3.374,
2010-09,3.649,
2010-10,3.681,
2010-11,3.708,
2010-12,3.682,
2011-01,6.692,
2011-02,5.182,
2011-03,4.014,
2011-04,4.563,
2011-05,4.778,
2011-06,4.459,
2011-07,4.191,
2011-08,4.659,
2011-09,5.953,
2011-10,6.627,
2011-11,7.109,
2011-12,4.356,
2012-01,6.234,
2012-02,6.669,
2012-03,6.416,
2012-04,5.802,
2012-05,5.718,
2012-06,13.382,
2012-07,7.834,
2012-08,7.490,
2012-09,6.869,
2012-10,7.026,
2012-11,6.668,
2012-12,7.517,
2013-01,11.903,
2013-02,10.361,
2013-03,10.110,
2013-04,9.642,
2013-05,9.451,
2013-06,9.453,
2013-07,7.856,
2013-08,6.591,
2013-09,7.300,
2013-10,5.662,
2013-11,6.105,
2013-12,6.375,
2014-01,5.110,
2014-02,5.801,
2014-03,6.522,
2014-04,6.911,
2014-05,7.239,
2014-06,6.321,
2014-07,9.315,
2014-08,6.294,
2014-09,6.597,
2014-10,7.360,
2014-11,7.853,
2014-12,5.419,
