"",BBFN1.M.DE.N.1.L.IT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2008-12,5.529,
2009-01,5.421,
2009-02,5.477,
2009-03,5.542,
2009-04,5.306,
2009-05,5.909,
2009-06,5.685,
2009-07,4.953,
2009-08,5.496,
2009-09,5.622,
2009-10,5.646,
2009-11,5.583,
2009-12,5.682,
2010-01,5.405,
2010-02,5.561,
2010-03,5.761,
2010-04,5.522,
2010-05,5.563,
2010-06,5.574,
2010-07,5.432,
2010-08,5.560,
2010-09,5.870,
2010-10,5.699,
2010-11,6.028,
2010-12,7.987,
2011-01,7.692,
2011-02,8.041,
2011-03,8.204,
2011-04,8.053,
2011-05,7.793,
2011-06,7.908,
2011-07,7.556,
2011-08,7.595,
2011-09,8.506,
2011-10,8.148,
2011-11,8.437,
2011-12,8.049,
2012-01,7.998,
2012-02,8.233,
2012-03,7.939,
2012-04,7.965,
2012-05,8.767,
2012-06,9.509,
2012-07,9.370,
2012-08,9.401,
2012-09,8.756,
2012-10,8.896,
2012-11,10.174,
2012-12,9.488,
2013-01,9.647,
2013-02,9.304,
2013-03,9.153,
2013-04,9.318,
2013-05,9.792,
2013-06,9.541,
2013-07,10.409,
2013-08,8.469,
2013-09,7.715,
2013-10,7.533,
2013-11,7.530,
2013-12,7.468,
2014-01,7.350,
2014-02,8.692,
2014-03,8.852,
2014-04,7.678,
2014-05,7.399,
2014-06,7.444,
2014-07,7.708,
2014-08,7.753,
2014-09,6.844,
2014-10,6.746,
2014-11,7.040,
2014-12,6.857,
