"",BBDE1.M.DE.W.BAA1.N2C290000.G.C.I10.A,BBDE1.M.DE.W.BAA1.N2C290000.G.C.I10.A_FLAGS
2012-11,120.9,
2012-12,87.6,
2013-01,96.0,
2013-02,113.0,
2013-03,128.1,
2013-04,118.1,
2013-05,110.6,
2013-06,119.0,
2013-07,109.1,
2013-08,104.8,
2013-09,128.1,
2013-10,120.3,
2013-11,134.1,
2013-12,96.1,
2014-01,108.2,
2014-02,124.0,
2014-03,137.2,
2014-04,123.1,
2014-05,120.9,
2014-06,123.4,
2014-07,130.3,
2014-08,84.4,
2014-09,129.6,
2014-10,125.4,Provisional value
2014-11,134.2,Provisional value
2014-12,96.8,Provisional value
