"",BBFB1.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
2000-12,1582.584,
2001-01,5829.470,
2001-02,8015.278,
2001-03,9947.150,
2001-04,6716.848,
2001-05,7914.854,
2001-06,8080.936,
2001-07,10041.334,
2001-08,9200.022,
2001-09,7095.488,
2001-10,10188.653,
2001-11,8258.763,
2001-12,9984.223,
2002-01,10802.692,
2002-02,11482.518,
2002-03,12512.395,
2002-04,10700.130,
2002-05,11857.923,
2002-06,12458.972,
2002-07,13982.651,
2002-08,11100.164,
2002-09,13002.485,
2002-10,12584.035,
2002-11,12748.059,
2002-12,8871.185,
2003-01,9091.977,
2003-02,10758.098,
2003-03,10208.870,
2003-04,9678.017,
2003-05,10345.667,
2003-06,10501.974,
2003-07,13277.450,
2003-08,10656.625,
2003-09,14026.217,
2003-10,11295.666,
2003-11,10500.139,
2003-12,9680.281,
2004-01,12213.349,
2004-02,11995.988,
2004-03,16652.610,
2004-04,14273.440,
2004-05,14421.034,
2004-06,15110.811,
2004-07,13511.428,
2004-08,10394.115,
2004-09,11790.481,
2004-10,12122.505,
2004-11,11154.642,
2004-12,9525.919,
2005-01,13148.383,
2005-02,13558.345,
2005-03,15990.045,
2005-04,12187.810,
2005-05,12144.964,
2005-06,16237.297,
2005-07,13220.272,
2005-08,12220.627,
2005-09,15230.527,
2005-10,11129.274,
2005-11,12691.416,
2005-12,9250.725,
2006-01,12271.650,
2006-02,13559.659,
2006-03,13852.349,
2006-04,11636.137,
2006-05,12360.637,
2006-06,12335.377,
2006-07,12319.024,
2006-08,11251.263,
2006-09,15689.838,
2006-10,17338.194,
2006-11,17439.845,
2006-12,11392.964,
2007-01,16233.789,
2007-02,14587.138,
2007-03,19142.717,
2007-04,15567.347,
2007-05,17288.411,
2007-06,17419.231,
2007-07,17694.661,
2007-08,14729.553,
2007-09,18968.855,
2007-10,18841.388,
2007-11,20431.412,
2007-12,11084.253,
2008-01,17396.532,
2008-02,17116.990,
2008-03,17600.309,
2008-04,19748.867,
2008-05,14849.336,
2008-06,20523.674,
2008-07,14549.509,
2008-08,10966.867,
2008-09,16344.736,
2008-10,17123.261,
2008-11,9540.609,
2008-12,8760.347,
2009-01,7353.587,
2009-02,8782.340,
2009-03,11336.439,
2009-04,10446.051,
2009-05,10151.795,
2009-06,13649.155,
2009-07,15548.938,
2009-08,8832.522,
2009-09,11926.645,
2009-10,13252.086,
2009-11,15504.770,
2009-12,14383.153,
2010-01,8059.191,
2010-02,14180.706,
2010-03,16210.378,
2010-04,13520.944,
2010-05,10572.073,
2010-06,14827.344,
2010-07,13386.351,
2010-08,9616.188,
2010-09,17624.306,
2010-10,15152.712,
2010-11,15126.631,
2010-12,12869.050,
2011-01,10065.227,
2011-02,12919.400,
2011-03,19303.496,
2011-04,11172.803,
2011-05,15447.947,
2011-06,12969.906,
2011-07,11358.316,
2011-08,12025.278,
2011-09,17923.746,
2011-10,10765.775,
2011-11,17144.525,
2011-12,12145.005,
2012-01,14140.070,
2012-02,16870.768,
2012-03,18307.624,
2012-04,14817.605,
2012-05,16307.075,
2012-06,18771.568,
2012-07,17659.316,
2012-08,17084.557,
2012-09,17684.661,
2012-10,16317.906,
2012-11,17583.979,
2012-12,11571.283,
2013-01,14544.994,
2013-02,16190.982,
2013-03,21065.423,
2013-04,20115.809,
2013-05,16582.535,
2013-06,18858.140,
2013-07,16106.777,
2013-08,12623.513,
2013-09,20392.876,
2013-10,19347.166,
2013-11,18495.853,
2013-12,13471.049,
2014-01,15752.661,
2014-02,17454.957,
2014-03,19691.952,
2014-04,18571.377,
2014-05,17923.196,
2014-06,18337.772,
2014-07,23153.752,
2014-08,14603.630,
2014-09,23870.061,
2014-10,23570.719,
2014-11,18337.643,
2014-12,18494.091,Provisional value
