"",BBEX3.M.CRC.USD.CA.AB.A01,BBEX3.M.CRC.USD.CA.AB.A01_FLAGS
2012-12,514.32,
2013-01,507.00,
2013-02,506.84,
2013-03,504.65,
2013-04,504.46,
2013-05,504.20,
2013-06,504.53,
2013-07,504.44,
2013-08,510.03,
2013-09,505.57,
2013-10,506.02,
2013-11,505.13,
2013-12,507.80,
2014-01,519.63,
2014-02,553.54,
2014-03,553.63,
2014-04,556.16,
2014-05,559.88,
2014-06,548.66,
2014-07,543.93,
2014-08,545.33,
2014-09,545.52,
2014-10,544.71,
2014-11,541.19,
2014-12,545.53,
2015-01,543.08,
"","Source: Since March 2003: Banco Central de Costa Rica, San José. 1991 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"",Comment on 1991-01: Exchange rate as of 17 January 1991.,
"",Comment on 1992-06: Exchange rate as of 26 June 1992.,
"",Comment on 1996-04: Exchange rate as of 26 April 1996.,
"",Comment on 1999-12: Exchange rate as of 28 December 1999.,
"",Comment on 2000-02: Exchange rate as of 25 February 2000.,
