"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.DE.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.DE.00000.F05100.Z01.00_FLAGS
1980-07,3428,
1980-08,3328,
1980-09,3351,
1980-10,3310,
1980-11,3388,
1980-12,3472,
1981-01,3416,
1981-02,3339,
1981-03,3554,
1981-04,3659,
1981-05,3663,
1981-06,3954,
1981-07,4260,
1981-08,3983,
1981-09,3690,
1981-10,3694,
1981-11,3809,
1981-12,3734,
1982-01,3856,
1982-02,3943,
1982-03,4210,
1982-04,4033,
1982-05,3887,
1982-06,3759,
1982-07,3930,
1982-08,4071,
1982-09,4363,
1982-10,4281,
1982-11,4504,
1982-12,4765,
1983-01,4739,
1983-02,4844,
1983-03,5437,
1983-04,5924,
1983-05,5396,
1983-06,5750,
1983-07,6097,
1983-08,5658,
1983-09,5941,
1983-10,6566,
1983-11,6770,
1983-12,6948,
1984-01,7415,
1984-02,6761,
1984-03,6719,
1984-04,6921,
1984-05,6786,
1984-06,6996,
1984-07,6572,
1984-08,6691,
1984-09,7227,
1984-10,7363,
1984-11,7574,
1984-12,7974,
1985-01,8086,
1985-02,8158,
1985-03,8365,
1985-04,8718,
1985-05,9628,
1985-06,10105,
1985-07,9510,
1985-08,10342,
1985-09,11586,
1985-10,13212,
1985-11,12784,
1985-12,14782,
1986-01,14352,
1986-02,14460,
1986-03,16242,
1986-04,17241,
1986-05,16061,
1986-06,15849,
1986-07,15419,
1986-08,17829,
1986-09,16556,
1986-10,17070,
1986-11,18640,
1986-12,18932,
1987-01,16810,
1987-02,16548,
1987-03,17690,
1987-04,18181,
1987-05,18178,
1987-06,19668,
1987-07,20816,
1987-08,21474,
1987-09,20990,
1987-10,17675,
1987-11,16168,
1987-12,16270,
1988-01,15167,
1988-02,17373,
1988-03,17046,
1988-04,17031,
1988-05,17181,
1988-06,17704,
1988-07,17329,
1988-08,17209,
1988-09,18570,
1988-10,19063,
1988-11,18581,
1988-12,20188,
1989-01,20284,
1989-02,19862,
1989-03,20408,
1989-04,22063,
1989-05,23272,
1989-06,24261,
1989-07,24545,
1989-08,25354,
1989-09,24937,
1989-10,22800,
1989-11,23566,
1989-12,27195,
1990-01,27922,
1990-02,28516,
1990-03,31132,
1990-04,29583,
1990-05,30681,
1990-06,31455,
1990-07,32536,
1990-08,28856,
1990-09,24460,
1990-10,26019,
1990-11,25730,
1990-12,24805,
1991-01,25453,
1991-02,26979,
1991-03,26747,
1991-04,28758,
1991-05,30256,
1991-06,27968,
1991-07,28904,
1991-08,29776,
1991-09,29097,
1991-10,29287,
1991-11,29008,
1991-12,28774,
1992-01,31780,
1992-02,34061,
1992-03,33598,
1992-04,34110,
1992-05,36277,
1992-06,35434,
1992-07,33843,
1992-08,32709,
1992-09,31696,
1992-10,32626,
1992-11,33430,
1992-12,33616,
1993-01,34116,
1993-02,35960,
1993-03,36612,
1993-04,36220,
1993-05,37113,
1993-06,38789,
1993-07,40846,
1993-08,42938,
1993-09,41756,
1993-10,45454,
1993-11,44797,
1993-12,49773,
1994-01,49240,
1994-02,48346,
1994-03,50225,
1994-04,52738,
1994-05,49479,
1994-06,49180,
1994-07,51552,
1994-08,52551,
1994-09,48327,
1994-10,50295,
1994-11,49324,
1994-12,50078,
1995-01,49262,
1995-02,51806,
1995-03,48258,
1995-04,50633,
1995-05,52235,
1995-06,52912,
1995-07,57024,
1995-08,57265,
1995-09,56058,
1995-10,56114,
1995-11,58204,
1995-12,59431,
1996-01,65442,
1996-02,66118,
1996-03,66357,
1996-04,67083,
1996-05,68590,
1996-06,70187,
1996-07,68386,
1996-08,70822,
1996-09,74124,
1996-10,74312,
1996-11,81380,
1996-12,82181,
1997-01,88776,
1997-02,97216,
1997-03,101953,
1997-04,103031,
1997-05,106683,
1997-06,114623,
1997-07,131513,
1997-08,118435,
1997-09,127221,
1997-10,118288,
1997-11,124818,
1997-12,132002,
1998-01,137674,
1998-02,144444,
1998-03,152667,
1998-04,150238,
1998-05,157995,
1998-06,164209,
1998-07,162964,
1998-08,138131,
1998-09,127858,
1998-10,132930,
1998-11,145608,
1998-12,140016,
1999-01,71030,
1999-02,66144,
1999-03,64830,
1999-04,70891,
1999-05,66260,
1999-06,70414,
1999-07,66028,
1999-08,67022,
1999-09,62497,
1999-10,66537,
1999-11,68947,
1999-12,80043,
2000-01,77044,
2000-02,74634,
2000-03,73005,
2000-04,71289,
2000-05,68333,
2000-06,66169,
2000-07,67679,
2000-08,67473,
2000-09,63331,
2000-10,64059,
2000-11,58391,
2000-12,59671,
2001-01,61410,
2001-02,56315,
2001-03,53419,
2001-04,55419,
2001-05,54092,
2001-06,53074,
2001-07,51307,
2001-08,45270,
2001-09,37050,
2001-10,38885,
2001-11,42170,
2001-12,43686,
2002-01,44697,
2002-02,43306,
2002-03,45484,
2002-04,44241,
2002-05,42846,
2002-06,38943,
2002-07,34683,
2002-08,33497,
2002-09,26255,
2002-10,28482,
2002-11,30100,
2002-12,25449,
2003-01,24258,
2003-02,22045,
2003-03,21154,
2003-04,24351,
2003-05,23621,
2003-06,25939,
2003-07,27413,
2003-08,27421,
2003-09,25858,
2003-10,28901,
2003-11,29655,
2003-12,32580,
2004-01,34110,
2004-02,33497,
2004-03,31721,
2004-04,32776,
2004-05,31681,
2004-06,32626,
2004-07,31013,
2004-08,30154,
2004-09,30003,
2004-10,30141,
2004-11,30872,
2004-12,31623,
2005-01,29985,
2005-02,30497,
2005-03,30096,
2005-04,28396,
2005-05,30040,
2005-06,30441,
2005-07,32441,
2005-08,31555,
2005-09,32346,
2005-10,32355,
2005-11,33376,
2005-12,33915,
2006-01,35422,
2006-02,36484,
2006-03,36136,
2006-04,36205,
2006-05,32694,
2006-06,31424,
2006-07,31897,
2006-08,31771,
2006-09,32303,
2006-10,33113,
2006-11,34001,
2006-12,35159,
2007-01,35568,
2007-02,34814,
2007-03,35254,
2007-04,37813,
2007-05,39146,
2007-06,39148,
2007-07,37376,
2007-08,36646,
2007-09,37562,
2007-10,38654,
2007-11,36565,
2007-12,36944,
2008-01,31402,
2008-02,31509,
2008-03,30645,
2008-04,32336,
2008-05,32426,
2008-06,30286,
2008-07,29504,
2008-08,29446,
2008-09,25537,
2008-10,19437,
2008-11,16870,
2008-12,17043,
2009-01,15684,
2009-02,14714,
2009-03,13674,
2009-04,14786,
2009-05,14075,
2009-06,13536,
2009-07,14487,
2009-08,.,No value available
2009-09,20360,
2009-10,19315,
2009-11,19604,
2009-12,19731,
2010-01,19599,
2010-02,19814,
2010-03,22029,
2010-04,21829,
2010-05,21091,
2010-06,21197,
2010-07,21646,
2010-08,20960,
2010-09,21839,
2010-10,23213,
2010-11,23000,
2010-12,23923,
2011-01,24532,
2011-02,24915,
2011-03,24368,
2011-04,25467,
2011-05,24091,
2011-06,24343,
2011-07,23554,
2011-08,19190,
2011-09,18352,
2011-10,20458,
2011-11,19487,
2011-12,18845,
2012-01,20284,
2012-02,21314,
2012-03,21569,
2012-04,23272,
2012-05,20220,
2012-06,20253,
2012-07,21549,
2012-08,21871,
2012-09,22360,
2012-10,23063,
2012-11,23635,
2012-12,24772,
2013-01,25587,
2013-02,25583,
2013-03,25746,
2013-04,26305,
2013-05,27409,
2013-06,24877,
2013-07,26554,
2013-08,26155,
2013-09,27362,
2013-10,28601,
2013-11,30750,
2013-12,29977,
2014-01,28413,
2014-02,29318,
2014-03,29013,
2014-04,29967,
2014-05,29014,
2014-06,28470,
2014-07,26643,
2014-08,26762,
2014-09,26698,
2014-10,27381,
2014-11,29508,
