"",BBFB1.M.N.DE.W1.S1.S1.T.C.SK._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SK._Z._Z._Z._T._X.N_FLAGS
2013-11,103.884,
2013-12,334.186,
2014-01,75.474,
2014-02,87.653,Provisional value
2014-03,52.341,Provisional value
2014-04,75.637,Provisional value
2014-05,181.359,Provisional value
2014-06,117.148,Provisional value
2014-07,91.459,Provisional value
2014-08,94.406,Provisional value
2014-09,88.598,
2014-10,111.282,
2014-11,121.006,
2014-12,215.778,Provisional value
