"",BBEX3.M.NOK.USD.CA.AA.A02,BBEX3.M.NOK.USD.CA.AA.A02_FLAGS
1995-04,6.1771,
1995-05,6.2743,
1995-06,6.2254,
1995-07,6.1621,
1995-08,6.3267,
1995-09,6.3881,
1995-10,6.2267,
1995-11,6.2361,
1995-12,6.3411,
1996-01,6.4050,
1996-02,6.3940,
1996-03,6.4168,
1996-04,6.4886,
1996-05,6.5648,
1996-06,6.5202,
1996-07,6.4393,
1996-08,6.3981,
1996-09,6.4447,
1996-10,6.4734,
1996-11,6.3411,
1996-12,6.4548,
1997-01,6.4365,
1997-02,6.6126,
1997-03,6.8068,
1997-04,6.9545,
1997-05,7.0502,
1997-06,7.1931,
1997-07,7.4205,
1997-08,7.6176,
1997-09,7.3047,
1997-10,7.0643,
1997-11,7.0434,
1997-12,7.2391,
1998-01,7.4765,
1998-02,7.5436,
1998-03,7.5663,
1998-04,7.5152,
1998-05,7.4331,
1998-06,7.5618,
1998-07,7.6117,
1998-08,7.7026,
1998-09,7.5721,
1998-10,7.4160,
1998-11,7.4421,
1998-12,7.5768,
1999-01,7.4337,
1999-02,7.6977,
1999-03,7.8089,
1999-04,7.7579,
1999-05,7.7386,
1999-06,7.8536,
1999-07,7.8908,
1999-08,7.7781,
1999-09,7.8189,
1999-10,7.7203,
1999-11,7.9072,
1999-12,7.9909,
2000-01,7.9918,
2000-02,8.2188,
2000-03,8.3882,
2000-04,8.5773,
2000-05,9.0327,
2000-06,8.6640,
2000-07,8.6795,
2000-08,8.9296,
2000-09,9.2067,
2000-10,9.3401,
2000-11,9.3188,
2000-12,9.0676,
2001-01,8.7494,
2001-02,8.8904,
2001-03,8.9529,
2001-04,9.0638,
2001-05,9.1139,
2001-06,9.2744,
2001-07,9.2560,
2001-08,8.9341,
2001-09,8.7611,
2001-10,8.8104,
2001-11,8.9076,
2001-12,8.9391,
2002-01,8.9494,
2002-02,8.9426,
2002-03,8.7984,
2002-04,8.6039,
2002-05,8.1806,
2002-06,7.7571,
2002-07,7.4510,
2002-08,7.5933,
2002-09,7.4970,
2002-10,7.4712,
2002-11,7.3025,
2002-12,7.1540,
2003-01,6.8973,
2003-02,6.9899,
2003-03,7.2447,
2003-04,7.2006,
2003-05,6.8073,
2003-06,6.9784,
2003-07,7.2815,
2003-08,7.4005,
2003-09,7.3005,
2003-10,7.0262,
2003-11,6.9957,
2003-12,6.7029,
2004-01,6.7988,
2004-02,6.9317,
2004-03,6.9463,
2004-04,6.9164,
2004-05,6.8235,
2004-06,6.8139,
2004-07,6.8920,
2004-08,6.8278,
2004-09,6.8351,
2004-10,6.5830,
2004-11,6.2660,
2004-12,6.1259,
2005-01,6.2490,
2005-02,6.3784,
2005-03,6.1804,
2005-04,6.3078,
2005-05,6.3579,
2005-06,6.4768,
2005-07,6.5693,
2005-08,6.4270,
2005-09,6.3593,
2005-10,6.5067,
2005-11,6.6243,
2005-12,6.7099,
2006-01,6.6250,
2006-02,6.7359,
2006-03,6.6259,
2006-04,6.3814,
2006-05,6.0987,
2006-06,6.1950,
2006-07,6.2455,
2006-08,6.2279,
2006-09,6.4716,
2006-10,6.6415,
2006-11,6.3940,
2006-12,6.1594,
2007-01,6.3493,
2007-02,6.1735,
2007-03,6.1257,
2007-04,5.9908,
2007-05,6.0107,
2007-06,5.9954,
2007-07,5.7766,
2007-08,5.8490,
2007-09,5.6286,
2007-10,5.3945,
2007-11,5.3956,
2007-12,5.4928,
2008-01,5.4029,
2008-02,5.3801,
2008-03,5.1221,
2008-04,5.0473,
2008-05,5.0456,
2008-06,5.1256,
2008-07,5.0922,
2008-08,5.3143,
2008-09,5.6535,
2008-10,6.4845,
2008-11,6.9254,
2008-12,6.9857,
2009-01,6.9603,
2009-02,6.8661,
2009-03,6.7639,
2009-04,6.6659,
2009-05,6.4471,
2009-06,6.3721,
2009-07,6.3511,
2009-08,6.0676,
2009-09,5.8984,
2009-10,5.6325,
2009-11,5.6324,
2009-12,5.7457,
2010-01,5.7216,
2010-02,5.9039,
2010-03,5.9119,
2010-04,5.9035,
2010-05,6.2643,
2010-06,6.4620,
2010-07,6.2800,
2010-08,6.1369,
2010-09,6.0523,
2010-10,5.8228,
2010-11,5.9446,
2010-12,5.9682,
2011-01,5.8509,
2011-02,5.7261,
2011-03,5.5848,
2011-04,5.4040,
2011-05,5.4502,
2011-06,5.4316,
2011-07,5.4364,
2011-08,5.4225,
2011-09,5.6045,
2011-10,5.6477,
2011-11,5.7342,
2011-12,5.8704,
2012-01,5.9371,
2012-02,5.7060,
2012-03,5.6885,
2012-04,5.7363,
2012-05,5.9030,
2012-06,6.0049,
2012-07,6.0528,
2012-08,5.9038,
2012-09,5.7439,
2012-10,5.7025,
2012-11,5.7086,
2012-12,5.6081,
2013-01,5.5443,
2013-02,5.5453,
2013-03,5.7530,
2013-04,5.7818,
2013-05,5.8160,
2013-06,5.8469,
2013-07,6.0140,
2013-08,5.9442,
2013-09,5.9584,
2013-10,5.9387,
2013-11,6.0678,
2013-12,6.1223,
2014-01,6.1448,
2014-02,6.1135,
2014-03,5.9872,
2014-04,5.9642,
2014-05,5.9236,
2014-06,6.0210,
2014-07,6.1768,
2014-08,6.1837,
2014-09,6.3191,
2014-10,6.5227,
2014-11,6.7882,
2014-12,7.2453,
2015-01,7.6691,
"","Source: Since December 2003 DNB, Oslo (formerly DnB NOR) 1991 - November 2003 Den norske Bank, Oslo 1972 - 1990 Den norske Creditbank, Oslo",
"",Methodology: Calculated on the basis of daily rates.,
"","Comment on 1992-12: On 10 December 1992, the Norwegian central bank decided to abandon the unilateral pegging of the Norwegian krone to the ECU and allow the krone to float. On the basis of the exchange rates on 9 and 11 December 1992, the krone depreciated by 6.5% against the US dollar (middle rate). No exchange rate data are available for 10 December 1992.",
