"",BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AI.FA.P.F._Z._T.M.N_FLAGS
2010-10,332823.431,
2010-11,244486.567,
2010-12,185903.807,
2011-01,243127.324,
2011-02,249420.546,
2011-03,293012.134,
2011-04,230712.721,
2011-05,252309.631,
2011-06,249228.116,
2011-07,208357.555,
2011-08,236308.320,
2011-09,256929.929,
2011-10,200315.047,
2011-11,221213.647,
2011-12,212479.346,
2012-01,236334.424,
2012-02,245683.061,
2012-03,331415.399,
2012-04,279255.138,
2012-05,266966.536,
2012-06,233853.628,
2012-07,311710.762,
2012-08,208937.096,
2012-09,245449.357,
2012-10,254426.820,
2012-11,227404.147,
2012-12,317681.656,
2013-01,294127.174,
2013-02,264102.571,
2013-03,286104.060,
2013-04,285221.210,
2013-05,305950.647,
2013-06,268435.227,
2013-07,270835.337,
2013-08,212821.632,
2013-09,281476.585,
2013-10,307493.949,
2013-11,279312.856,
2013-12,241642.106,
2014-01,321415.715,
2014-02,308631.447,Provisional value
2014-03,362739.850,Provisional value
2014-04,323443.851,Provisional value
2014-05,319977.629,Provisional value
2014-06,282239.839,Provisional value
2014-07,275891.030,Provisional value
2014-08,218332.391,Provisional value
2014-09,314800.842,
2014-10,289292.105,
2014-11,261509.379,
2014-12,236705.791,Provisional value
