"",BBSF2.M.1.S.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
2008-12,3920,
2009-01,3903,
2009-02,3889,
2009-03,3865,
2009-04,3855,
2009-05,3845,
2009-06,3822,
2009-07,3829,
2009-08,3832,
2009-09,3834,
2009-10,3843,
2009-11,3813,
2009-12,3783,
2010-01,3809,
2010-02,3791,
2010-03,3806,
2010-04,3811,
2010-05,3801,
2010-06,3777,
2010-07,3764,
2010-08,3789,
2010-09,3798,
2010-10,3798,
2010-11,3793,
2010-12,3787,
2011-01,3787,
2011-02,3782,
2011-03,3768,
2011-04,3779,
2011-05,3771,
2011-06,3771,
2011-07,3776,
2011-08,3773,
2011-09,3774,
2011-10,3771,
2011-11,3762,
2011-12,3745,
2012-01,3739,
2012-02,3733,
2012-03,3723,
2012-04,3739,
2012-05,3733,
2012-06,3744,
2012-07,3741,
2012-08,3782,
2012-09,3829,
2012-10,3912,
2012-11,3893,
2012-12,3901,
2013-01,3898,
2013-02,3882,
2013-03,3880,
2013-04,3873,
2013-05,3875,
2013-06,3863,
2013-07,4055,
2013-08,4036,
2013-09,4035,
2013-10,4002,
2013-11,3968,
2013-12,3975,
2014-01,3940,
2014-02,3942,
2014-03,3908,
2014-04,3896,
2014-05,3890,
2014-06,3884,
2014-07,3844,
2014-08,3850,
2014-09,3853,
2014-10,3844,
2014-11,3843,
