"",BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N_FLAGS
2007-10,-4.30,
2007-11,-4.01,
2007-12,-4.00,
2008-01,-4.20,
2008-02,-4.35,
2008-03,-4.05,
2008-04,-4.41,
2008-05,-3.56,
2008-06,-3.54,
2008-07,-3.78,
2008-08,-3.64,
2008-09,-3.83,
2008-10,-3.68,
2008-11,-4.19,
2008-12,-4.29,
2009-01,-2.78,
2009-02,-2.93,
2009-03,-4.61,
2009-04,-3.74,
2009-05,-4.16,
2009-06,-4.26,
2009-07,-3.74,
2009-08,-4.14,
2009-09,-3.87,
2009-10,-3.61,
2009-11,-3.23,
2009-12,-3.63,
2010-01,-4.29,
2010-02,-4.33,
2010-03,-4.53,
2010-04,-4.15,
2010-05,-4.28,
2010-06,-4.81,
2010-07,-4.69,
2010-08,-4.05,
2010-09,-4.09,
2010-10,-4.23,
2010-11,-4.30,
2010-12,-4.69,
2011-01,-4.08,
2011-02,-4.08,
2011-03,-4.37,
2011-04,-4.03,
2011-05,-4.61,
2011-06,-3.72,
2011-07,-4.51,
2011-08,-4.54,
2011-09,-5.17,
2011-10,-4.16,
2011-11,-4.63,
2011-12,-4.05,
2012-01,-3.45,
2012-02,-3.36,
2012-03,-3.23,
2012-04,-3.91,
2012-05,-4.57,
2012-06,-4.16,
2012-07,-4.20,
2012-08,-3.59,
2012-09,-4.20,
2012-10,-3.55,
2012-11,-4.31,
2012-12,-4.10,
2013-01,-3.30,
2013-02,-3.80,
2013-03,-3.25,
2013-04,-3.00,
2013-05,-2.43,
2013-06,-3.95,
2013-07,-2.85,
2013-08,-2.94,
2013-09,-3.17,
2013-10,-3.37,
2013-11,-2.93,
2013-12,-2.93,
2014-01,-3.17,
2014-02,-3.11,Provisional value
2014-03,-3.14,Provisional value
2014-04,-3.70,Provisional value
2014-05,-3.13,Provisional value
2014-06,-3.30,Provisional value
2014-07,-3.59,Provisional value
2014-08,-3.51,Provisional value
2014-09,-3.32,
2014-10,-3.12,
2014-11,-3.36,
2014-12,-3.58,Provisional value
