"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F6._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F6._Z._T._X.N_FLAGS
2000-09,684.145,
2000-10,886.633,
2000-11,886.633,
2000-12,886.630,
2001-01,1263.447,
2001-02,1263.446,
2001-03,1263.448,
2001-04,1448.919,
2001-05,1448.920,
2001-06,1448.919,
2001-07,1495.965,
2001-08,1495.965,
2001-09,1495.967,
2001-10,1404.587,
2001-11,1404.585,
2001-12,1404.587,
2002-01,1115.322,
2002-02,1115.323,
2002-03,1115.324,
2002-04,908.767,
2002-05,908.768,
2002-06,908.766,
2002-07,725.463,
2002-08,725.466,
2002-09,725.464,
2002-10,565.407,
2002-11,565.406,
2002-12,565.407,
2003-01,423.729,
2003-02,423.731,
2003-03,423.731,
2003-04,287.903,
2003-05,287.903,
2003-06,287.902,
2003-07,153.055,
2003-08,153.057,
2003-09,153.057,
2003-10,19.184,
2003-11,19.183,
2003-12,19.184,
2004-01,-75.885,
2004-02,-75.886,
2004-03,-75.887,
2004-04,-43.909,
2004-05,-43.909,
2004-06,-43.911,
2004-07,152.933,
2004-08,152.931,
2004-09,152.930,
2004-10,514.640,
2004-11,514.641,
2004-12,514.640,
2005-01,1028.442,
2005-02,1028.442,
2005-03,1028.443,
2005-04,1239.212,
2005-05,1239.210,
2005-06,1239.212,
2005-07,1134.174,
2005-08,1134.177,
2005-09,1134.174,
2005-10,713.327,
2005-11,713.328,
2005-12,713.329,
2006-01,-46.849,
2006-02,-46.848,
2006-03,-46.851,
2006-04,-559.013,
2006-05,-559.013,
2006-06,-559.011,
2006-07,-846.689,
2006-08,-846.688,
2006-09,-846.685,
2006-10,-909.875,
2006-11,-909.877,
2006-12,-909.876,
2007-01,-720.825,
2007-02,-720.824,
2007-03,-720.824,
2007-04,-536.019,
2007-05,-536.020,
2007-06,-536.019,
2007-07,-327.703,
2007-08,-327.706,
2007-09,-327.704,
2007-10,-95.885,
2007-11,-95.883,
2007-12,-95.885,
2008-01,140.520,
2008-02,140.520,
2008-03,140.520,
2008-04,265.085,
2008-05,265.086,
2008-06,265.086,
2008-07,258.889,
2008-08,258.891,
2008-09,258.888,
2008-10,121.928,
2008-11,121.930,
2008-12,121.930,
2009-01,-141.274,
2009-02,-141.274,
2009-03,-141.275,
2009-04,-246.695,
2009-05,-246.692,
2009-06,-246.693,
2009-07,-189.806,
2009-08,-189.805,
2009-09,-189.806,
2009-10,29.379,
2009-11,29.378,
2009-12,29.379,
2010-01,424.803,
2010-02,424.805,
2010-03,424.804,
2010-04,706.354,
2010-05,706.354,
2010-06,706.354,
2010-07,887.961,
2010-08,887.960,
2010-09,887.962,
2010-10,969.631,
2010-11,969.628,
2010-12,969.631,
2011-01,940.816,
2011-02,940.816,
2011-03,940.815,
2011-04,920.388,
2011-05,920.390,
2011-06,920.389,
2011-07,897.814,
2011-08,897.816,
2011-09,897.815,
2011-10,873.090,
2011-11,873.090,
2011-12,873.092,
2012-01,829.310,
2012-02,829.310,
2012-03,829.312,
2012-04,774.648,
2012-05,774.649,
2012-06,774.649,
2012-07,692.199,
2012-08,692.200,
2012-09,692.199,
2012-10,581.964,
2012-11,581.967,
2012-12,581.964,
2013-01,465.901,
2013-02,465.900,
2013-03,465.900,
2013-04,362.384,
2013-05,362.383,
2013-06,362.384,
2013-07,293.371,
2013-08,293.371,
2013-09,293.372,
2013-10,258.865,
2013-11,258.866,
2013-12,258.864,
2014-01,295.644,
2014-02,295.645,Provisional value
2014-03,295.643,Provisional value
2014-04,295.643,Provisional value
2014-05,295.644,Provisional value
2014-06,295.646,Provisional value
2014-07,295.646,Provisional value
2014-08,295.643,Provisional value
2014-09,295.643,
2014-10,295.642,
2014-11,295.644,
2014-12,295.645,Provisional value
