"",BBEX3.M.MRO.USD.CA.AA.A01,BBEX3.M.MRO.USD.CA.AA.A01_FLAGS
1987-12,71.06,
1988-01,72.47,
1988-02,72.86,
1988-03,72.18,
1988-04,72.37,
1988-05,73.28,
1988-06,76.26,
1988-07,77.22,
1988-08,78.12,
1988-09,78.33,
1988-10,75.53,
1988-11,74.13,
1988-12,75.36,
1989-01,77.11,
1989-02,75.94,
1989-03,77.76,
1989-04,81.13,
1989-05,85.45,
1989-06,84.26,
1989-07,82.70,
1989-08,85.95,
1989-09,84.50,
1989-10,84.88,
1989-11,84.82,
1989-12,82.92,
1990-01,82.41,
1990-02,82.79,
1990-03,83.24,
1990-04,81.97,
1990-05,81.54,
1990-06,81.00,
1990-07,79.31,
1990-08,77.58,
1990-09,78.12,
1990-10,76.61,
1990-11,75.80,
1990-12,77.26,
1991-01,76.06,
1991-02,77.02,
1991-03,83.15,
1991-04,84.85,
1991-05,82.58,
1991-06,85.91,
1991-07,84.35,
1991-08,84.62,
1991-09,82.61,
1991-10,82.70,
1991-11,79.61,
1991-12,77.24,
1992-01,79.42,
1992-02,81.55,
1992-03,81.13,
1992-04,81.21,
1992-05,80.32,
1992-06,76.99,
1992-07,75.51,
1992-08,73.73,
1992-09,76.05,
1992-10,109.95,comment
1992-11,113.56,
1992-12,114.24,
1993-01,112.96,
1993-02,115.78,
1993-03,116.05,
1993-04,114.26,
1993-05,116.82,
1993-06,120.00,
1993-07,123.84,
1993-08,122.28,
1993-09,119.25,
1993-10,122.35,
1993-11,124.21,
1993-12,123.23,
1994-01,124.09,
1994-02,123.77,
1994-03,121.61,
1994-04,121.52,
1994-05,119.88,
1994-06,121.71,
1994-07,122.26,
1994-08,124.65,
1994-09,122.28,
1994-10,120.18,
1994-11,124.97,
1994-12,126.45,
1995-01,124.97,
1995-02,124.18,
1995-03,123.42,
1995-04,124.94,
1995-05,127.07,
1995-06,128.22,
1995-07,128.65,
1995-08,134.16,
1995-09,132.05,
1995-10,132.79,
1995-11,135.26,
1995-12,135.07,
1996-01,134.08,
1996-02,133.85,
1996-03,134.19,
1996-04,134.88,
1996-05,135.31,
1996-06,137.72,
1996-07,136.50,
1996-08,136.04,
1996-09,136.11,
1996-10,137.78,
1996-11,139.65,
1996-12,140.32,
1997-01,140.95,
1997-02,141.29,
1997-03,142.43,
1997-04,144.77,
1997-05,145.15,
1997-06,147.05,
1997-07,151.50,
1997-08,153.91,comment
1997-09,157.83,
1997-10,164.27,
1997-11,165.59,comment
1997-12,165.20,
1998-01,170.05,
1998-02,170.87,
1998-03,174.41,
1998-04,174.69,
1998-05,176.41,
1998-06,177.04,
1998-07,200.45,
1998-08,201.00,
1998-09,202.46,
1998-10,202.27,
1998-11,202.79,
1998-12,201.71,
1999-01,202.72,
1999-02,203.39,
1999-03,203.11,
1999-04,205.21,
1999-05,205.45,
1999-06,206.22,
1999-07,207.24,
1999-08,209.93,
1999-09,210.37,
1999-10,212.40,
1999-11,214.66,
1999-12,221.65,
2000-01,222.48,
2000-02,228.55,
2000-03,229.46,
2000-04,234.45,
2000-05,240.18,
2000-06,239.28,comment
2000-07,239.28,
2000-08,239.58,
2000-09,246.28,comment
2000-10,248.54,
2000-11,249.04,
2000-12,248.54,
2001-01,247.76,
2001-02,249.72,
2001-03,251.48,
2001-04,251.96,
2001-05,253.84,
2001-06,254.14,
2001-07,254.44,
2001-08,254.64,
2001-09,254.84,
2001-10,256.92,
2001-11,262.52,comment
2001-12,263.52,
2002-01,266.00,
2002-02,272.94,
2002-03,274.69,
2002-04,274.44,
2002-05,273.94,
2002-06,270.96,
2002-07,272.44,
2002-08,269.48,
2002-09,269.28,
2002-10,268.18,
2002-11,267.08,
2002-12,266.70,
2003-01,263.02,
2003-02,262.52,
2003-03,263.02,
2003-04,262.52,
2003-05,259.04,
2003-06,261.04,
2003-07,261.04,
2003-08,262.22,
2003-09,261.04,
2003-10,262.02,
2003-11,262.32,
2003-12,263.62,
2004-01,264.60,
2004-02,264.12,
2004-03,264.12,
2004-04,266.70,
2004-05,264.70,
2004-06,266.50,
2004-07,266.99,
2004-08,266.99,
2004-09,265.00,
2004-10,263.52,
2004-11,261.45,
2004-12,255.27,
2005-01,258.49,
2005-02,259.62,
2005-03,263.32,
2005-04,263.52,
2005-05,264.50,
2005-06,264.50,
2005-07,263.51,
2005-08,263.51,
2005-09,263.51,
2005-10,266.59,
2005-11,266.59,
2005-12,266.59,
2006-01,266.59,
2006-02,266.59,
2006-03,266.59,
2006-04,266.59,
2006-05,266.59,
2006-06,266.59,
2006-07,266.59,
2006-08,266.59,
2006-09,266.59,
2006-10,266.59,
2006-11,266.59,
2006-12,266.59,
2007-01,266.24,
2007-02,266.49,
2007-03,266.49,
2007-04,261.13,
2007-05,255.97,
2007-06,255.97,
2007-07,252.21,
2007-08,255.22,
2007-09,255.76,
2007-10,252.47,
2007-11,247.88,
2007-12,250.37,
2008-01,249.38,
2008-02,250.37,
2008-03,241.79,
2008-04,238.17,
2008-05,238.18,
2008-06,232.41,
2008-07,226.43,
2008-08,229.02,
2008-09,234.41,
2008-10,245.88,
2008-11,254.36,
2008-12,260.85,
2009-01,256.86,
2009-02,258.35,
2009-03,264.49,
2009-04,265.83,
2009-05,264.09,
2009-06,263.38,
2009-07,261.51,
2009-08,258.96,
2009-09,258.84,
2009-10,260.15,
2009-11,260.17,
2009-12,261.34,
2010-01,259.96,
2010-02,260.40,
2010-03,264.14,
2010-04,268.14,
2010-05,273.26,
2010-06,282.79,
2010-07,284.59,
2010-08,286.15,
2010-09,285.31,
2010-10,282.86,
2010-11,279.80,
2010-12,281.30,
2011-01,277.29,
2011-02,287.63,
2011-03,277.31,
2011-04,271.16,
2011-05,272.32,
2011-06,273.16,
2011-07,276.29,
2011-08,278.28,
2011-09,283.98,
2011-10,285.29,
2011-11,286.01,
2011-12,287.68,
2012-01,289.81,
2012-02,292.30,
2012-03,290.42,
2012-04,290.52,
2012-05,292.15,
2012-06,294.16,
2012-07,299.25,
2012-08,300.45,
2012-09,301.25,
2012-10,296.26,
2012-11,297.37,
2012-12,301.52,
2013-01,297.40,
2013-02,296.42,
2013-03,298.13,
2013-04,299.20,
2013-05,302.79,
2013-06,302.05,
2013-07,301.88,
2013-08,301.84,
2013-09,302.63,
2013-10,296.24,
2013-11,294.54,
2013-12,298.25,
2014-01,300.52,
2014-02,299.05,
2014-03,297.75,
2014-04,298.10,
2014-05,299.03,
2014-06,299.27,
2014-07,300.25,
2014-08,300.65,
2014-09,302.12,
2014-10,303.14,
2014-11,305.35,
2014-12,311.86,
2015-01,309.33,
"","General: In addition to the official exchange rate, there were reportedly other exchange rates in 1995; we do not have any details of these exchange rates or explanations as to their use.",
"","Source: Banque Centrale de Mauritanie, Nouakchott.",
"","Comment on 1985-02: Between 14 January and 14 February 1985, technical adjustments were gradually made to the valuation methods for the ouguiya (inter alia the composition of the currency basket was changed). We recorded the following exchange rates (buying/selling rate) for the beginning and end of the adjustment period.  14 January 1985: USD 1 = MRO 66.80 / 67.80  14 February 1985: USD 1 = MRO 79.40 / 80.60  On the basis of these exchange rates, the ouguiya depreciated by 15.9% against the US dollar.",
"","Comment on 1992-10: On 4 October 1992, the ouguiya was devalued. We recorded the following exchange rates (buying/selling rate).  1 October 1992: USD 1 = MRO 81.41 / 82.65  4 October 1992: USD 1 = MRO 104.15 / 105.73  Calculated devaluation: 21.8%.",
"",Comment on 1997-08: Exchange rate as of 1 September 1997.,
"",Comment on 1997-11: Exchange rate as of 1 December 1997.,
"",Comment on 2000-06: Exchange rate as of 27 June 2000.,
"",Comment on 2000-09: Exchange rate as of 27 September 2000.,
"",Comment on 2001-11: Exchange rate as of 27 November 2001.,
