"",BBDA1.M.DE.N.IM.S.A.IE.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.IE.A.V.ABA.A_FLAGS
2004-09,1279515,
2004-10,1098238,
2004-11,1265224,
2004-12,1169393,
2005-01,1016147,
2005-02,1108542,
2005-03,1253921,
2005-04,1292464,
2005-05,1047387,
2005-06,1365577,
2005-07,1394311,
2005-08,1226631,
2005-09,1443742,
2005-10,1317789,
2005-11,1236357,
2005-12,1332105,
2006-01,1328773,
2006-02,1310836,
2006-03,1378252,
2006-04,1418101,
2006-05,1390380,
2006-06,1522041,
2006-07,1225245,
2006-08,1328573,
2006-09,1610319,
2006-10,1510413,
2006-11,1312119,
2006-12,1428060,
2007-01,1540668,
2007-02,1268907,
2007-03,1416841,
2007-04,1244888,
2007-05,1366019,
2007-06,1677351,
2007-07,1267371,
2007-08,1598636,
2007-09,1315741,
2007-10,1675810,
2007-11,1759658,
2007-12,1283190,
2008-01,1345015,
2008-02,1461160,
2008-03,1266997,
2008-04,1371639,
2008-05,1198786,
2008-06,1366082,
2008-07,1428980,
2008-08,1193003,
2008-09,1502398,
2008-10,1465149,
2008-11,1268631,
2008-12,1263876,
2009-01,1252528,
2009-02,1070637,
2009-03,1218951,
2009-04,1130591,
2009-05,994905,
2009-06,1064004,
2009-07,1225381,
2009-08,1093188,
2009-09,1206518,
2009-10,1284043,
2009-11,1177733,
2009-12,1096567,
2010-01,1129863,
2010-02,1237678,
2010-03,1194441,
2010-04,1034841,
2010-05,1009044,
2010-06,1000141,
2010-07,1213169,
2010-08,1040735,
2010-09,1053526,
2010-10,1224978,
2010-11,1244330,
2010-12,1172974,
2011-01,1031858,
2011-02,1000654,
2011-03,1216293,
2011-04,987922,
2011-05,1013674,
2011-06,982616,
2011-07,930729,
2011-08,1041086,
2011-09,963160,
2011-10,1041165,
2011-11,1168046,
2011-12,956801,
2012-01,839335,
2012-02,777726,
2012-03,1215212,
2012-04,694261,
2012-05,729187,
2012-06,813561,
2012-07,851112,
2012-08,775926,
2012-09,896626,
2012-10,689785,
2012-11,932496,
2012-12,877991,
2013-01,655618,
2013-02,671028,
2013-03,805752,
2013-04,767406,
2013-05,817576,
2013-06,562173,
2013-07,924369,
2013-08,613490,
2013-09,831975,
2013-10,703603,
2013-11,751122,
2013-12,676635,
2014-01,689256,
2014-02,769709,
2014-03,759243,
2014-04,694657,
2014-05,763271,
2014-06,707975,
2014-07,585950,
2014-08,838547,
2014-09,789528,
2014-10,753108,
2014-11,838548,
2014-12,757850,
