"",BBFB1.M.N.DE.W1.S1.S1.T.C.D42.P.F51._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D42.P.F51._Z._T._X.N_FLAGS
2007-10,624.055,
2007-11,743.184,
2007-12,1310.035,
2008-01,956.513,
2008-02,929.652,
2008-03,1043.757,
2008-04,1325.085,
2008-05,2396.268,
2008-06,851.257,
2008-07,623.173,
2008-08,539.612,
2008-09,669.478,
2008-10,609.510,
2008-11,953.928,
2008-12,892.265,
2009-01,446.272,
2009-02,384.520,
2009-03,428.910,
2009-04,595.813,
2009-05,1161.888,
2009-06,641.321,
2009-07,334.574,
2009-08,217.251,
2009-09,282.378,
2009-10,171.341,
2009-11,320.708,
2009-12,356.848,
2010-01,397.091,
2010-02,373.653,
2010-03,508.511,
2010-04,531.073,
2010-05,1175.264,
2010-06,794.977,
2010-07,342.748,
2010-08,309.684,
2010-09,398.468,
2010-10,234.866,
2010-11,457.649,
2010-12,375.179,
2011-01,480.755,
2011-02,448.810,
2011-03,615.163,
2011-04,546.304,
2011-05,1421.245,
2011-06,831.265,
2011-07,429.766,
2011-08,359.361,
2011-09,487.494,
2011-10,200.707,
2011-11,282.794,
2011-12,368.904,
2012-01,515.425,
2012-02,311.310,
2012-03,573.645,
2012-04,606.540,
2012-05,1265.052,
2012-06,726.307,
2012-07,501.544,
2012-08,279.086,
2012-09,612.685,
2012-10,275.559,
2012-11,223.068,
2012-12,524.016,
2013-01,634.057,
2013-02,554.227,
2013-03,778.623,
2013-04,868.199,
2013-05,1323.478,
2013-06,742.683,
2013-07,508.217,
2013-08,309.789,
2013-09,580.989,
2013-10,491.323,
2013-11,381.573,
2013-12,588.112,
2014-01,645.537,
2014-02,826.528,Provisional value
2014-03,1328.003,Provisional value
2014-04,1506.319,Provisional value
2014-05,2227.408,Provisional value
2014-06,932.601,Provisional value
2014-07,457.806,Provisional value
2014-08,291.345,Provisional value
2014-09,585.060,
2014-10,557.837,
2014-11,272.671,
2014-12,509.104,Provisional value
