"",BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1998-02,-2993.372,
1998-03,-2129.428,
1998-04,-1877.604,
1998-05,-1564.402,
1998-06,-1124.637,
1998-07,-1915.348,
1998-08,-2755.402,
1998-09,-2352.984,
1998-10,-2563.872,
1998-11,-2813.116,
1998-12,-1622.632,
1999-01,-4251.046,
1999-02,-2507.337,
1999-03,-1237.454,
1999-04,-1758.302,
1999-05,-1647.260,
1999-06,-1551.063,
1999-07,-2243.446,
1999-08,-2561.651,
1999-09,-2317.967,
1999-10,-2350.894,
1999-11,-2513.436,
1999-12,-1761.689,
2000-01,-4893.421,
2000-02,-2112.223,
2000-03,-1650.380,
2000-04,-2519.999,
2000-05,-1964.640,
2000-06,-2147.476,
2000-07,-2918.489,
2000-08,-2411.362,
2000-09,-1323.499,
2000-10,-2833.995,
2000-11,-2658.129,
2000-12,-2492.900,
2001-01,-3636.087,
2001-02,-2262.524,
2001-03,-2756.132,
2001-04,-2074.684,
2001-05,-2547.638,
2001-06,-2816.697,
2001-07,-2457.300,
2001-08,-1470.065,
2001-09,-1816.726,
2001-10,-2665.656,
2001-11,-2591.539,
2001-12,-2056.433,
2002-01,-2983.932,
2002-02,-3509.185,
2002-03,-2629.388,
2002-04,-2700.249,
2002-05,-2317.762,
2002-06,-2721.590,
2002-07,-1984.438,
2002-08,-1249.723,
2002-09,-2286.776,
2002-10,-3043.890,
2002-11,-2651.530,
2002-12,-1329.963,
2003-01,-3989.479,
2003-02,-2779.896,
2003-03,-1999.775,
2003-04,-2508.281,
2003-05,-2304.398,
2003-06,-2309.744,
2003-07,-2733.587,
2003-08,-3061.129,
2003-09,-2659.102,
2003-10,-1615.129,
2003-11,-2894.179,
2003-12,-2233.393,
2004-01,-4007.423,
2004-02,-2900.523,
2004-03,-2297.669,
2004-04,-1487.668,
2004-05,-2383.816,
2004-06,-2542.184,
2004-07,-3041.150,
2004-08,-2541.742,
2004-09,-2490.440,
2004-10,-2231.510,
2004-11,-2150.005,
2004-12,-1943.579,
2005-01,-6187.501,
2005-02,-2642.588,
2005-03,-2214.337,
2005-04,-1395.321,
2005-05,-1832.899,
2005-06,-2548.266,
2005-07,-2293.226,
2005-08,-2667.275,
2005-09,-2616.460,
2005-10,-2081.424,
2005-11,-2742.888,
2005-12,-1901.504,
2006-01,-2350.757,
2006-02,-5423.835,
2006-03,-2356.443,
2006-04,-2084.310,
2006-05,-826.002,
2006-06,-1656.483,
2006-07,-3264.777,
2006-08,-2615.760,
2006-09,-2754.318,
2006-10,-3189.704,
2006-11,-2642.886,
2006-12,-3083.763,
2007-01,-3112.818,
2007-02,-6423.481,
2007-03,-2306.115,
2007-04,-1640.165,
2007-05,-466.987,
2007-06,-1778.194,
2007-07,-2750.207,
2007-08,-2759.858,
2007-09,-2661.443,
2007-10,-3068.501,
2007-11,-3224.530,
2007-12,-3541.040,
2008-01,-3290.980,
2008-02,-4840.184,
2008-03,-2750.031,
2008-04,-1494.720,
2008-05,-70.136,
2008-06,-2588.836,
2008-07,-2599.411,
2008-08,-2974.821,
2008-09,-2414.334,
2008-10,-3798.131,
2008-11,-3333.422,
2008-12,-4193.629,
2009-01,-3539.284,
2009-02,-3949.723,
2009-03,-2919.729,
2009-04,-2294.569,
2009-05,-322.621,
2009-06,-2274.238,
2009-07,-2262.046,
2009-08,-3032.560,
2009-09,-2324.605,
2009-10,-4727.319,
2009-11,-3607.332,
2009-12,-3676.033,
2010-01,-4256.100,
2010-02,-6482.325,
2010-03,-2486.835,
2010-04,-1887.427,
2010-05,-1232.823,
2010-06,-2403.497,
2010-07,-3365.861,
2010-08,-3227.159,
2010-09,-3278.125,
2010-10,-3429.928,
2010-11,-3587.722,
2010-12,-4013.615,
2011-01,-3730.038,
2011-02,-6251.337,
2011-03,-2563.582,
2011-04,-1179.436,
2011-05,-329.721,
2011-06,-2250.465,
2011-07,-3125.412,
2011-08,-2759.024,
2011-09,-2797.394,
2011-10,-3272.792,
2011-11,-3256.916,
2011-12,-3298.456,
2012-01,-3878.905,
2012-02,-6955.983,
2012-03,-3116.265,
2012-04,-2320.408,
2012-05,-1181.156,
2012-06,-1937.697,
2012-07,-2196.872,
2012-08,-3335.371,
2012-09,-2893.613,
2012-10,-3160.171,
2012-11,-2974.152,
2012-12,-4741.864,
2013-01,-5418.628,
2013-02,-6755.997,
2013-03,-3009.737,
2013-04,-2339.288,
2013-05,-2234.838,
2013-06,-2866.745,
2013-07,-3250.391,
2013-08,-3559.695,
2013-09,-2747.173,
2013-10,-2642.925,
2013-11,-2244.304,
2013-12,-6272.817,
2014-01,-4418.895,
2014-02,-7136.783,Provisional value
2014-03,-3224.355,Provisional value
2014-04,-3375.214,Provisional value
2014-05,-1301.314,Provisional value
2014-06,-2242.886,Provisional value
2014-07,-3051.163,Provisional value
2014-08,-2482.758,Provisional value
2014-09,-2456.267,
2014-10,-2394.323,
2014-11,-3616.498,
2014-12,-5367.899,Provisional value
