"",BBDE1.M.DE.Y.AEA1.A2Q501000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2Q501000.F.V.I10.A_FLAGS
2008-10,95.1,
2008-11,86.8,
2008-12,80.1,
2009-01,72.8,
2009-02,70.7,
2009-03,73.5,
2009-04,72.4,
2009-05,75.2,
2009-06,78.4,
2009-07,81.3,
2009-08,82.4,
2009-09,85.5,
2009-10,82.9,
2009-11,85.9,
2009-12,84.7,
2010-01,88.5,
2010-02,89.1,
2010-03,94.1,
2010-04,97.9,
2010-05,98.3,
2010-06,101.5,
2010-07,100.7,
2010-08,103.8,
2010-09,102.6,
2010-10,103.2,
2010-11,109.0,
2010-12,106.7,
2011-01,111.3,
2011-02,112.5,
2011-03,109.3,
2011-04,110.9,
2011-05,114.5,
2011-06,114.4,
2011-07,111.3,
2011-08,111.1,
2011-09,106.8,
2011-10,109.0,
2011-11,105.0,
2011-12,108.2,
2012-01,106.1,
2012-02,107.0,
2012-03,109.7,
2012-04,107.9,
2012-05,108.9,
2012-06,106.6,
2012-07,107.2,
2012-08,106.7,
2012-09,104.1,
2012-10,108.6,
2012-11,105.2,
2012-12,107.0,
2013-01,105.7,
2013-02,107.4,
2013-03,110.2,
2013-04,106.8,
2013-05,106.4,
2013-06,112.2,
2013-07,108.6,
2013-08,109.3,
2013-09,112.2,
2013-10,111.8,
2013-11,112.4,
2013-12,112.8,
2014-01,112.2,
2014-02,113.2,
2014-03,110.5,
2014-04,113.1,
2014-05,112.0,
2014-06,109.1,
2014-07,115.6,
2014-08,109.9,
2014-09,111.7,
2014-10,115.3,
2014-11,112.4,
2014-12,117.4,Provisional value
