"",BBFN1.M.DE.N.1.A.FR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1993-12,6.802,
1994-01,6.188,
1994-02,6.131,
1994-03,6.729,
1994-04,6.560,
1994-05,6.717,
1994-06,6.220,
1994-07,6.107,
1994-08,6.108,
1994-09,6.005,
1994-10,5.832,
1994-11,6.050,
1994-12,6.125,
1995-01,6.118,
1995-02,5.840,
1995-03,5.755,
1995-04,6.035,
1995-05,5.726,
1995-06,5.925,
1995-07,5.562,
1995-08,5.619,
1995-09,5.448,
1995-10,4.891,
1995-11,4.241,
1995-12,2.999,
1996-01,2.833,
1996-02,3.125,
1996-03,3.549,
1996-04,3.731,
1996-05,4.419,
1996-06,4.322,
1996-07,4.146,
1996-08,3.523,
1996-09,4.062,
1996-10,3.342,
1996-11,4.188,
1996-12,3.994,
1997-01,3.760,
1997-02,5.845,
1997-03,5.726,
1997-04,6.785,
1997-05,6.374,
1997-06,5.887,
1997-07,6.445,
1997-08,5.184,
1997-09,4.502,
1997-10,4.043,
1997-11,3.771,
1997-12,3.246,
1998-01,3.069,
1998-02,3.183,
1998-03,4.383,
1998-04,4.618,
1998-05,6.186,
1998-06,4.696,
1998-07,5.630,
1998-08,5.061,
1998-09,5.813,
1998-10,5.723,
1998-11,5.985,
1998-12,5.095,
1999-01,5.017,
1999-02,4.750,
1999-03,5.841,
1999-04,5.513,
1999-05,5.628,
1999-06,6.258,
1999-07,6.263,
1999-08,6.184,
1999-09,6.760,
1999-10,6.117,
1999-11,5.959,
1999-12,7.925,
2000-01,7.230,
2000-02,7.308,
2000-03,8.205,
2000-04,8.695,
2000-05,6.799,
2000-06,6.486,
2000-07,7.039,
2000-08,7.068,
2000-09,8.069,
2000-10,7.706,
2000-11,7.926,
2000-12,7.785,
2001-01,8.522,
2001-02,9.113,
2001-03,8.407,
2001-04,9.048,
2001-05,9.070,
2001-06,8.224,
2001-07,8.769,
2001-08,9.222,
2001-09,8.805,
2001-10,9.916,
2001-11,9.948,
2001-12,8.669,
2002-01,10.563,
2002-02,10.429,
2002-03,10.601,
2002-04,10.499,
2002-05,12.304,
2002-06,14.080,
2002-07,13.494,
2002-08,13.208,
2002-09,14.280,
2002-10,12.797,
2002-11,11.540,
2002-12,10.412,
2003-01,13.564,
2003-02,14.783,
2003-03,16.998,
2003-04,22.115,
2003-05,22.235,
2003-06,17.405,
2003-07,17.966,
2003-08,15.682,
2003-09,16.467,
2003-10,16.238,
2003-11,15.653,
2003-12,13.698,
2004-01,14.588,
2004-02,15.445,
2004-03,15.638,
2004-04,17.267,
2004-05,19.666,
2004-06,18.729,
2004-07,17.314,
2004-08,19.154,
2004-09,17.809,
2004-10,18.890,
2004-11,19.014,
2004-12,14.934,
2005-01,16.546,
2005-02,15.808,
2005-03,16.943,
2005-04,18.443,
2005-05,19.419,
2005-06,18.309,
2005-07,19.391,
2005-08,19.626,
2005-09,20.410,
2005-10,22.860,
2005-11,20.916,
2005-12,18.303,
2006-01,18.376,
2006-02,19.803,
2006-03,19.918,
2006-04,22.183,
2006-05,20.779,
2006-06,19.080,
2006-07,19.841,
2006-08,21.174,
2006-09,19.082,
2006-10,18.031,
2006-11,18.033,
2006-12,16.542,
2007-01,18.139,
2007-02,25.830,
2007-03,25.057,
2007-04,22.431,
2007-05,21.202,
2007-06,25.139,
2007-07,22.238,
2007-08,20.630,
2007-09,19.164,
2007-10,19.558,
2007-11,19.462,
2007-12,16.294,
2008-01,16.866,
2008-02,17.452,
2008-03,19.842,
2008-04,19.179,
2008-05,18.941,
2008-06,18.749,
2008-07,20.376,
2008-08,18.048,
2008-09,20.059,
2008-10,18.900,
2008-11,18.234,
2008-12,17.784,
2009-01,17.913,
2009-02,17.932,
2009-03,21.144,
2009-04,20.548,
2009-05,25.156,
2009-06,28.933,
2009-07,24.689,
2009-08,23.631,
2009-09,23.550,
2009-10,22.100,
2009-11,21.191,
2009-12,22.513,
2010-01,20.451,
2010-02,21.243,
2010-03,21.453,
2010-04,20.596,
2010-05,20.039,
2010-06,23.466,
2010-07,24.669,
2010-08,23.335,
2010-09,24.829,
2010-10,26.853,
2010-11,26.386,
2010-12,28.007,
2011-01,27.544,
2011-02,28.132,
2011-03,26.423,
2011-04,29.992,
2011-05,34.144,
2011-06,28.559,
2011-07,35.233,
2011-08,34.438,
2011-09,35.094,
2011-10,38.747,
2011-11,40.266,
2011-12,32.002,
2012-01,32.914,
2012-02,37.262,
2012-03,37.077,
2012-04,30.670,
2012-05,30.919,
2012-06,35.562,
2012-07,41.353,
2012-08,39.397,
2012-09,40.921,
2012-10,36.430,
2012-11,38.921,
2012-12,37.267,
2013-01,35.536,
2013-02,32.972,
2013-03,39.390,
2013-04,38.076,
2013-05,40.454,
2013-06,44.854,
2013-07,39.488,
2013-08,37.633,
2013-09,37.323,
2013-10,40.312,
2013-11,44.910,
2013-12,44.453,
2014-01,42.700,
2014-02,46.546,
2014-03,59.149,
2014-04,50.444,
2014-05,63.217,
2014-06,54.940,
2014-07,53.167,
2014-08,56.982,
2014-09,55.523,
2014-10,50.976,
2014-11,52.866,
2014-12,50.867,
