"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
2013-07,-22750.633,
2013-08,-12296.182,
2013-09,-14533.143,
2013-10,22310.180,
2013-11,19544.010,
2013-12,-48411.316,
2014-01,46827.020,
2014-02,3787.680,Provisional value
2014-03,-18881.779,Provisional value
2014-04,17726.972,Provisional value
2014-05,18773.789,Provisional value
2014-06,8681.420,Provisional value
2014-07,39511.768,Provisional value
2014-08,-14094.595,Provisional value
2014-09,-23650.260,
2014-10,18364.131,
2014-11,33307.009,
2014-12,-54098.581,Provisional value
