"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.Z06.BGA.X001.D_FLAGS
1996-04,4.810,
1996-05,4.667,
1996-06,4.671,
1996-07,4.757,
1996-08,4.646,
1996-09,4.590,
1996-10,4.582,
1996-11,4.539,
1996-12,5.186,
1997-01,5.332,
1997-02,5.487,
1997-03,5.917,
1997-04,5.863,
1997-05,5.867,
1997-06,5.784,
1997-07,5.845,
1997-08,5.896,
1997-09,5.888,
1997-10,5.931,
1997-11,5.894,
1997-12,6.620,
1998-01,6.670,
1998-02,6.793,
1998-03,6.632,
1998-04,7.258,
1998-05,7.265,
1998-06,7.278,
1998-07,7.293,
1998-08,6.960,
1998-09,7.191,
1998-10,7.979,
1998-11,7.372,
1998-12,10.072,
1999-01,9.551,
1999-02,9.230,
1999-03,8.909,
1999-04,8.525,
1999-05,8.211,
1999-06,8.092,
1999-07,8.004,
1999-08,8.317,
1999-09,7.767,
1999-10,7.972,
1999-11,7.895,
1999-12,7.981,
2000-01,7.971,
2000-02,8.097,
2000-03,7.721,
2000-04,8.258,
2000-05,8.203,
2000-06,8.689,
2000-07,21.330,
2000-08,22.514,
2000-09,24.017,
2000-10,23.408,
2000-11,22.833,
2000-12,19.344,
2001-01,19.148,
2001-02,19.222,
2001-03,20.605,
2001-04,21.311,
2001-05,22.229,
2001-06,20.057,
2001-07,19.268,
2001-08,18.804,
2001-09,19.008,
2001-10,18.835,
2001-11,19.250,
2001-12,19.510,
2002-01,19.594,
2002-02,20.860,
2002-03,18.522,
2002-04,20.641,
2002-05,23.987,
2002-06,23.455,
2002-07,24.136,
2002-08,24.017,
2002-09,24.787,
2002-10,26.850,
2002-11,26.521,
2002-12,21.936,
2003-01,20.857,
2003-02,20.804,
2003-03,20.549,
2003-04,19.948,
2003-05,19.882,
2003-06,20.131,
2003-07,22.241,
2003-08,23.923,
2003-09,23.972,
2003-10,24.408,
2003-11,24.343,
2003-12,23.815,
2004-01,24.056,
2004-02,24.030,
2004-03,24.763,
2004-04,24.694,
2004-05,24.491,
2004-06,25.633,
2004-07,25.554,
2004-08,25.685,
2004-09,25.483,
2004-10,25.138,
2004-11,25.063,
2004-12,25.474,
2005-01,25.794,
2005-02,25.872,
2005-03,26.183,
2005-04,26.286,
2005-05,26.664,
2005-06,25.645,
2005-07,25.434,
2005-08,25.423,
2005-09,25.271,
2005-10,25.036,
2005-11,25.232,
2005-12,27.826,
2006-01,27.955,
2006-02,28.095,
2006-03,29.909,
2006-04,29.176,
2006-05,28.933,
2006-06,28.948,
2006-07,30.184,
2006-08,29.818,
2006-09,30.560,
2006-10,29.966,
2006-11,30.437,
2006-12,30.327,
2007-01,28.957,
2007-02,28.948,
2007-03,29.008,
2007-04,29.149,
2007-05,28.698,
2007-06,28.694,
2007-07,29.275,
2007-08,29.229,
2007-09,28.717,
2007-10,29.010,
2007-11,28.337,
2007-12,25.678,
2008-01,26.318,
2008-02,27.041,
2008-03,26.720,
2008-04,28.784,
2008-05,28.779,
2008-06,27.850,
2008-07,27.567,
2008-08,28.847,
2008-09,29.495,
2008-10,30.411,
2008-11,30.236,
2008-12,27.568,
2009-01,28.536,
2009-02,28.803,
2009-03,26.206,
2009-04,27.945,
2009-05,27.785,
2009-06,28.172,
2009-07,29.971,
2009-08,29.328,
2009-09,29.661,
2009-10,29.812,
2009-11,29.593,
2009-12,29.137,
2010-01,25.406,
2010-02,25.694,
2010-03,27.133,
2010-04,27.467,
2010-05,28.739,
2010-06,31.898,
2010-07,30.995,
2010-08,30.581,
2010-09,29.638,
2010-10,28.696,
2010-11,28.840,
2010-12,28.928,
2011-01,28.163,
2011-02,27.949,
2011-03,27.397,
2011-04,28.655,
2011-05,28.538,
2011-06,28.923,
2011-07,29.328,
2011-08,29.660,
2011-09,30.230,
2011-10,29.451,
2011-11,28.884,
2011-12,29.237,
2012-01,29.443,
2012-02,29.445,
2012-03,30.965,
2012-04,32.546,
2012-05,32.211,
2012-06,32.578,
2012-07,33.056,
2012-08,33.064,
2012-09,31.890,
2012-10,31.804,
2012-11,31.760,
2012-12,38.158,
2013-01,38.668,
2013-02,38.564,
2013-03,39.176,
2013-04,41.019,
2013-05,41.075,
2013-06,41.042,
2013-07,34.202,
2013-08,34.183,
2013-09,31.771,
2013-10,34.153,
2013-11,34.519,
2013-12,31.981,
2014-01,41.549,
2014-02,42.032,
2014-03,41.205,
2014-04,41.460,
2014-05,42.661,
2014-06,42.724,
2014-07,42.814,
2014-08,43.206,
2014-09,43.646,
2014-10,44.573,
2014-11,44.109,
2014-12,45.337,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
