"",BBDA1.M.DE.N.IM.S.A.R1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.R1.A.V.ABA.A_FLAGS
2001-12,2108039,
2002-01,2098445,
2002-02,2011495,
2002-03,2202126,
2002-04,2288138,
2002-05,1964521,
2002-06,2573151,
2002-07,2343473,
2002-08,2048386,
2002-09,2261601,
2002-10,2380767,
2002-11,2257039,
2002-12,2075474,
2003-01,1987844,
2003-02,2101341,
2003-03,2339088,
2003-04,2210006,
2003-05,2417077,
2003-06,2109356,
2003-07,2230596,
2003-08,1928296,
2003-09,2169705,
2003-10,2217642,
2003-11,2376902,
2003-12,2043741,
2004-01,2012358,
2004-02,2088826,
2004-03,2461358,
2004-04,2268133,
2004-05,2337777,
2004-06,2454388,
2004-07,2403477,
2004-08,2447613,
2004-09,2520988,
2004-10,2689206,
2004-11,2692360,
2004-12,2441891,
2005-01,2250865,
2005-02,2519616,
2005-03,2577283,
2005-04,2720161,
2005-05,2756618,
2005-06,2651133,
2005-07,2533348,
2005-08,2532961,
2005-09,2759636,
2005-10,2751623,
2005-11,2792962,
2005-12,2580054,
2006-01,2600085,
2006-02,2663836,
2006-03,2999500,
2006-04,2854654,
2006-05,3040353,
2006-06,3137461,
2006-07,3074838,
2006-08,2831738,
2006-09,3333476,
2006-10,3335193,
2006-11,3430413,
2006-12,2961586,
2007-01,3093026,
2007-02,3119177,
2007-03,3213187,
2007-04,3213451,
2007-05,3455976,
2007-06,3399020,
2007-07,3151041,
2007-08,3374470,
2007-09,3282603,
2007-10,3671529,
2007-11,3377697,
2007-12,3103954,
2008-01,3213131,
2008-02,3153743,
2008-03,3326316,
2008-04,3503869,
2008-05,3468716,
2008-06,3593553,
2008-07,3679929,
2008-08,3405684,
2008-09,3605648,
2008-10,3478202,
2008-11,2838051,
2008-12,2692267,
2009-01,2322855,
2009-02,2533120,
2009-03,2752803,
2009-04,2458559,
2009-05,2355510,
2009-06,2618561,
2009-07,2568699,
2009-08,2433459,
2009-09,2738767,
2009-10,2798802,
2009-11,2625121,
2009-12,2487450,
2010-01,2464790,
2010-02,2581432,
2010-03,3134183,
2010-04,2776980,
2010-05,2978063,
2010-06,3235414,
2010-07,3044566,
2010-08,2953271,
2010-09,3347792,
2010-10,3307902,
2010-11,3175237,
2010-12,3026441,
2011-01,3130054,
2011-02,3252036,
2011-03,3731812,
2011-04,3452076,
2011-05,3527017,
2011-06,3602931,
2011-07,3342904,
2011-08,3418219,
2011-09,3629212,
2011-10,3549546,
2011-11,3513914,
2011-12,3152253,
2012-01,3117114,
2012-02,3466187,
2012-03,3810088,
2012-04,3280394,
2012-05,3287614,
2012-06,3592113,
2012-07,3438471,
2012-08,3211449,
2012-09,3360160,
2012-10,3622101,
2012-11,3411747,
2012-12,2930676,
2013-01,3328420,
2013-02,3395021,
2013-03,3535395,
2013-04,3526730,
2013-05,3492677,
2013-06,3665663,
2013-07,3489611,
2013-08,3301901,
2013-09,3560100,
2013-10,3922146,
2013-11,3636170,
2013-12,3179048,
2014-01,3370531,
2014-02,3539970,
2014-03,3651867,
2014-04,3667756,
2014-05,3512318,
2014-06,3723457,
2014-07,3612030,
2014-08,3456427,
2014-09,3893052,
2014-10,3900156,
2014-11,3744783,
2014-12,3049235,
