"",BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.L,BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.L_FLAGS
1963-02,2.05,
1963-03,2.58,
1963-04,2.49,
1963-05,2.68,
1963-06,2.25,
1963-07,2.56,
1963-08,2.43,
1963-09,2.50,
1963-10,2.81,
1963-11,2.71,
1963-12,2.79,
1964-01,2.54,
1964-02,2.64,
1964-03,2.79,
1964-04,2.91,
1964-05,2.62,
1964-06,2.76,
1964-07,2.80,
1964-08,2.40,
1964-09,2.72,
1964-10,3.04,
1964-11,2.84,
1964-12,3.14,
1965-01,2.79,
1965-02,2.77,
1965-03,3.33,
1965-04,2.86,
1965-05,3.16,
1965-06,2.88,
1965-07,3.14,
1965-08,2.65,
1965-09,3.03,
1965-10,3.24,
1965-11,3.19,
1965-12,3.61,
1966-01,3.05,
1966-02,3.05,
1966-03,3.59,
1966-04,3.19,
1966-05,3.48,
1966-06,3.36,
1966-07,3.49,
1966-08,3.14,
1966-09,3.53,
1966-10,3.70,
1966-11,3.52,
1966-12,4.12,
1967-01,3.58,
1967-02,3.33,
1967-03,3.71,
1967-04,3.82,
1967-05,3.53,
1967-06,3.85,
1967-07,3.53,
1967-08,3.38,
1967-09,3.66,
1967-10,4.06,
1967-11,3.90,
1967-12,4.14,
1968-01,3.82,
1968-02,3.81,
1968-03,4.30,
1968-04,3.94,
1968-05,4.12,
1968-06,3.62,
1968-07,4.47,
1968-08,3.94,
1968-09,4.21,
1968-10,4.89,
1968-11,4.72,
1968-12,5.07,
1969-01,4.03,
1969-02,4.04,
1969-03,5.02,
1969-04,4.92,
1969-05,4.87,
1969-06,4.78,
1969-07,5.24,
1969-08,4.34,
1969-09,5.03,
1969-10,5.61,
1969-11,4.91,
1969-12,5.28,
1970-01,4.47,
1970-02,4.81,
1970-03,5.40,
1970-04,5.51,
1970-05,4.97,
1970-06,5.47,
1970-07,5.76,
1970-08,4.61,
1970-09,5.40,
1970-10,5.91,
1970-11,5.32,
1970-12,6.43,
1971-01,4.87,
1971-02,5.48,
1971-03,6.60,
1971-04,5.79,
1971-05,5.59,
1971-06,5.87,
1971-07,6.04,
1971-08,5.28,
1971-09,5.99,
1971-10,6.04,
1971-11,5.65,
1971-12,6.35,
1972-01,5.31,
1972-02,6.08,
1972-03,6.61,
1972-04,5.98,
1972-05,6.39,
1972-06,6.36,
1972-07,5.95,
1972-08,5.82,
1972-09,6.19,
1972-10,7.38,
1972-11,6.84,
1972-12,7.28,
1973-01,6.81,
1973-02,7.03,
1973-03,7.51,
1973-04,7.25,
1973-05,8.08,
1973-06,6.97,
1973-07,7.42,
1973-08,7.17,
1973-09,7.62,
1973-10,9.16,
1973-11,8.49,
1973-12,7.70,
1974-01,8.96,
1974-02,8.92,
1974-03,10.09,
1974-04,9.90,
1974-05,10.72,
1974-06,8.62,
1974-07,10.44,
1974-08,9.32,
1974-09,9.63,
1974-10,10.95,
1974-11,10.05,
1974-12,10.31,
1975-01,8.90,
1975-02,9.08,
1975-03,8.97,
1975-04,10.07,
1975-05,8.95,
1975-06,9.48,
1975-07,9.75,
1975-08,7.91,
1975-09,9.46,
1975-10,10.48,
1975-11,9.76,
1975-12,10.52,
1976-01,9.45,
1976-02,9.80,
1976-03,11.73,
1976-04,10.71,
1976-05,10.92,
1976-06,10.55,
1976-07,10.93,
1976-08,9.85,
1976-09,11.81,
1976-10,11.70,
1976-11,11.36,
1976-12,12.42,
1977-01,10.12,
1977-02,10.73,
1977-03,13.21,
1977-04,11.21,
1977-05,11.64,
1977-06,11.93,
1977-07,10.82,
1977-08,10.71,
1977-09,11.87,
1977-10,12.64,
1977-11,12.01,
1977-12,13.01,
1978-01,10.99,
1978-02,11.01,
1978-03,12.58,
1978-04,12.23,
1978-05,11.49,
1978-06,13.10,
1978-07,10.94,
1978-08,11.22,
1978-09,12.69,
1978-10,13.64,
1978-11,12.98,
1978-12,12.79,
1979-01,11.74,
1979-02,11.87,
1979-03,14.37,
1979-04,13.23,
1979-05,13.80,
1979-06,13.19,
1979-07,13.55,
1979-08,12.63,
1979-09,12.86,
1979-10,15.31,
1979-11,14.67,
1979-12,13.56,
1980-01,14.29,
1980-02,15.11,
1980-03,15.99,
1980-04,15.41,
1980-05,14.78,
1980-06,14.57,
1980-07,14.97,
1980-08,12.37,
1980-09,15.05,
1980-10,16.37,
1980-11,14.73,
1980-12,15.48,
1981-01,13.94,
1981-02,15.42,
1981-03,17.26,
1981-04,17.15,
1981-05,15.97,
1981-06,16.55,
1981-07,18.53,
1981-08,14.39,
1981-09,17.59,
1981-10,19.30,
1981-11,18.47,
1981-12,18.38,
1982-01,16.07,
1982-02,17.61,
1982-03,21.34,
1982-04,18.66,
1982-05,18.19,
1982-06,18.51,
1982-07,17.64,
1982-08,15.70,
1982-09,18.48,
1982-10,18.34,
1982-11,18.73,
1982-12,19.43,
1983-01,16.54,
1983-02,16.95,
1983-03,20.49,
1983-04,17.30,
1983-05,18.15,
1983-06,18.81,
1983-07,16.96,
1983-08,16.58,
1983-09,19.33,
1983-10,19.21,
1983-11,19.82,
1983-12,20.88,
1984-01,18.73,
1984-02,21.03,
1984-03,21.65,
1984-04,19.53,
1984-05,21.21,
1984-06,18.10,
1984-07,20.17,
1984-08,19.40,
1984-09,20.74,
1984-10,24.47,
1984-11,23.00,
1984-12,21.58,
1985-01,21.53,
1985-02,21.91,
1985-03,24.99,
1985-04,23.01,
1985-05,24.01,
1985-06,21.54,
1985-07,24.49,
1985-08,19.93,
1985-09,22.45,
1985-10,25.18,
1985-11,22.60,
1985-12,23.02,
1986-01,22.40,
1986-02,21.86,
1986-03,22.36,
1986-04,25.55,
1986-05,20.77,
1986-06,22.70,
1986-07,23.22,
1986-08,18.46,
1986-09,22.71,
1986-10,24.66,
1986-11,21.59,
1986-12,22.83,
1987-01,19.22,
1987-02,21.76,
1987-03,24.05,
1987-04,22.71,
1987-05,22.14,
1987-06,21.53,
1987-07,23.27,
1987-08,18.46,
1987-09,23.41,
1987-10,24.94,
1987-11,23.37,
1987-12,24.79,
1988-01,18.54,
1988-02,21.41,
1988-03,25.57,
1988-04,22.15,
1988-05,24.32,
1988-06,25.72,
1988-07,24.08,
1988-08,22.62,
1988-09,24.30,
1988-10,27.19,
1988-11,26.17,
1988-12,28.17,
1989-01,25.78,
1989-02,25.74,
1989-03,28.20,
1989-04,27.33,
1989-05,26.08,
1989-06,31.08,
1989-07,26.40,
1989-08,25.44,
1989-09,27.07,
1989-10,29.45,
1989-11,28.15,
1989-12,27.04,
1990-01,28.60,
1990-02,26.64,
1990-03,31.17,
1990-04,26.83,
1990-05,28.51,
1990-06,25.84,
1990-07,28.91,
1990-08,26.54,
1990-09,26.93,
1990-10,31.96,
1990-11,29.84,
1990-12,26.72,
1991-01,29.16,
1991-02,26.87,
1991-03,28.73,
1991-04,27.63,
1991-05,27.89,
1991-06,27.40,
1991-07,30.04,
1991-08,26.42,
1991-09,27.18,
1991-10,30.97,
1991-11,29.73,
1991-12,28.42,
1992-01,27.91,
1992-02,28.14,
1992-03,32.22,
1992-04,30.93,
1992-05,26.67,
1992-06,26.36,
1992-07,30.60,
1992-08,24.92,
1992-09,28.49,
1992-10,31.33,
1992-11,27.42,
1992-12,28.21,
1993-01,23.40,
1993-02,27.43,
1993-03,28.73,
1993-04,26.73,
1993-05,25.84,
1993-06,27.60,
1993-07,25.95,
1993-08,24.34,
1993-09,26.93,
1993-10,28.46,
1993-11,28.24,
1993-12,29.58,
1994-01,25.59,
1994-02,26.89,
1994-03,31.41,
1994-04,28.57,
1994-05,30.28,
1994-06,31.82,
1994-07,27.81,
1994-08,28.50,
1994-09,29.98,
1994-10,30.53,
1994-11,31.25,
1994-12,32.56,
1995-01,29.89,
1995-02,30.48,
1995-03,34.09,
1995-04,30.21,
1995-05,32.85,
1995-06,33.48,
1995-07,30.26,
1995-08,29.08,
1995-09,32.64,
1995-10,33.58,
1995-11,34.24,
1995-12,32.43,
1996-01,31.87,
1996-02,32.31,
1996-03,33.51,
1996-04,33.52,
1996-05,33.15,
1996-06,32.41,
1996-07,35.60,
1996-08,30.03,
1996-09,32.95,
1996-10,38.19,
1996-11,36.07,
1996-12,33.76,
1997-01,33.06,
1997-02,34.80,
1997-03,36.12,
1997-04,37.69,
1997-05,36.20,
1997-06,39.69,
1997-07,40.35,
1997-08,33.82,
1997-09,40.46,
1997-10,41.88,
1997-11,40.55,
1997-12,39.73,
1998-01,37.77,
1998-02,39.46,
1998-03,42.78,
1998-04,42.89,
1998-05,39.69,
1998-06,42.38,
1998-07,43.80,
1998-08,35.62,
1998-09,39.58,
1998-10,43.14,
1998-11,42.35,
1998-12,38.91,
1999-01,35.86,
1999-02,39.28,
1999-03,43.75,
1999-04,41.79,
1999-05,39.93,
1999-06,44.80,
1999-07,44.47,
1999-08,38.75,
1999-09,42.95,
1999-10,44.68,
1999-11,49.06,
1999-12,44.68,
2000-01,42.04,
2000-02,46.44,
2000-03,52.16,
2000-04,45.26,
2000-05,52.19,
2000-06,49.61,
2000-07,49.80,
2000-08,47.22,
2000-09,48.99,
2000-10,56.82,
2000-11,56.86,
2000-12,50.05,
2001-01,51.88,
2001-02,52.09,
2001-03,56.13,
2001-04,52.86,
2001-05,54.66,
2001-06,53.69,
2001-07,55.37,
2001-08,51.63,
2001-09,49.64,
2001-10,57.25,
2001-11,54.87,
2001-12,48.22,
2002-01,50.33,
2002-02,51.82,
2002-03,54.56,
2002-04,56.03,
2002-05,50.48,
2002-06,56.66,
2002-07,55.85,
2002-08,51.75,
2002-09,55.19,
2002-10,58.90,
2002-11,58.89,
2002-12,50.85,
2003-01,53.56,
2003-02,53.98,
2003-03,55.98,
2003-04,53.88,
2003-05,54.49,
2003-06,54.28,
2003-07,57.98,
2003-08,49.87,
2003-09,58.47,
2003-10,58.41,
2003-11,58.86,
2003-12,54.71,
2004-01,55.48,
2004-02,56.53,
2004-03,64.80,
2004-04,61.60,
2004-05,60.51,
2004-06,62.67,
2004-07,62.20,
2004-08,55.95,
2004-09,61.57,
2004-10,64.05,
2004-11,66.47,
2004-12,59.72,
2005-01,60.55,
2005-02,59.76,
2005-03,65.22,
2005-04,64.54,
2005-05,63.60,
2005-06,68.72,
2005-07,64.51,
2005-08,63.26,
2005-09,69.40,
2005-10,68.59,
2005-11,71.52,
2005-12,66.60,
2006-01,68.27,
2006-02,69.97,
2006-03,76.67,
2006-04,69.57,
2006-05,72.30,
2006-06,73.13,
2006-07,72.73,
2006-08,69.09,
2006-09,79.17,
2006-10,83.66,
2006-11,85.06,
2006-12,73.42,
2007-01,77.08,
2007-02,77.30,
2007-03,83.51,
2007-04,78.45,
2007-05,78.57,
2007-06,81.49,
2007-07,81.09,
2007-08,77.40,
2007-09,81.48,
2007-10,88.48,
2007-11,87.38,
2007-12,73.00,
2008-01,83.32,
2008-02,83.52,
2008-03,82.75,
2008-04,88.75,
2008-05,79.73,
2008-06,87.36,
2008-07,86.07,
2008-08,74.86,
2008-09,86.27,
2008-10,88.70,
2008-11,76.09,
2008-12,66.71,
2009-01,63.56,
2009-02,63.79,
2009-03,70.16,
2009-04,64.40,
2009-05,60.65,
2009-06,66.90,
2009-07,70.58,
2009-08,60.09,
2009-09,70.91,
2009-10,72.46,
2009-11,72.29,
2009-12,67.51,
2010-01,63.36,
2010-02,69.99,
2010-03,85.58,
2010-04,75.18,
2010-05,76.19,
2010-06,85.31,
2010-07,81.35,
2010-08,74.39,
2010-09,85.97,
2010-10,86.00,
2010-11,87.62,
2010-12,81.01,
2011-01,79.31,
2011-02,84.54,
2011-03,98.67,
2011-04,84.51,
2011-05,92.35,
2011-06,88.08,
2011-07,85.57,
2011-08,85.26,
2011-09,94.96,
2011-10,89.05,
2011-11,94.10,
2011-12,84.81,
2012-01,86.12,
2012-02,91.23,
2012-03,98.73,
2012-04,87.23,
2012-05,92.66,
2012-06,94.26,
2012-07,93.33,
2012-08,90.15,
2012-09,91.36,
2012-10,98.43,
2012-11,93.68,
2012-12,78.58,
2013-01,88.51,
2013-02,88.31,
2013-03,94.34,
2013-04,93.91,
2013-05,88.15,
2013-06,92.23,
2013-07,92.99,
2013-08,84.84,
2013-09,94.42,
2013-10,99.00,
2013-11,94.47,
2013-12,81.94,
2014-01,90.47,
2014-02,92.13,
2014-03,95.66,
2014-04,93.43,
2014-05,91.67,
2014-06,93.20,
2014-07,100.81,
2014-08,83.89,
2014-09,102.29,
2014-10,103.92,
2014-11,95.97,
2014-12,90.10,
