"",BBDA1.M.DE.N.IM.S.A.AT.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.AT.A.V.ABA.A_FLAGS
2013-12,2880058,
2014-01,2850008,
2014-02,2995973,
2014-03,3168397,
2014-04,3065572,
2014-05,3075518,
2014-06,2998982,
2014-07,3298657,
2014-08,2594415,
2014-09,3247110,
2014-10,3278092,
2014-11,3041572,
2014-12,2817976,
