"",BBFB1.M.N.DE.W1.S1.S1.T.D.SF._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SF._Z._Z._Z._T._X.N_FLAGS
2000-08,83.263,
2000-09,82.887,
2000-10,87.705,
2000-11,88.760,
2000-12,87.368,
2001-01,92.443,
2001-02,90.311,
2001-03,90.826,
2001-04,97.487,
2001-05,98.303,
2001-06,97.981,
2001-07,107.486,
2001-08,107.149,
2001-09,105.645,
2001-10,119.688,
2001-11,117.408,
2001-12,115.258,
2002-01,124.243,
2002-02,125.169,
2002-03,124.328,
2002-04,134.955,
2002-05,131.090,
2002-06,131.846,
2002-07,137.245,
2002-08,136.840,
2002-09,139.125,
2002-10,144.988,
2002-11,143.555,
2002-12,144.761,
2003-01,148.742,
2003-02,149.006,
2003-03,153.536,
2003-04,152.975,
2003-05,154.068,
2003-06,154.952,
2003-07,161.410,
2003-08,160.578,
2003-09,164.728,
2003-10,179.795,
2003-11,178.097,
2003-12,184.728,
2004-01,194.755,
2004-02,199.707,
2004-03,198.740,
2004-04,206.618,
2004-05,206.744,
2004-06,212.289,
2004-07,219.772,
2004-08,214.634,
2004-09,216.049,
2004-10,217.993,
2004-11,223.720,
2004-12,237.725,
2005-01,228.307,
2005-02,213.639,
2005-03,211.176,
2005-04,210.908,
2005-05,218.914,
2005-06,211.473,
2005-07,222.787,
2005-08,207.901,
2005-09,215.419,
2005-10,209.223,
2005-11,222.521,
2005-12,237.576,
2006-01,213.863,
2006-02,213.862,
2006-03,218.808,
2006-04,222.331,
2006-05,223.399,
2006-06,222.092,
2006-07,226.145,
2006-08,225.514,
2006-09,231.637,
2006-10,241.342,
2006-11,245.886,
2006-12,254.939,
2007-01,264.026,
2007-02,261.202,
2007-03,261.982,
2007-04,268.059,
2007-05,270.131,
2007-06,265.611,
2007-07,265.256,
2007-08,267.541,
2007-09,263.544,
2007-10,265.833,
2007-11,265.694,
2007-12,273.186,
2008-01,250.544,
2008-02,247.466,
2008-03,252.689,
2008-04,247.448,
2008-05,245.571,
2008-06,246.440,
2008-07,249.221,
2008-08,241.708,
2008-09,244.337,
2008-10,251.625,
2008-11,253.330,
2008-12,249.809,
2009-01,265.559,
2009-02,260.191,
2009-03,259.590,
2009-04,260.288,
2009-05,267.245,
2009-06,261.700,
2009-07,257.656,
2009-08,259.723,
2009-09,258.769,
2009-10,246.475,
2009-11,247.737,
2009-12,247.720,
2010-01,224.049,
2010-02,222.965,
2010-03,232.654,
2010-04,205.609,
2010-05,209.360,
2010-06,212.345,
2010-07,201.767,
2010-08,196.224,
2010-09,197.681,
2010-10,187.212,
2010-11,198.983,
2010-12,193.542,
2011-01,182.038,
2011-02,195.776,
2011-03,189.538,
2011-04,179.884,
2011-05,189.541,
2011-06,184.005,
2011-07,182.277,
2011-08,183.865,
2011-09,192.553,
2011-10,186.378,
2011-11,209.275,
2011-12,190.018,
2012-01,186.706,
2012-02,186.326,
2012-03,188.158,
2012-04,180.749,
2012-05,186.156,
2012-06,186.049,
2012-07,191.944,
2012-08,189.717,
2012-09,185.599,
2012-10,193.131,
2012-11,192.682,
2012-12,184.422,
2013-01,200.220,
2013-02,192.320,
2013-03,194.103,
2013-04,196.757,
2013-05,193.922,
2013-06,194.970,
2013-07,206.986,
2013-08,200.836,
2013-09,198.826,
2013-10,207.241,
2013-11,199.083,
2013-12,198.095,
2014-01,587.203,
2014-02,614.449,Provisional value
2014-03,760.650,Provisional value
2014-04,517.020,Provisional value
2014-05,442.827,Provisional value
2014-06,1045.911,Provisional value
2014-07,550.791,Provisional value
2014-08,470.057,Provisional value
2014-09,623.703,
2014-10,728.756,
2014-11,558.723,
2014-12,846.095,Provisional value
