"",BBFN1.M.DE.N.1.L.BE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1997-06,2.188,
1997-07,2.274,
1997-08,2.244,
1997-09,2.273,
1997-10,2.269,
1997-11,2.308,
1997-12,2.637,
1998-01,2.644,
1998-02,2.765,
1998-03,2.766,
1998-04,2.785,
1998-05,2.886,
1998-06,2.648,
1998-07,2.796,
1998-08,3.308,
1998-09,3.378,
1998-10,3.427,
1998-11,3.438,
1998-12,3.495,
1999-01,3.737,
1999-02,3.781,
1999-03,3.665,
1999-04,3.650,
1999-05,3.836,
1999-06,3.838,
1999-07,3.912,
1999-08,4.344,
1999-09,4.387,
1999-10,4.513,
1999-11,4.375,
1999-12,4.689,
2000-01,5.156,
2000-02,4.558,
2000-03,4.478,
2000-04,4.661,
2000-05,4.685,
2000-06,4.645,
2000-07,4.802,
2000-08,4.818,
2000-09,4.886,
2000-10,4.886,
2000-11,4.869,
2000-12,4.577,
2001-01,4.497,
2001-02,4.408,
2001-03,4.256,
2001-04,4.153,
2001-05,7.050,
2001-06,6.979,
2001-07,6.905,
2001-08,7.016,
2001-09,6.900,
2001-10,6.906,
2001-11,6.687,
2001-12,6.418,
2002-01,7.347,
2002-02,6.855,
2002-03,6.972,
2002-04,6.934,
2002-05,6.942,
2002-06,6.809,
2002-07,6.826,
2002-08,6.824,
2002-09,6.818,
2002-10,6.675,
2002-11,6.680,
2002-12,10.218,
2003-01,10.164,
2003-02,10.150,
2003-03,10.640,
2003-04,10.770,
2003-05,10.713,
2003-06,10.924,
2003-07,10.945,
2003-08,10.936,
2003-09,12.782,
2003-10,12.770,
2003-11,12.854,
2003-12,8.462,
2004-01,6.751,
2004-02,6.762,
2004-03,6.942,
2004-04,7.288,
2004-05,7.042,
2004-06,7.808,
2004-07,7.596,
2004-08,7.559,
2004-09,7.723,
2004-10,7.607,
2004-11,6.628,
2004-12,5.635,
2005-01,5.757,
2005-02,6.007,
2005-03,5.928,
2005-04,6.173,
2005-05,6.110,
2005-06,6.128,
2005-07,6.037,
2005-08,5.929,
2005-09,5.793,
2005-10,5.668,
2005-11,4.787,
2005-12,4.713,
2006-01,7.610,
2006-02,7.605,
2006-03,7.633,
2006-04,8.350,
2006-05,8.259,
2006-06,8.919,
2006-07,10.780,
2006-08,10.877,
2006-09,10.908,
2006-10,10.939,
2006-11,10.884,
2006-12,10.943,
2007-01,10.755,
2007-02,11.050,
2007-03,10.902,
2007-04,10.843,
2007-05,10.994,
2007-06,11.011,
2007-07,11.035,
2007-08,11.262,
2007-09,10.553,
2007-10,10.422,
2007-11,10.517,
2007-12,10.601,
2008-01,11.463,
2008-02,12.317,
2008-03,12.478,
2008-04,12.516,
2008-05,12.440,
2008-06,12.506,
2008-07,12.355,
2008-08,12.520,
2008-09,12.562,
2008-10,12.576,
2008-11,17.043,
2008-12,18.723,
2009-01,18.915,
2009-02,19.056,
2009-03,18.971,
2009-04,18.906,
2009-05,18.930,
2009-06,18.367,
2009-07,18.629,
2009-08,18.516,
2009-09,18.566,
2009-10,18.568,
2009-11,18.563,
2009-12,19.839,
2010-01,21.518,
2010-02,21.536,
2010-03,21.504,
2010-04,21.601,
2010-05,22.046,
2010-06,22.092,
2010-07,21.765,
2010-08,22.131,
2010-09,22.211,
2010-10,22.196,
2010-11,22.487,
2010-12,27.670,
2011-01,27.729,
2011-02,28.055,
2011-03,29.086,
2011-04,29.251,
2011-05,31.794,
2011-06,31.508,
2011-07,31.444,
2011-08,31.654,
2011-09,31.754,
2011-10,32.396,
2011-11,27.440,
2011-12,27.052,
2012-01,27.081,
2012-02,28.285,
2012-03,28.314,
2012-04,28.305,
2012-05,28.344,
2012-06,26.690,
2012-07,25.540,
2012-08,28.471,
2012-09,28.439,
2012-10,28.919,
2012-11,28.548,
2012-12,28.735,
2013-01,30.529,
2013-02,35.622,
2013-03,35.799,
2013-04,38.287,
2013-05,38.562,
2013-06,38.934,
2013-07,37.881,
2013-08,38.059,
2013-09,39.357,
2013-10,39.963,
2013-11,39.825,
2013-12,40.830,
2014-01,41.758,
2014-02,41.863,
2014-03,41.467,
2014-04,40.802,
2014-05,41.034,
2014-06,41.208,
2014-07,40.907,
2014-08,40.878,
2014-09,41.048,
2014-10,40.625,
2014-11,40.797,
2014-12,40.184,
