"",BBDA1.M.DE.N.IM.S.A.DK.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.DK.A.V.ABA.A_FLAGS
1999-02,568084,
1999-03,600691,
1999-04,628289,
1999-05,637911,
1999-06,631512,
1999-07,548526,
1999-08,626457,
1999-09,592960,
1999-10,696324,
1999-11,719302,
1999-12,635660,
2000-01,759917,
2000-02,681977,
2000-03,618732,
2000-04,642361,
2000-05,743580,
2000-06,709480,
2000-07,632360,
2000-08,711527,
2000-09,747073,
2000-10,903496,
2000-11,901907,
2000-12,827658,
2001-01,822830,
2001-02,660061,
2001-03,745186,
2001-04,738415,
2001-05,678956,
2001-06,709686,
2001-07,815187,
2001-08,736435,
2001-09,763152,
2001-10,896674,
2001-11,763352,
2001-12,766422,
2002-01,725600,
2002-02,726167,
2002-03,668465,
2002-04,782847,
2002-05,681884,
2002-06,730763,
2002-07,639292,
2002-08,742569,
2002-09,784277,
2002-10,869355,
2002-11,939040,
2002-12,973302,
2003-01,938354,
2003-02,797741,
2003-03,806433,
2003-04,772450,
2003-05,694440,
2003-06,784546,
2003-07,639459,
2003-08,776768,
2003-09,779742,
2003-10,900451,
2003-11,832303,
2003-12,763197,
2004-01,691599,
2004-02,815513,
2004-03,917868,
2004-04,677151,
2004-05,694427,
2004-06,882585,
2004-07,731880,
2004-08,788517,
2004-09,835108,
2004-10,951038,
2004-11,914118,
2004-12,769634,
2005-01,780008,
2005-02,701023,
2005-03,888910,
2005-04,817841,
2005-05,946070,
2005-06,811925,
2005-07,852449,
2005-08,824981,
2005-09,830416,
2005-10,896938,
2005-11,898468,
2005-12,878589,
2006-01,1012090,
2006-02,854424,
2006-03,865071,
2006-04,755210,
2006-05,845396,
2006-06,817228,
2006-07,958492,
2006-08,780239,
2006-09,874066,
2006-10,942875,
2006-11,911428,
2006-12,977480,
2007-01,1004591,
2007-02,831620,
2007-03,913331,
2007-04,955972,
2007-05,849757,
2007-06,970819,
2007-07,902202,
2007-08,929335,
2007-09,929042,
2007-10,957611,
2007-11,857164,
2007-12,877424,
2008-01,917326,
2008-02,1006514,
2008-03,1014118,
2008-04,991582,
2008-05,969250,
2008-06,939301,
2008-07,1178139,
2008-08,887290,
2008-09,1001946,
2008-10,1009229,
2008-11,1021609,
2008-12,971081,
2009-01,880499,
2009-02,864457,
2009-03,869638,
2009-04,783763,
2009-05,785899,
2009-06,746096,
2009-07,915784,
2009-08,783927,
2009-09,891791,
2009-10,1024705,
2009-11,864760,
2009-12,1175637,
2010-01,754801,
2010-02,713509,
2010-03,970011,
2010-04,789211,
2010-05,887531,
2010-06,900097,
2010-07,885895,
2010-08,887151,
2010-09,928604,
2010-10,1002621,
2010-11,838062,
2010-12,1072195,
2011-01,861757,
2011-02,946473,
2011-03,975231,
2011-04,896501,
2011-05,1101911,
2011-06,1057469,
2011-07,913338,
2011-08,978451,
2011-09,986412,
2011-10,1087238,
2011-11,1197083,
2011-12,1176196,
2012-01,856900,
2012-02,1017647,
2012-03,1008830,
2012-04,868406,
2012-05,970707,
2012-06,953999,
2012-07,901125,
2012-08,969452,
2012-09,934559,
2012-10,1077553,
2012-11,970661,
2012-12,816392,
2013-01,880558,
2013-02,999144,
2013-03,902407,
2013-04,859616,
2013-05,980839,
2013-06,952068,
2013-07,917382,
2013-08,1011540,
2013-09,1027567,
2013-10,1085423,
2013-11,1063706,
2013-12,900395,
2014-01,1072037,
2014-02,999659,
2014-03,974546,
2014-04,994532,
2014-05,900086,
2014-06,998674,
2014-07,1004200,
2014-08,856231,
2014-09,1010367,
2014-10,1066542,
2014-11,977545,
2014-12,884770,
