"",BBFN1.M.DE.N.1.A.SG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2006-01,0.183,
2006-02,0.182,
2006-03,0.181,
2006-04,0.181,
2006-05,0.181,
2006-06,0.174,
2006-07,0.174,
2006-08,0.171,
2006-09,0.167,
2006-10,0.166,
2006-11,0.173,
2006-12,0.046,
2007-01,0.111,
2007-02,0.116,
2007-03,0.119,
2007-04,0.122,
2007-05,0.256,
2007-06,0.253,
2007-07,0.255,
2007-08,0.262,
2007-09,0.259,
2007-10,0.259,
2007-11,0.257,
2007-12,0.257,
2008-01,0.374,
2008-02,0.373,
2008-03,0.396,
2008-04,0.391,
2008-05,0.391,
2008-06,0.386,
2008-07,0.390,
2008-08,0.397,
2008-09,0.403,
2008-10,0.417,
2008-11,0.477,
2008-12,0.422,
2009-01,0.510,
2009-02,0.502,
2009-03,0.535,
2009-04,0.544,
2009-05,0.531,
2009-06,0.528,
2009-07,0.538,
2009-08,0.581,
2009-09,0.624,
2009-10,0.616,
2009-11,0.620,
2009-12,0.609,
2010-01,0.628,
2010-02,0.637,
2010-03,0.643,
2010-04,0.664,
2010-05,0.706,
2010-06,0.714,
2010-07,0.732,
2010-08,0.754,
2010-09,0.815,
2010-10,0.975,
2010-11,1.001,
2010-12,1.169,
2011-01,1.058,
2011-02,0.954,
2011-03,0.970,
2011-04,0.956,
2011-05,1.001,
2011-06,1.018,
2011-07,1.099,
2011-08,1.118,
2011-09,1.114,
2011-10,1.112,
2011-11,1.128,
2011-12,1.135,
2012-01,1.148,
2012-02,1.136,
2012-03,1.137,
2012-04,1.159,
2012-05,1.132,
2012-06,1.129,
2012-07,1.167,
2012-08,1.137,
2012-09,1.071,
2012-10,1.055,
2012-11,1.076,
2012-12,1.050,
2013-01,1.006,
2013-02,1.062,
2013-03,1.108,
2013-04,1.101,
2013-05,1.079,
2013-06,1.015,
2013-07,0.994,
2013-08,0.958,
2013-09,0.962,
2013-10,0.980,
2013-11,0.966,
2013-12,0.947,
2014-01,1.101,
2014-02,1.055,
2014-03,0.961,
2014-04,0.970,
2014-05,0.984,
2014-06,0.994,
2014-07,1.012,
2014-08,1.015,
2014-09,1.038,
2014-10,1.038,
2014-11,1.081,
2014-12,1.087,
