"",BBFN1.M.DE.N.1.A.FR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1990-01,3.888,
1990-02,4.259,
1990-03,4.208,
1990-04,3.291,
1990-05,3.375,
1990-06,3.293,
1990-07,3.639,
1990-08,3.950,
1990-09,3.748,
1990-10,4.143,
1990-11,4.272,
1990-12,4.052,
1991-01,4.103,
1991-02,4.166,
1991-03,4.559,
1991-04,5.299,
1991-05,5.109,
1991-06,4.832,
1991-07,4.568,
1991-08,4.644,
1991-09,4.431,
1991-10,5.737,
1991-11,5.687,
1991-12,5.428,
1992-01,5.902,
1992-02,6.816,
1992-03,6.396,
1992-04,6.440,
1992-05,6.113,
1992-06,5.989,
1992-07,5.989,
1992-08,5.915,
1992-09,5.261,
1992-10,5.763,
1992-11,6.193,
1992-12,6.003,
1993-01,6.039,
1993-02,6.577,
1993-03,7.521,
1993-04,7.146,
1993-05,7.252,
1993-06,7.042,
1993-07,7.152,
1993-08,6.574,
1993-09,6.836,
1993-10,8.029,
1993-11,8.095,
1993-12,8.050,
1994-01,7.414,
1994-02,7.360,
1994-03,7.956,
1994-04,7.793,
1994-05,7.959,
1994-06,7.465,
1994-07,7.354,
1994-08,7.355,
1994-09,6.672,
1994-10,6.517,
1994-11,6.740,
1994-12,6.832,
1995-01,6.763,
1995-02,6.486,
1995-03,6.407,
1995-04,6.691,
1995-05,6.380,
1995-06,6.563,
1995-07,6.228,
1995-08,6.281,
1995-09,6.110,
1995-10,5.553,
1995-11,4.902,
1995-12,3.597,
1996-01,3.452,
1996-02,3.722,
1996-03,4.181,
1996-04,4.420,
1996-05,5.111,
1996-06,5.002,
1996-07,4.825,
1996-08,4.241,
1996-09,4.761,
1996-10,4.031,
1996-11,4.884,
1996-12,4.678,
1997-01,4.465,
1997-02,6.580,
1997-03,6.454,
1997-04,7.507,
1997-05,7.347,
1997-06,6.859,
1997-07,7.124,
1997-08,5.852,
1997-09,5.138,
1997-10,4.590,
1997-11,4.329,
1997-12,3.865,
1998-01,3.735,
1998-02,3.856,
1998-03,5.146,
1998-04,5.391,
1998-05,6.957,
1998-06,5.469,
1998-07,6.418,
1998-08,5.831,
1998-09,6.549,
1998-10,6.466,
1998-11,6.772,
1998-12,5.838,
1999-01,5.755,
1999-02,5.494,
1999-03,6.615,
1999-04,6.258,
1999-05,6.409,
1999-06,7.404,
1999-07,7.523,
1999-08,7.467,
1999-09,8.054,
1999-10,7.424,
1999-11,7.224,
1999-12,9.359,
2000-01,8.670,
2000-02,8.736,
2000-03,9.613,
2000-04,10.159,
2000-05,8.281,
2000-06,8.034,
2000-07,8.619,
2000-08,8.961,
2000-09,10.017,
2000-10,9.712,
2000-11,9.954,
2000-12,9.666,
2001-01,10.449,
2001-02,11.135,
2001-03,10.474,
2001-04,11.124,
2001-05,11.185,
2001-06,10.355,
2001-07,10.928,
2001-08,11.442,
2001-09,11.045,
2001-10,13.013,
2001-11,13.075,
2001-12,11.893,
2002-01,13.999,
2002-02,13.859,
2002-03,14.151,
2002-04,14.088,
2002-05,15.878,
2002-06,17.715,
2002-07,17.109,
2002-08,16.843,
2002-09,17.868,
2002-10,16.390,
2002-11,15.046,
2002-12,13.791,
2003-01,16.925,
2003-02,18.134,
2003-03,20.476,
2003-04,25.543,
2003-05,25.612,
2003-06,20.749,
2003-07,21.436,
2003-08,19.189,
2003-09,19.959,
2003-10,19.825,
2003-11,19.244,
2003-12,17.245,
2004-01,18.137,
2004-02,19.011,
2004-03,19.210,
2004-04,20.788,
2004-05,23.201,
2004-06,22.250,
2004-07,20.891,
2004-08,22.727,
2004-09,21.405,
2004-10,22.302,
2004-11,22.443,
2004-12,17.917,
2005-01,19.605,
2005-02,18.898,
2005-03,20.116,
2005-04,21.693,
2005-05,22.675,
2005-06,21.583,
2005-07,22.681,
2005-08,22.948,
2005-09,23.988,
2005-10,26.233,
2005-11,24.214,
2005-12,21.772,
2006-01,21.477,
2006-02,22.955,
2006-03,23.274,
2006-04,25.655,
2006-05,24.314,
2006-06,22.709,
2006-07,24.113,
2006-08,27.681,
2006-09,26.989,
2006-10,27.726,
2006-11,29.739,
2006-12,29.545,
2007-01,32.219,
2007-02,40.711,
2007-03,43.502,
2007-04,43.385,
2007-05,47.425,
2007-06,53.532,
2007-07,52.978,
2007-08,55.366,
2007-09,57.999,
2007-10,64.235,
2007-11,71.306,
2007-12,64.775,
2008-01,69.773,
2008-02,73.431,
2008-03,74.099,
2008-04,75.091,
2008-05,76.275,
2008-06,74.019,
2008-07,79.666,
2008-08,78.155,
2008-09,81.683,
2008-10,85.551,
2008-11,86.270,
2008-12,77.686,
2009-01,77.087,
2009-02,77.579,
2009-03,80.463,
2009-04,82.554,
2009-05,87.427,
2009-06,82.894,
2009-07,83.712,
2009-08,88.620,
2009-09,87.748,
2009-10,90.693,
2009-11,93.654,
2009-12,89.623,
2010-01,89.753,
2010-02,94.987,
2010-03,93.970,
2010-04,100.067,
2010-05,100.236,
2010-06,99.722,
2010-07,106.457,
2010-08,110.582,
2010-09,111.218,
2010-10,117.539,
2010-11,121.140,
2010-12,120.922,
2011-01,124.552,
2011-02,118.788,
2011-03,114.025,
2011-04,119.643,
2011-05,126.868,
2011-06,114.282,
2011-07,123.728,
2011-08,121.335,
2011-09,117.570,
2011-10,107.709,
2011-11,107.165,
2011-12,91.880,
2012-01,93.453,
2012-02,98.292,
2012-03,95.901,
2012-04,90.371,
2012-05,90.922,
2012-06,90.419,
2012-07,96.880,
2012-08,95.299,
2012-09,95.848,
2012-10,91.792,
2012-11,94.613,
2012-12,91.286,
2013-01,87.646,
2013-02,85.699,
2013-03,92.528,
2013-04,91.432,
2013-05,94.501,
2013-06,96.255,
2013-07,90.306,
2013-08,88.626,
2013-09,89.297,
2013-10,90.894,
2013-11,98.177,
2013-12,97.846,
2014-01,95.447,
2014-02,99.744,
2014-03,113.370,
2014-04,104.939,
2014-05,118.767,
2014-06,109.891,
2014-07,108.654,
2014-08,113.124,
2014-09,111.224,
2014-10,106.592,
2014-11,108.629,
2014-12,107.694,
