"",BBEX3.M.ZMK.USD.CA.AA.A01,BBEX3.M.ZMK.USD.CA.AA.A01_FLAGS
1987-02,8.94752,comment
1987-03,8.72555,comment
1987-04,8.53839,comment
1987-05,7.96000,comment
1987-06,7.96000,
1987-07,7.96000,
1987-08,7.96000,
1987-09,7.96000,
1987-10,7.96000,
1987-11,7.96000,
1987-12,7.96000,
1988-01,7.96000,
1988-02,7.96000,
1988-03,7.96000,
1988-04,7.96000,
1988-05,7.96000,
1988-06,7.96000,
1988-07,7.96000,
1988-08,7.96000,
1988-09,7.96000,
1988-10,7.96000,
1988-11,9.78556,comment
1988-12,9.95399,
1989-01,10.24717,
1989-02,10.07622,
1989-03,10.31199,
1989-04,10.28790,
1989-05,10.78391,
1989-06,10.69001,
1989-07,15.46563,comment
1989-08,15.84969,
1989-09,16.31824,
1989-10,17.86462,
1989-11,18.90500,
1989-12,21.54048,
1990-01,22.93975,
1990-02,24.37750,comment
1990-03,25.53991,
1990-04,26.48761,
1990-05,27.93142,
1990-06,29.87070,
1990-07,31.45416,
1990-08,32.99802,
1990-09,34.82500,
1990-10,37.04610,
1990-11,39.82131,
1990-12,42.53712,
1991-01,43.55762,
1991-02,48.45571,
1991-03,52.72460,
1991-04,56.96375,comment
1991-05,60.69500,
1991-06,65.12275,
1991-07,68.10775,
1991-08,70.47585,
1991-09,74.97325,
1991-10,78.80400,
1991-11,83.55015,
1991-12,88.50525,
1992-01,95.27125,
1992-02,124.37500,comment
1992-03,133.08125,
1992-04,140.04250,
1992-05,147.50875,
1992-06,159.27687,
1992-07,172.40630,
1992-08,179.37165,
1992-09,198.04080,
1992-10,218.59470,
1992-11,241.28774,
1992-12,355.84808,comment
1993-01,381.89250,
1993-02,440.77500,
1993-03,498.33000,
1993-04,503.57359,
1993-05,534.22658,
1993-06,522.09740,
1993-07,484.97670,
1993-08,448.80000,
1993-09,347.39100,
1993-10,352.70000,
1993-11,410.34000,
1993-12,640.98500,
1994-01,635.80800,
1994-02,650.82200,
1994-03,720.27900,
1994-04,677.27000,
1994-05,673.62000,
1994-06,674.01000,
1994-07,672.60000,
1994-08,667.85000,
1994-09,666.92000,
1994-10,665.22000,
1994-11,670.43000,
1994-12,682.45000,
1995-01,699.13000,
1995-02,835.68000,
1995-03,796.09000,
1995-04,815.57000,
1995-05,851.82000,
1995-06,920.07000,
1995-07,933.19000,
1995-08,930.96000,
1995-09,933.14000,
1995-10,932.41000,
1995-11,933.57000,
1995-12,956.13000,
1996-01,977.18000,
1996-02,1098.64000,
1996-03,1201.40000,
1996-04,1238.76000,
1996-05,1240.50000,
1996-06,1240.50000,
1996-07,1259.43000,
1996-08,1257.45000,
1996-09,1253.27000,
1996-10,1260.26000,
1996-11,1260.64000,
1996-12,1274.28000,
1997-01,1277.92000,
1997-02,1280.16000,
1997-03,1279.53000,
1997-04,1284.40000,
1997-05,1288.42000,
1997-06,1303.02000,
1997-07,1305.47000,
1997-08,1309.15000,
1997-09,1312.37000,
1997-10,1322.44000,
1997-11,1363.29000,
1997-12,1398.11000,
1998-01,1478.38000,
1998-02,1567.06000,
1998-03,1684.95000,
1998-04,1776.21000,
1998-05,1867.14000,
1998-06,1913.03000,
1998-07,1919.61000,
1998-08,1932.99000,
1998-09,1961.19000,
1998-10,2018.30000,
1998-11,2147.03000,
1998-12,2280.68000,
1999-01,2513.01000,
1999-02,2056.82000,
1999-03,2270.28000,
1999-04,2346.32000,
1999-05,2384.02000,
1999-06,2420.09000,
1999-07,2411.68000,
1999-08,2366.64000,
1999-09,2394.51000,
1999-10,2393.44000,
1999-11,2495.31000,
1999-12,2624.31000,
2000-01,2640.69000,
2000-02,2748.39000,
2000-03,2736.32000,
2000-04,2793.43000,
2000-05,2844.21000,
2000-06,2998.01000,
2000-07,3153.04000,
2000-08,3196.97000,
2000-09,3206.51000,
2000-10,3425.72000,
2000-11,3970.82000,
2000-12,4124.83000,
2001-01,3499.90000,
2001-02,3629.82000,
2001-03,3015.00000,
2001-04,3120.00000,
2001-05,3430.00000,
2001-06,3675.00000,
2001-07,3550.00000,
2001-08,3598.00000,
2001-09,3690.00000,
2001-10,3743.00000,
2001-11,3788.75000,
2001-12,3800.00000,
2002-01,3852.00000,
2002-02,3893.00000,
2002-03,3904.92000,
2002-04,3910.60000,
2002-05,4197.00000,
2002-06,4445.00000,
2002-07,4455.00000,
2002-08,4445.00000,
2002-09,4521.00000,
2002-10,4636.80000,
2002-11,4755.00000,
2002-12,4300.00000,
2003-01,4540.00000,
2003-02,4771.50000,
2003-03,4835.00000,
2003-04,4800.00000,
2003-05,4780.00000,
2003-06,4790.00000,
2003-07,4602.00000,
2003-08,4637.00000,
2003-09,4770.83000,
2003-10,4742.14000,
2003-11,4715.00000,
2003-12,4737.86000,
2004-01,4739.29000,
2004-02,4701.43000,
2004-03,4693.57000,
2004-04,4715.71000,
2004-05,4747.14000,
2004-06,4781.43000,
2004-07,4740.00000,
2004-08,4780.71000,
2004-09,4879.71000,
2004-10,4780.00000,
2004-11,4710.71000,
2004-12,4741.43000,
2005-01,4721.88000,
2005-02,4713.13000,
2005-03,4646.25000,
2005-04,4661.25000,
2005-05,4687.50000,
2005-06,4653.13000,
2005-07,4570.63000,
2005-08,4313.75000,
2005-09,4472.50000,
2005-10,4258.89000,
2005-11,3461.11000,
2005-12,3480.00000,
2006-01,3392.22000,
2006-02,3288.89000,
2006-03,3272.22000,
2006-04,3055.56000,
2006-05,3353.33000,
2006-06,3543.89000,
2006-07,3661.11000,
2006-08,3905.00000,
2006-09,4142.78000,
2006-10,3832.78000,
2006-11,4030.00000,
2006-12,4401.11000,
2007-01,4276.11000,
2007-02,4230.00000,
2007-03,4240.56000,
2007-04,4166.67000,
2007-05,3988.33000,
2007-06,3773.33000,
2007-07,3895.56000,
2007-08,4046.67000,
2007-09,3856.11000,
2007-10,3786.67000,
2007-11,3744.44000,
2007-12,3836.11000,
2008-01,3823.33000,
2008-02,3747.78000,
2008-03,3683.33000,
2008-04,3463.33000,
2008-05,3432.22000,
2008-06,3185.56000,
2008-07,3508.00000,
2008-08,3493.89000,
2008-09,3568.33000,
2008-10,4762.31000,
2008-11,4483.57000,
2008-12,4856.79000,
2009-01,5124.64000,
2009-02,5611.79000,
2009-03,5579.05000,
2009-04,5621.55000,
2009-05,5155.88000,
2009-06,5156.90000,
2009-07,5038.57000,
2009-08,4674.11000,
2009-09,4713.44000,
2009-10,4640.63000,
2009-11,4668.23000,
2009-12,4630.57000,
2010-01,4575.94000,
2010-02,4734.50000,
2010-03,4694.17000,
2010-04,4731.82000,
2010-05,4991.88000,
2010-06,5145.62000,
2010-07,4865.40000,
2010-08,4923.75000,
2010-09,4835.73000,
2010-10,4650.21000,
2010-11,4921.88000,
2010-12,4786.11000,
2011-01,4831.56000,
2011-02,4751.56000,
2011-03,4714.59000,
2011-04,4690.94000,
2011-05,4751.35000,
2011-06,4831.67000,
2011-07,4785.52000,
2011-08,4952.19000,
2011-09,4801.77000,
2011-10,4897.40000,
2011-11,5086.95000,
2011-12,5107.04000,
2012-01,5123.15000,
2012-02,5238.61000,
2012-03,5263.24000,
2012-04,5219.44000,
2012-05,5334.35000,
2012-06,5144.54000,
2012-07,4952.37000,
2012-08,4992.04000,
2012-09,5083.45000,
2012-10,5265.92000,
2012-11,5211.02000,
2012-12,5136.61330,
"","General: Until 5 July 1983: pegged to the SDR. 6 July 1983 - 3 October 1985: pegged to a currency basket. 4 October 1985: introduction of an auction system to set the exchange rates. End of January 1987: foreign exchange auctions suspended. Start of February 1987: pegged to a currency basket.   28 March 1987: with the reintroduction of foreign exchange auctions in addition to the official exchange rate, a multiple exchange rate system was established: Official exchange rate: for the procurement of pharmaceuticals by the government as well as for receipts from public sector external borrowing and the servicing of this debt. Auction rate (see commentary on value for March and April 1987): for all other transactions.   On 1 May 1987, the termination of the foreign exchange auctions was announced and the kwacha was pegged to the US dollar on 4 May 1987. 9 November 1988: pegged to the SDR.   19 February 1990 - 22 April 1991: multiple exchange rate system. Official exchange rate: for proceeds from traditional exports (mostly copper), for payments for the import of petroleum and fertilisers and for other approved imports, as well as for certain capital inflows. Market rate (separate time series): for proceeds from the export of non-traditional goods, for imports on the ""general list of imports"" (especially chemical products), for foreign exchange proceedsrevenue from foreign travel and receipts for foreign embassies, as well as for non-public investment and transfer payments.  With effect from 1 January 2013, a currency conversion took place at the rate of 1,000 (old) kwacha = 1 (new) kwacha; the new ISO currency code is ZMW. The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Zambia, Lusaka; IWF",
"","Comment on 1978-03: On 17 March 1978, the kwacha was devalued by 10% against the SDR.",
"","Comment on 1983-01: On 7 January 1983, the kwacha was devalued by 20% against the SDR.",
"","Comment on 1983-07: From 6 July 1983, pegged to a currency basket.",
"","Comment on 1985-10: On  4 October 1985, the kwacha ceased to be pegged to the currency basket that had been used as a reference since 6 July 1983. Since then, the exchange rates have been set once a week in an auction process. We recorded the following exchange rates (buying/selling):  3 October 1985: ZMK 1 = USD 0.45660 / 0.44760  11 October 1985: ZMK 1 = USD 0.20060 / 0.19665 (first auction)  On the basis of these exchange rates, the kwacha depreciated by 56.1%.",
"","Comment on 1987-02: At the end of January 1987, the foreign exchange auctions introduced in October 1985 were suspended and the kwacha was pegged to a currency basket at the beginning of February 1987.",
"","Comment on 1987-03: On 28 March 1987, a multiple exchange rate system was introduced when foreign exchange auctions were resumed; the auction rates set in addition to the official exchange rates were: USD 1 = ZMK 14.925 / 15.225 (buying/selling).",
"",Comment on 1987-04: The auction rates set in addition to the official exchange rates were: USD 1 = ZMK 20.90495 / 21.32515 (buying/selling).,
"","Comment on 1987-05: On 1 May 1987, the termination of the foreign exchange auctions was announced and the kwacha was pegged to the US dollar on 4 May 1987.",
"","Comment on 1988-11: On 9 November 1988, the kwacha ceased to be pegged to the US dollar and was pegged to the SDR instead. We recorded the following middle rates:  8 November 1988: USD 1 = ZMK 8.000 9 November 1988: USD 1 = ZMK 9.99978  On the basis of these exchange rates, the kwacha depreciated by 20.0%.",
"","Comment on 1989-07: At the beginning of July 1989, the kwacha was devalued. We recorded the following exchange rates for 3 July 1989:  USD 1 = ZMK 15.92053 / 16.24054 (buying/selling)  On the basis of the exchange rates at the end of June and on 3 July 1989, the kwacha was devalued by 32.9%.",
"","Comment on 1990-02: On 19 February 1990, a multiple exchange rate system was established with the introduction of the market rate. See also additional series attributes.",
"",Comment on 1991-04: The multiple exchange rate system was unified on 23 April 1991.,
"","Comment on 1992-02: After the foreign exchange markets closed on 31 January 1992, a devaluation of the kwacha was announced. We recorded the following exchange rates for 3 February 1992:  USD 1 = ZMK 124.37500 / 126.87500 (buying/selling) On the basis of the exchange rates on 31 January and on 3 February 1992, the kwacha depreciated by 23.4%.",
"","Comment on 1992-12: On 7 December 1992, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling): before the adjustment: USD 1 = ZMK 241.28774 / 246.13774 after the adjustment: USD 1 = ZMK 316.05750 / 325.63500 On the basis of these exchange rates, the kwacha depreciated by 24.0% (middle rate).",
