"",BBFN1.M.DE.N.1.L.AR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2012-04,0.079,
2012-05,0.074,
2012-06,0.085,
2012-07,0.081,
2012-08,0.074,
2012-09,0.080,
2012-10,0.076,
2012-11,0.074,
2012-12,0.082,
2013-01,0.063,
2013-02,0.062,
2013-03,0.062,
2013-04,0.062,
2013-05,0.061,
2013-06,0.071,
2013-07,0.076,
2013-08,0.068,
2013-09,0.073,
2013-10,0.059,
2013-11,0.031,
2013-12,0.033,
2014-01,0.035,
2014-02,0.035,
2014-03,0.037,
2014-04,0.030,
2014-05,0.029,
2014-06,0.040,
2014-07,0.042,
2014-08,0.042,
2014-09,0.041,
2014-10,0.036,
2014-11,0.032,
2014-12,0.060,
