"",BBDE1.M.DE.Y.AEA1.A2R290050.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2R290050.F.C.I10.A_FLAGS
2006-01,98.4,
2006-02,100.5,
2006-03,98.5,
2006-04,99.3,
2006-05,99.3,
2006-06,96.6,
2006-07,103.1,
2006-08,108.3,
2006-09,105.3,
2006-10,97.3,
2006-11,99.5,
2006-12,102.1,
2007-01,100.8,
2007-02,108.9,
2007-03,103.2,
2007-04,108.2,
2007-05,109.6,
2007-06,119.4,
2007-07,106.6,
2007-08,107.7,
2007-09,108.8,
2007-10,116.0,
2007-11,117.8,
2007-12,116.2,
2008-01,111.5,
2008-02,113.8,
2008-03,108.5,
2008-04,109.5,
2008-05,110.2,
2008-06,100.7,
2008-07,99.8,
2008-08,100.2,
2008-09,89.7,
2008-10,80.6,
2008-11,75.7,
2008-12,73.3,
2009-01,69.8,
2009-02,70.4,
2009-03,76.8,
2009-04,74.9,
2009-05,83.9,
2009-06,84.1,
2009-07,92.3,
2009-08,87.9,
2009-09,89.3,
2009-10,82.6,
2009-11,84.9,
2009-12,85.2,
2010-01,94.8,
2010-02,85.5,
2010-03,95.8,
2010-04,97.8,
2010-05,97.8,
2010-06,102.1,
2010-07,98.2,
2010-08,107.5,
2010-09,100.9,
2010-10,101.0,
2010-11,109.9,
2010-12,103.6,
2011-01,107.6,
2011-02,109.7,
2011-03,102.6,
2011-04,108.1,
2011-05,121.3,
2011-06,116.3,
2011-07,104.2,
2011-08,108.7,
2011-09,103.7,
2011-10,108.5,
2011-11,103.5,
2011-12,108.4,
2012-01,102.0,
2012-02,103.4,
2012-03,112.9,
2012-04,107.3,
2012-05,104.3,
2012-06,105.7,
2012-07,104.2,
2012-08,103.5,
2012-09,98.6,
2012-10,110.1,
2012-11,105.4,
2012-12,104.6,
2013-01,105.5,
2013-02,110.3,
2013-03,111.1,
2013-04,108.7,
2013-05,105.7,
2013-06,120.2,
2013-07,114.1,
2013-08,110.0,
2013-09,119.5,
2013-10,115.7,
2013-11,118.0,
2013-12,118.6,
2014-01,118.0,
2014-02,120.0,
2014-03,115.0,
2014-04,122.4,
2014-05,125.1,
2014-06,111.0,
2014-07,127.4,
2014-08,108.0,
2014-09,112.3,
2014-10,122.2,
2014-11,119.4,
2014-12,124.7,Provisional value
