"",BBFN1.M.DE.N.1.A.MX.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1997-07,0.209,
1997-08,0.311,
1997-09,0.295,
1997-10,0.295,
1997-11,0.290,
1997-12,0.291,
1998-01,0.296,
1998-02,0.298,
1998-03,0.299,
1998-04,0.299,
1998-05,0.319,
1998-06,0.325,
1998-07,0.330,
1998-08,0.333,
1998-09,0.341,
1998-10,0.341,
1998-11,0.348,
1998-12,0.341,
1999-01,0.340,
1999-02,0.341,
1999-03,0.341,
1999-04,0.341,
1999-05,0.342,
1999-06,0.338,
1999-07,0.338,
1999-08,0.338,
1999-09,0.333,
1999-10,0.338,
1999-11,0.341,
1999-12,0.346,
2000-01,0.349,
2000-02,0.349,
2000-03,0.175,
2000-04,0.165,
2000-05,0.163,
2000-06,0.160,
2000-07,0.157,
2000-08,0.157,
2000-09,0.162,
2000-10,0.161,
2000-11,0.160,
2000-12,0.168,
2001-01,0.166,
2001-02,0.168,
2001-03,0.170,
2001-04,0.174,
2001-05,0.172,
2001-06,0.174,
2001-07,0.174,
2001-08,0.175,
2001-09,0.159,
2001-10,0.159,
2001-11,0.155,
2001-12,0.166,
2002-01,0.148,
2002-02,0.145,
2002-03,0.152,
2002-04,0.169,
2002-05,0.166,
2002-06,0.160,
2002-07,0.163,
2002-08,0.157,
2002-09,0.154,
2002-10,0.140,
2002-11,0.137,
2002-12,0.138,
2003-01,0.133,
2003-02,0.134,
2003-03,0.137,
2003-04,0.136,
2003-05,0.150,
2003-06,0.155,
2003-07,0.154,
2003-08,0.151,
2003-09,0.152,
2003-10,0.154,
2003-11,0.156,
2003-12,0.145,
2004-01,0.148,
2004-02,0.148,
2004-03,0.145,
2004-04,0.103,
2004-05,0.107,
2004-06,0.124,
2004-07,0.139,
2004-08,0.128,
2004-09,0.140,
2004-10,0.144,
2004-11,0.147,
2004-12,0.158,
2005-01,0.163,
2005-02,0.174,
2005-03,0.160,
2005-04,0.162,
2005-05,0.167,
2005-06,0.205,
2005-07,0.222,
2005-08,0.226,
2005-09,0.225,
2005-10,0.233,
2005-11,0.212,
2005-12,0.213,
2006-01,0.216,
2006-02,0.160,
2006-03,0.160,
2006-04,0.173,
2006-05,0.178,
2006-06,0.193,
2006-07,0.200,
2006-08,0.212,
2006-09,0.197,
2006-10,0.201,
2006-11,0.253,
2006-12,0.245,
2007-01,0.238,
2007-02,0.238,
2007-03,0.236,
2007-04,0.237,
2007-05,0.243,
2007-06,0.243,
2007-07,0.240,
2007-08,0.240,
2007-09,0.231,
2007-10,0.210,
2007-11,0.237,
2007-12,0.216,
2008-01,0.221,
2008-02,0.220,
2008-03,0.212,
2008-04,0.212,
2008-05,0.227,
2008-06,0.193,
2008-07,0.174,
2008-08,0.174,
2008-09,0.203,
2008-10,0.214,
2008-11,0.248,
2008-12,0.238,
2009-01,0.214,
2009-02,0.218,
2009-03,0.217,
2009-04,0.223,
2009-05,0.220,
2009-06,0.212,
2009-07,0.209,
2009-08,0.188,
2009-09,0.198,
2009-10,0.201,
2009-11,0.218,
2009-12,0.209,
2010-01,0.207,
2010-02,0.210,
2010-03,0.219,
2010-04,0.239,
2010-05,0.273,
2010-06,0.302,
2010-07,0.335,
2010-08,0.345,
2010-09,0.331,
2010-10,0.337,
2010-11,0.343,
2010-12,0.341,
2011-01,0.342,
2011-02,0.339,
2011-03,0.335,
2011-04,0.377,
2011-05,0.385,
2011-06,0.402,
2011-07,0.413,
2011-08,0.404,
2011-09,0.415,
2011-10,0.411,
2011-11,0.411,
2011-12,0.419,
2012-01,0.421,
2012-02,0.425,
2012-03,0.434,
2012-04,0.425,
2012-05,0.422,
2012-06,0.439,
2012-07,0.437,
2012-08,0.430,
2012-09,0.466,
2012-10,0.472,
2012-11,0.469,
2012-12,0.464,
2013-01,0.453,
2013-02,0.515,
2013-03,0.532,
2013-04,0.522,
2013-05,0.551,
2013-06,0.519,
2013-07,0.531,
2013-08,0.561,
2013-09,0.556,
2013-10,0.527,
2013-11,0.531,
2013-12,0.481,
2014-01,0.496,
2014-02,0.495,
2014-03,0.474,
2014-04,0.444,
2014-05,0.443,
2014-06,0.439,
2014-07,0.451,
2014-08,0.462,
2014-09,0.500,
2014-10,0.505,
2014-11,0.508,
2014-12,0.532,
