"",BBDP1.M.DE.Y.APE1.G.GP09SA000000.I10.A,BBDP1.M.DE.Y.APE1.G.GP09SA000000.I10.A_FLAGS
1984-01,101.0,
1984-02,100.0,
1984-03,99.7,
1984-04,100.2,
1984-05,101.8,
1984-06,101.6,
1984-07,102.0,
1984-08,102.8,
1984-09,103.8,
1984-10,104.7,
1984-11,104.3,
1984-12,104.7,
1985-01,105.5,
1985-02,107.4,
1985-03,108.0,
1985-04,106.5,
1985-05,105.9,
1985-06,105.0,
1985-07,103.3,
1985-08,101.9,
1985-09,101.9,
1985-10,100.0,
1985-11,99.7,
1985-12,98.7,
1986-01,96.2,
1986-02,93.6,
1986-03,91.7,
1986-04,89.7,
1986-05,88.3,
1986-06,86.8,
1986-07,84.5,
1986-08,84.5,
1986-09,84.3,
1986-10,83.2,
1986-11,83.2,
1986-12,82.9,
1987-01,82.6,
1987-02,81.9,
1987-03,82.1,
1987-04,82.5,
1987-05,82.6,
1987-06,82.7,
1987-07,83.2,
1987-08,83.7,
1987-09,82.8,
1987-10,83.5,
1987-11,82.2,
1987-12,82.1,
1988-01,82.1,
1988-02,82.2,
1988-03,82.2,
1988-04,82.5,
1988-05,83.0,
1988-06,83.8,
1988-07,84.4,
1988-08,85.2,
1988-09,84.4,
1988-10,84.5,
1988-11,84.4,
1988-12,85.5,
1989-01,86.9,
1989-02,87.1,
1989-03,87.9,
1989-04,88.5,
1989-05,88.7,
1989-06,88.3,
1989-07,87.0,
1989-08,87.5,
1989-09,87.6,
1989-10,87.2,
1989-11,86.5,
1989-12,86.2,
1990-01,85.5,
1990-02,85.2,
1990-03,85.4,
1990-04,84.6,
1990-05,84.0,
1990-06,83.6,
1990-07,83.6,
1990-08,85.0,
1990-09,87.0,
1990-10,88.2,
1990-11,87.2,
1990-12,86.7,
1991-01,86.1,
1991-02,85.4,
1991-03,85.8,
1991-04,86.7,
1991-05,86.6,
1991-06,86.9,
1991-07,87.0,
1991-08,86.7,
1991-09,86.0,
1991-10,86.1,
1991-11,85.8,
1991-12,84.8,
1992-01,84.5,
1992-02,84.8,
1992-03,85.1,
1992-04,85.0,
1992-05,84.9,
1992-06,84.6,
1992-07,84.0,
1992-08,83.4,
1992-09,82.9,
1992-10,83.0,
1992-11,83.3,
1992-12,83.2,
1993-01,83.0,
1993-02,83.1,
1993-03,83.2,
1993-04,82.6,
1993-05,82.4,
1993-06,82.7,
1993-07,83.4,
1993-08,83.1,
1993-09,82.1,
1993-10,82.2,
1993-11,82.6,
1993-12,82.7,
1994-01,82.9,
1994-02,83.0,
1994-03,82.9,
1994-04,83.0,
1994-05,83.3,
1994-06,83.8,
1994-07,83.6,
1994-08,83.3,
1994-09,83.4,
1994-10,83.7,
1994-11,84.0,
1994-12,84.7,
1995-01,84.7,
1995-02,84.5,
1995-03,83.7,
1995-04,83.5,
1995-05,83.5,
1995-06,83.4,
1995-07,83.1,
1995-08,83.6,
1995-09,83.8,
1995-10,83.3,
1995-11,83.3,
1995-12,83.6,
1996-01,83.8,
1996-02,83.6,
1996-03,84.0,
1996-04,84.2,
1996-05,84.1,
1996-06,83.8,
1996-07,83.5,
1996-08,83.3,
1996-09,83.8,
1996-10,84.6,
1996-11,84.6,
1996-12,85.3,
1997-01,86.0,
1997-02,86.4,
1997-03,86.5,
1997-04,86.3,
1997-05,86.6,
1997-06,86.7,
1997-07,87.6,
1997-08,88.3,
1997-09,87.6,
1997-10,87.6,
1997-11,87.4,
1997-12,87.3,
1998-01,87.1,
1998-02,86.5,
1998-03,86.1,
1998-04,85.7,
1998-05,85.1,
1998-06,84.7,
1998-07,84.4,
1998-08,83.7,
1998-09,82.8,
1998-10,82.2,
1998-11,82.1,
1998-12,81.6,
1999-01,81.4,
1999-02,81.3,
1999-03,81.8,
1999-04,82.4,
1999-05,82.5,
1999-06,83.2,
1999-07,83.9,
1999-08,84.3,
1999-09,85.0,
1999-10,85.6,
1999-11,86.9,
1999-12,88.4,
2000-01,88.9,
2000-02,89.9,
2000-03,90.3,
2000-04,90.1,
2000-05,91.6,
2000-06,92.0,
2000-07,92.4,
2000-08,93.2,
2000-09,94.9,
2000-10,95.6,
2000-11,96.0,
2000-12,94.4,
2001-01,93.6,
2001-02,93.9,
2001-03,93.4,
2001-04,93.8,
2001-05,94.5,
2001-06,95.0,
2001-07,93.7,
2001-08,92.6,
2001-09,92.2,
2001-10,91.0,
2001-11,90.9,
2001-12,90.9,
2002-01,91.1,
2002-02,91.4,
2002-03,91.9,
2002-04,91.9,
2002-05,91.4,
2002-06,90.8,
2002-07,90.2,
2002-08,90.4,
2002-09,90.8,
2002-10,90.9,
2002-11,90.0,
2002-12,90.9,
2003-01,91.1,
2003-02,91.2,
2003-03,90.5,
2003-04,88.8,
2003-05,87.7,
2003-06,88.0,
2003-07,88.0,
2003-08,88.4,
2003-09,88.2,
2003-10,88.3,
2003-11,88.5,
2003-12,88.3,
2004-01,88.3,
2004-02,88.2,
2004-03,89.0,
2004-04,89.3,
2004-05,89.9,
2004-06,89.8,
2004-07,89.9,
2004-08,90.6,
2004-09,90.7,
2004-10,91.7,
2004-11,90.8,
2004-12,90.3,
2005-01,91.1,
2005-02,91.3,
2005-03,91.9,
2005-04,91.5,
2005-05,91.1,
2005-06,92.7,
2005-07,93.1,
2005-08,93.5,
2005-09,94.0,
2005-10,94.5,
2005-11,94.9,
2005-12,95.5,
2006-01,96.0,
2006-02,96.1,
2006-03,96.2,
2006-04,96.8,
2006-05,97.0,
2006-06,97.1,
2006-07,98.1,
2006-08,98.0,
2006-09,97.2,
2006-10,97.2,
2006-11,97.2,
2006-12,97.1,
2007-01,96.4,
2007-02,96.5,
2007-03,96.6,
2007-04,96.9,
2007-05,97.1,
2007-06,97.6,
2007-07,97.7,
2007-08,97.1,
2007-09,97.6,
2007-10,98.7,
2007-11,99.7,
2007-12,99.8,
2008-01,100.4,
2008-02,101.3,
2008-03,101.1,
2008-04,101.4,
2008-05,103.6,
2008-06,105.2,
2008-07,105.7,
2008-08,104.8,
2008-09,104.4,
2008-10,101.5,
2008-11,99.0,
2008-12,95.6,
2009-01,94.7,
2009-02,94.4,
2009-03,93.4,
2009-04,92.4,
2009-05,92.4,
2009-06,92.9,
2009-07,92.0,
2009-08,93.1,
2009-09,92.5,
2009-10,93.4,
2009-11,94.1,
2009-12,94.8,
2010-01,95.6,
2010-02,96.3,
2010-03,97.7,
2010-04,99.3,
2010-05,100.0,
2010-06,101.1,
2010-07,101.0,
2010-08,101.1,
2010-09,101.1,
2010-10,101.0,
2010-11,102.0,
2010-12,104.0,
2011-01,104.9,
2011-02,105.6,
2011-03,106.8,
2011-04,106.8,
2011-05,106.3,
2011-06,105.9,
2011-07,106.6,
2011-08,106.0,
2011-09,106.3,
2011-10,106.5,
2011-11,107.2,
2011-12,107.7,
2012-01,108.7,
2012-02,109.3,
2012-03,109.9,
2012-04,109.5,
2012-05,108.8,
2012-06,107.7,
2012-07,108.3,
2012-08,109.2,
2012-09,108.5,
2012-10,108.3,
2012-11,108.3,
2012-12,107.7,
2013-01,107.3,
2013-02,107.4,
2013-03,107.4,
2013-04,106.2,
2013-05,105.6,
2013-06,105.3,
2013-07,105.5,
2013-08,105.6,
2013-09,105.6,
2013-10,105.1,
2013-11,105.1,
2013-12,105.2,
2014-01,104.7,
2014-02,104.5,
2014-03,103.9,
2014-04,103.7,
2014-05,103.6,
2014-06,104.0,
2014-07,103.6,
2014-08,103.6,
2014-09,103.9,
2014-10,103.7,
2014-11,103.1,
2014-12,101.3,
2015-01,100.2,
