"",BBFN1.M.DE.N.1.L.CA.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1990-09,0.065,
1990-10,0.066,
1990-11,0.065,
1990-12,0.065,
1991-01,0.064,
1991-02,0.062,
1991-03,0.063,
1991-04,0.063,
1991-05,0.063,
1991-06,0.063,
1991-07,0.063,
1991-08,0.064,
1991-09,0.065,
1991-10,0.064,
1991-11,0.064,
1991-12,0.064,
1992-01,0.072,
1992-02,0.082,
1992-03,0.081,
1992-04,0.082,
1992-05,0.101,
1992-06,0.102,
1992-07,0.102,
1992-08,0.102,
1992-09,0.102,
1992-10,0.102,
1992-11,0.102,
1992-12,0.085,
1993-01,0.085,
1993-02,0.085,
1993-03,0.086,
1993-04,0.086,
1993-05,0.085,
1993-06,0.086,
1993-07,0.139,
1993-08,0.085,
1993-09,0.076,
1993-10,0.070,
1993-11,0.069,
1993-12,0.069,
1994-01,0.070,
1994-02,0.070,
1994-03,0.069,
1994-04,0.068,
1994-05,0.108,
1994-06,0.105,
1994-07,0.102,
1994-08,0.102,
1994-09,0.083,
1994-10,0.094,
1994-11,0.093,
1994-12,0.094,
1995-01,0.076,
1995-02,0.078,
1995-03,0.083,
1995-04,0.084,
1995-05,0.088,
1995-06,0.087,
1995-07,0.090,
1995-08,0.098,
1995-09,0.098,
1995-10,0.107,
1995-11,0.100,
1995-12,0.093,
1996-01,0.087,
1996-02,0.087,
1996-03,0.087,
1996-04,0.090,
1996-05,0.088,
1996-06,0.088,
1996-07,0.087,
1996-08,0.087,
1996-09,0.090,
1996-10,0.076,
1996-11,0.080,
1996-12,0.078,
1997-01,0.082,
1997-02,0.085,
1997-03,0.085,
1997-04,0.085,
1997-05,0.168,
1997-06,0.166,
1997-07,0.162,
1997-08,0.166,
1997-09,0.159,
1997-10,0.157,
1997-11,0.150,
1997-12,0.283,
1998-01,0.281,
1998-02,0.288,
1998-03,0.288,
1998-04,0.283,
1998-05,0.289,
1998-06,0.287,
1998-07,0.286,
1998-08,0.286,
1998-09,0.309,
1998-10,0.301,
1998-11,0.301,
1998-12,0.526,
1999-01,0.529,
1999-02,0.524,
1999-03,0.512,
1999-04,0.514,
1999-05,0.568,
1999-06,0.567,
1999-07,0.568,
1999-08,0.569,
1999-09,0.587,
1999-10,0.587,
1999-11,0.585,
1999-12,0.556,
2000-01,0.452,
2000-02,0.550,
2000-03,0.139,
2000-04,0.139,
2000-05,0.140,
2000-06,0.140,
2000-07,0.144,
2000-08,0.144,
2000-09,0.144,
2000-10,0.153,
2000-11,0.154,
2000-12,0.160,
2001-01,0.164,
2001-02,0.163,
2001-03,0.160,
2001-04,0.263,
2001-05,0.264,
2001-06,0.248,
2001-07,0.247,
2001-08,0.187,
2001-09,0.281,
2001-10,0.281,
2001-11,0.281,
2001-12,0.277,
2002-01,0.266,
2002-02,0.268,
2002-03,0.259,
2002-04,0.259,
2002-05,0.267,
2002-06,0.262,
2002-07,0.261,
2002-08,0.264,
2002-09,0.263,
2002-10,0.264,
2002-11,0.292,
2002-12,0.353,
2003-01,0.352,
2003-02,0.435,
2003-03,0.436,
2003-04,0.352,
2003-05,0.346,
2003-06,0.350,
2003-07,0.349,
2003-08,0.353,
2003-09,0.351,
2003-10,0.348,
2003-11,0.349,
2003-12,0.285,
2004-01,0.285,
2004-02,0.285,
2004-03,0.287,
2004-04,0.288,
2004-05,0.288,
2004-06,0.289,
2004-07,0.247,
2004-08,0.246,
2004-09,0.235,
2004-10,0.232,
2004-11,0.067,
2004-12,0.062,
2005-01,0.501,
2005-02,0.636,
2005-03,0.630,
2005-04,0.630,
2005-05,0.630,
2005-06,0.623,
2005-07,0.624,
2005-08,0.624,
2005-09,0.619,
2005-10,0.619,
2005-11,0.619,
2005-12,0.615,
2006-01,0.620,
2006-02,0.747,
2006-03,0.752,
2006-04,0.735,
2006-05,0.733,
2006-06,0.734,
2006-07,0.734,
2006-08,0.734,
2006-09,0.734,
2006-10,0.731,
2006-11,0.731,
2006-12,0.737,
2007-01,0.737,
2007-02,0.737,
2007-03,0.738,
2007-04,0.738,
2007-05,0.738,
2007-06,0.738,
2007-07,0.654,
2007-08,0.601,
2007-09,0.602,
2007-10,0.608,
2007-11,0.608,
2007-12,0.625,
2008-01,0.669,
2008-02,0.916,
2008-03,0.916,
2008-04,0.920,
2008-05,0.922,
2008-06,0.959,
2008-07,0.899,
2008-08,0.881,
2008-09,0.890,
2008-10,0.894,
2008-11,0.897,
2008-12,0.894,
2009-01,0.905,
2009-02,0.908,
2009-03,0.657,
2009-04,0.660,
2009-05,0.665,
2009-06,0.663,
2009-07,0.668,
2009-08,0.693,
2009-09,0.704,
2009-10,0.696,
2009-11,0.697,
2009-12,0.697,
2010-01,0.693,
2010-02,0.689,
2010-03,0.693,
2010-04,0.696,
2010-05,0.741,
2010-06,0.719,
2010-07,0.926,
2010-08,0.922,
2010-09,0.986,
2010-10,0.976,
2010-11,0.976,
2010-12,0.988,
2011-01,0.992,
2011-02,0.986,
2011-03,0.991,
2011-04,0.887,
2011-05,0.881,
2011-06,0.875,
2011-07,0.870,
2011-08,0.899,
2011-09,0.905,
2011-10,0.898,
2011-11,0.916,
2011-12,0.934,
2012-01,0.930,
2012-02,0.861,
2012-03,0.983,
2012-04,0.966,
2012-05,0.970,
2012-06,0.958,
2012-07,0.983,
2012-08,0.985,
2012-09,0.987,
2012-10,0.980,
2012-11,0.978,
2012-12,1.011,
2013-01,0.395,
2013-02,0.389,
2013-03,0.395,
2013-04,0.368,
2013-05,0.530,
2013-06,0.533,
2013-07,0.543,
2013-08,0.354,
2013-09,0.514,
2013-10,0.516,
2013-11,0.514,
2013-12,0.477,
2014-01,0.477,
2014-02,0.479,
2014-03,0.270,
2014-04,0.269,
2014-05,0.403,
2014-06,0.395,
2014-07,0.388,
2014-08,0.396,
2014-09,0.396,
2014-10,0.360,
2014-11,0.363,
2014-12,0.461,
